Tempo(s),E[N],E[W],ErroLittle
10,0.832668,1.154779,-1.123126
20,3.784085,1.928978,-0.362070
30,3.255312,2.812634,-2.384497
40,4.579432,1.755794,0.812797
50,6.411609,2.354136,1.346412
60,6.599800,2.691157,1.029733
70,6.193859,2.928038,0.212522
80,5.766506,3.328007,-1.169028
90,5.531059,2.458672,0.543326
100,5.215040,1.222054,2.734030
110,5.036618,2.633602,-0.301540
120,5.075623,2.968010,-1.041986
130,5.244389,2.567463,0.010766
140,5.451982,3.022704,-0.783736
150,6.055047,2.565413,0.657828
160,6.547123,2.755032,0.801931
170,6.841598,3.159937,0.336333
180,6.927268,3.074664,0.577357
190,7.031499,3.608973,-0.412694
200,6.725755,4.731219,-2.878396
210,6.669507,2.454043,1.637788
220,6.550124,1.678463,3.162971
230,6.466470,2.737477,0.946923
240,6.266322,1.974542,2.329268
250,6.178901,3.647615,-1.128882
260,6.105994,2.094060,1.915863
270,6.049224,2.007318,2.039743
280,5.861039,5.533104,-5.115970
290,5.828269,2.585194,0.650977
300,5.720508,2.049768,1.596608
310,5.683075,3.299742,-0.998875
320,5.633979,3.670206,-1.721657
330,5.516593,3.977567,-2.386270
340,5.431436,3.176344,-0.919581
350,5.400650,2.765469,-0.113703
360,5.271463,3.759017,-2.141952
370,5.183657,3.328598,-1.445885
380,5.144043,2.155905,0.851746
390,5.074560,3.478638,-1.827028
400,5.111585,2.155115,0.842426
410,5.167247,1.831959,1.539316
420,5.202899,2.234173,0.783341
430,5.125967,2.980596,-0.747466
440,5.149061,2.344213,0.505749
450,5.231500,4.186388,-3.083211
460,5.480318,3.265294,-1.047051
470,5.777850,2.133267,1.498706
480,6.043451,4.207053,-2.396300
490,6.241588,3.984693,-1.757776
500,6.420060,4.107197,-1.758247
510,6.540237,2.171978,2.218227
520,6.555235,4.497412,-2.363733
530,6.538268,4.187951,-1.804463
540,6.455090,3.434865,-0.361755
550,6.373214,3.457049,-0.527223
560,6.461573,2.895226,0.657387
570,6.595916,2.411942,1.750903
580,6.769270,1.291462,4.169062
590,6.890233,3.150234,0.569519
600,6.921277,3.029602,0.860198
610,6.897284,2.958647,0.964104
620,6.844007,3.804323,-0.769377
630,6.797810,4.012823,-1.217262
640,6.826208,2.581637,1.659903
650,6.793400,5.051863,-3.267493
660,6.795665,3.806165,-0.831785
670,6.748434,3.746021,-0.734838
680,6.759399,3.616535,-0.477897
690,6.874092,2.464681,1.925245
700,6.968596,3.414781,0.104927
710,7.028794,4.560067,-2.130614
720,7.007079,4.632305,-2.264508
730,6.933664,3.439516,0.078392
740,6.856596,3.306066,0.245473
750,6.798753,2.945988,0.905694
760,6.764154,3.558123,-0.332829
770,6.825934,3.119175,0.597751
780,6.866120,2.695084,1.476634
790,6.936445,3.234308,0.456076
800,6.995072,4.133550,-1.280656
810,7.075070,3.812674,-0.562611
820,7.186623,2.660068,1.858286
830,7.282976,3.388103,0.479945
840,7.344934,3.183583,0.941248
850,7.475766,3.136621,1.156239
860,7.558871,3.556752,0.392583
870,7.603439,3.290401,0.982419
880,7.587846,3.083027,1.391693
890,7.519402,5.390455,-3.253813
900,7.484451,2.948708,1.594194
910,7.460061,4.359924,-1.252636
920,7.426321,4.241650,-1.046974
930,7.373830,4.562827,-1.728642
940,7.320808,2.788956,1.770006
950,7.316723,4.616459,-1.901067
960,7.348071,2.984366,1.392027
970,7.294235,3.451951,0.402173
980,7.284133,4.657095,-2.034047
990,7.323685,3.981661,-0.655552
1000,7.341891,4.455098,-1.610976
1010,7.356007,3.971100,-0.581529
1020,7.294161,4.124435,-0.925945
1030,7.227020,4.213001,-1.145503
1040,7.164652,4.243675,-1.245150
1050,7.127535,4.070899,-0.951632
1060,7.069286,3.224364,0.669562
1070,7.027236,3.236851,0.609143
1080,6.974725,2.990810,1.034703
1090,6.923679,4.400517,-1.821051
1100,6.918042,2.213434,2.517545
1110,6.909382,3.606279,-0.273252
1120,6.878286,5.571951,-4.210172
1130,6.844386,4.266156,-1.619645
1140,6.793265,5.688485,-4.453402
1150,6.749135,3.857911,-0.860929
1160,6.723537,3.373060,0.041410
1170,6.679554,4.342981,-1.907112
1180,6.644350,3.051400,0.604756
1190,6.642937,2.681093,1.332006
1200,6.664348,3.091448,0.543878
1210,6.723286,2.715403,1.344272
1220,6.797994,3.765848,-0.680098
1230,6.877599,3.186924,0.553133
1240,6.941574,4.287756,-1.568591
1250,6.995716,2.172807,2.679935
1260,7.097458,2.963266,1.188769
1270,7.275923,3.914218,-0.542790
1280,7.454027,3.273820,0.928847
1290,7.563898,3.702520,0.188038
1300,7.606592,3.095385,1.457233
1310,7.647356,3.004233,1.669268
1320,7.674954,5.977406,-4.198897
1330,7.651788,3.300483,1.088428
1340,7.637665,4.305010,-0.924888
1350,7.650142,4.361087,-1.021037
1360,7.660436,4.524858,-1.332645
1370,7.652654,3.747588,0.198773
1380,7.700952,4.120949,-0.513995
1390,7.824037,4.271799,-0.691697
1400,7.973628,4.528449,-1.052821
1410,8.128799,3.833410,0.482274
1420,8.255193,3.287313,1.717751
1430,8.369456,5.001313,-1.570032
1440,8.460217,4.054009,0.409635
1450,8.493964,3.464311,1.614233
1460,8.579977,2.796373,3.018632
1470,8.648563,1.465525,5.737922
1480,8.677230,4.938807,-1.143192
1490,8.698092,6.117123,-3.485987
1500,8.779727,4.695598,-0.588257
1510,8.915308,4.320586,0.291417
1520,9.036926,5.136583,-1.205582
1530,9.101239,4.927566,-0.710303
1540,9.125315,4.797016,-0.427151
1550,9.122271,3.930863,1.301682
1560,9.096039,3.949445,1.245442
1570,9.051249,3.447242,2.207842
1580,9.003911,5.180406,-1.277349
1590,8.992713,4.212097,0.629685
1600,9.012333,3.996141,1.096384
1610,9.038022,5.802091,-2.446965
1620,9.083316,3.434818,2.276386
1630,9.137813,3.956846,1.295234
1640,9.158187,4.095429,1.053096
1650,9.134845,5.828798,-2.394662
1660,9.095811,5.695528,-2.164477
1670,9.050528,5.878744,-2.564281
1680,9.013587,7.005372,-4.821940
1690,9.016994,3.783777,1.537505
1700,9.043123,4.184433,0.783244
1710,9.063697,3.733289,1.691460
1720,9.144885,3.554421,2.120907
1730,9.221259,4.255016,0.825286
1740,9.291196,4.194288,1.016341
1750,9.307049,4.291151,0.832789
1760,9.300927,4.428779,0.542179
1770,9.294441,4.189288,1.009238
1780,9.272110,6.458264,-3.483093
1790,9.255560,4.751241,-0.122169
1800,9.222647,3.072781,3.155037
1810,9.197192,5.757548,-2.189687
1820,9.158407,6.003396,-2.713005
1830,9.120642,3.859137,1.490733
1840,9.082230,6.666974,-4.113091
1850,9.042041,4.749005,-0.345488
1860,9.020724,5.921341,-2.691221
1870,9.019661,5.280410,-1.433523
1880,9.022960,7.639370,-6.068078
1890,9.041794,5.069166,-0.978584
1900,9.085063,4.073922,1.046644
1910,9.131291,4.800545,-0.346154
1920,9.162526,2.499115,4.234248
1930,9.190123,4.496191,0.300576
1940,9.255733,3.931840,1.491437
1950,9.335938,3.353506,2.705255
1960,9.406467,2.082558,5.294900
1970,9.406106,4.639434,0.254412
1980,9.382409,6.416060,-3.289267
1990,9.353492,6.452404,-3.392842
2000,9.315307,5.661656,-1.865110
2010,9.305785,3.992726,1.410574
2020,9.313728,4.677383,0.067832
2030,9.306864,3.333460,2.715183
2040,9.324303,5.031778,-0.632787
2050,9.336539,5.118865,-0.795630
2060,9.334143,4.037315,1.348254
2070,9.315702,3.440463,2.509643
2080,9.282390,4.195227,0.987246
2090,9.267924,7.515760,-5.596716
2100,9.298416,5.207632,-1.001450
2110,9.345528,4.128574,1.165349
2120,9.393295,4.554364,0.362453
2130,9.449277,4.117122,1.291633
2140,9.491574,3.681749,2.197406
2150,9.505841,5.076303,-0.544458
2160,9.524178,5.022979,-0.421213
2170,9.540627,5.068079,-0.513482
2180,9.547978,5.153240,-0.670027
2190,9.517154,5.155511,-0.711321
2200,9.486227,4.094298,1.365646
2210,9.445688,5.867034,-2.171624
2220,9.415564,4.472911,0.564771
2230,9.402061,2.465712,4.523066
2240,9.402528,4.491063,0.509485
2250,9.424978,4.115680,1.272110
2260,9.447741,4.681579,0.169836
2270,9.508334,6.139208,-2.676002
2280,9.577181,4.962350,-0.268678
2290,9.625685,4.726665,0.238510
2300,9.681072,6.360428,-2.956673
2310,9.697973,4.420146,0.927744
2320,9.717795,5.792955,-1.795455
2330,9.781637,4.181389,1.466130
2340,9.866154,6.117679,-2.286115
2350,9.943176,6.886988,-3.733975
2360,10.019946,5.744582,-1.378768
2370,10.097394,5.738109,-1.301938
2380,10.217638,5.228902,-0.178519
2390,10.360957,3.725107,2.961014
2400,10.451465,5.957578,-1.371025
2410,10.510508,4.894824,0.796770
2420,10.568573,3.816544,2.992358
2430,10.622369,5.255721,0.191207
2440,10.669536,6.087128,-1.408658
2450,10.727941,5.743105,-0.676129
2460,10.768635,5.183787,0.472850
2470,10.774311,7.301271,-3.712238
2480,10.771394,6.480295,-2.087270
2490,10.766273,6.474705,-2.074630
2500,10.761049,4.480835,1.878458
2510,10.751034,4.715438,1.389854
2520,10.761361,6.435422,-2.022345
2530,10.806609,7.458898,-4.011878
2540,10.859813,5.899919,-0.856376
2550,10.899096,5.676494,-0.375574
2560,10.914998,6.239087,-1.476272
2570,10.902569,7.753488,-4.474019
2580,10.902310,3.700820,3.560172
2590,10.908882,4.292221,2.399463
2600,10.891451,4.433091,2.107670
2610,10.877805,6.201223,-1.430649
2620,10.866175,7.059971,-3.122132
2630,10.842553,6.121916,-1.290008
2640,10.845485,5.879211,-0.812321
2650,10.853230,3.464649,3.985731
2660,10.872824,4.696718,1.564594
2670,10.888570,5.029837,0.923658
2680,10.895164,6.364785,-1.721604
2690,10.906585,3.562008,3.846326
2700,10.924215,6.787487,-2.529220
2710,10.968828,5.904335,-0.732492
2720,11.015954,5.301847,0.500073
2730,11.066905,6.088203,-1.014631
2740,11.107319,4.049406,3.078076
2750,11.144670,6.058456,-0.870578
2760,11.186691,5.290933,0.693341
2770,11.262589,4.641168,2.052219
2780,11.324226,5.951334,-0.484180
2790,11.402013,6.194062,-0.883481
2800,11.469986,5.991166,-0.411771
2810,11.562451,4.563613,2.508478
2820,11.622665,5.659125,0.411107
2830,11.684888,6.219576,-0.641066
2840,11.764129,6.890341,-1.886526
2850,11.853591,6.067847,-0.184093
2860,11.987085,6.260946,-0.435874
2870,12.150245,6.819651,-1.415076
2880,12.332064,5.792455,0.830212
2890,12.489494,6.117624,0.341426
2900,12.640872,6.895937,-1.054807
2910,12.803418,7.973796,-3.048047
2920,12.998725,6.728287,-0.367923
2930,13.183925,5.936596,1.403665
