Tempo(s),Fila,E[N],E[W]
10,6,2.309140,1.282855
20,5,2.472392,1.373551
30,15,4.172377,1.896535
40,13,7.592401,3.301044
50,23,9.162965,3.983898
60,24,11.601315,5.480936
70,26,13.219837,6.210662
80,21,14.792568,7.215887
90,34,16.475430,7.643241
100,35,18.628311,8.664331
110,34,20.233930,9.511676
120,27,21.107543,10.213327
130,25,21.545743,10.490436
140,28,21.901033,10.572912
150,20,21.915708,10.673235
160,24,21.809243,10.671189
170,34,22.377725,10.776808
180,30,22.927609,11.123907
190,30,23.313772,11.214219
200,35,23.845532,11.436706
210,30,24.428720,11.820348
220,30,24.546863,11.894956
230,33,24.907489,12.035131
240,45,25.544174,12.163892
250,53,26.575477,12.606963
260,51,27.464078,13.150387
270,53,28.393634,13.544666
280,49,29.106497,13.931315
290,58,30.022685,14.391039
300,48,30.715502,14.838407
310,53,31.328712,15.174845
320,59,32.054661,15.448030
330,62,32.942787,15.801046
340,63,33.806135,16.166084
350,59,34.580084,16.579492
360,57,35.223485,16.907273
370,56,35.788890,17.108384
380,57,36.356196,17.399691
390,65,36.982469,17.632228
400,69,37.699522,17.973551
410,62,38.314879,18.481295
420,59,38.955371,18.741416
430,56,39.437576,19.183436
440,55,39.782374,19.427574
450,54,40.135321,19.674177
460,42,40.278611,19.773918
470,45,40.358830,19.800261
480,51,40.506378,19.799452
490,58,40.815779,19.880449
500,45,40.988104,20.072529
510,40,41.047762,20.129191
520,32,40.987987,20.107315
530,24,40.729955,20.099512
540,20,40.416132,19.949462
550,19,40.035162,19.766014
560,22,39.612956,19.493195
570,20,39.248304,19.269193
580,13,38.842157,19.205841
590,22,38.484803,19.064680
600,28,38.212192,18.916927
610,35,38.095393,18.755601
620,39,38.151398,18.787821
630,42,38.177522,18.790499
640,49,38.281147,18.831617
650,48,38.446514,18.917664
660,56,38.679125,18.937850
670,56,38.907111,19.027565
680,59,39.254583,19.189875
690,52,39.488418,19.351568
700,49,39.658007,19.467465
710,45,39.773752,19.515801
720,43,39.874398,19.637186
730,41,39.880872,19.684271
740,33,39.839080,19.667058
750,38,39.807547,19.641882
760,38,39.781784,19.683695
770,43,39.784086,19.725529
780,43,39.833907,19.714751
790,42,39.850524,19.725510
800,33,39.851680,19.777509
810,36,39.792204,19.786179
820,36,39.721574,19.740419
830,41,39.733788,19.712519
840,49,39.769738,19.755517
850,54,39.892415,19.714275
860,64,40.094038,19.748495
870,65,40.340243,19.850685
880,54,40.570573,20.068637
890,48,40.697078,20.122444
900,37,40.715522,20.167292
910,49,40.766119,20.117770
920,54,40.892571,20.150597
930,53,41.065050,20.228017
940,43,41.139131,20.331642
950,44,41.130942,20.340653
960,36,41.099668,20.306578
970,43,41.097135,20.256210
980,44,41.136580,20.268400
990,47,41.189131,20.267017
1000,41,41.262232,20.336240
1010,42,41.258779,20.357287
1020,40,41.273649,20.347570
1030,38,41.234407,20.321263
1040,31,41.195224,20.362658
1050,25,41.091613,20.332796
1060,25,40.931960,20.246327
1070,21,40.773356,20.169899
1080,24,40.613837,20.102174
1090,22,40.476959,20.063613
1100,9,40.221277,19.956430
1110,17,39.988702,19.833539
1120,11,39.750931,19.787130
1130,11,39.518630,19.646306
1140,3,39.280315,19.503292
1150,7,39.002828,19.341635
1160,12,38.769090,19.210655
1170,3,38.477866,19.124513
1180,5,38.171062,18.972979
1190,19,37.939263,18.803716
1200,33,37.822475,18.716276
1210,39,37.818543,18.670109
1220,36,37.815605,18.716040
1230,45,37.827923,18.656113
1240,61,37.960410,18.649330
1250,60,38.170372,18.755096
1260,62,38.357065,18.776185
1270,56,38.521453,18.903495
1280,63,38.704644,18.967054
1290,54,38.855014,19.050919
1300,47,38.921083,19.086159
1310,39,38.941346,19.127545
1320,43,38.942922,19.159395
1330,43,38.977680,19.157544
1340,42,39.025494,19.190518
1350,47,39.068371,19.172047
1360,40,39.100539,19.232091
1370,29,39.066664,19.238436
1380,20,38.980393,19.211765
1390,23,38.849103,19.149026
1400,21,38.739976,19.110629
1410,1,38.531064,19.076124
