Tempo(s),E[N],E[W],ErroLittle
10,5.066919,2.664061,-1.170023
20,8.901003,5.260361,-3.160878
30,12.659833,5.173545,0.606609
40,16.677536,7.150064,0.438794
50,19.864262,9.199608,0.182695
60,20.776793,10.564614,-0.699950
70,21.957193,11.437761,-1.328427
80,23.424548,12.209486,-1.035585
90,24.479909,12.499220,-0.640868
100,24.704773,11.435277,2.444171
110,24.174692,12.691094,-0.462056
120,24.182738,12.360729,-0.740658
130,24.566045,11.504992,1.215947
140,24.827412,13.463858,-2.460316
150,24.963135,12.666554,-0.996074
160,25.769403,12.833147,-1.333113
170,26.914628,11.730546,1.942954
180,27.444395,11.833460,2.696195
190,27.812533,12.831655,0.803128
200,28.378864,15.162434,-3.145974
210,28.776128,14.076953,-0.502474
220,29.031530,13.346897,1.321549
230,29.326636,13.661939,1.081205
240,29.680847,13.558403,1.494294
250,30.094944,13.614496,1.838962
260,30.294507,13.728025,1.801199
270,30.471062,15.259084,-1.169211
280,30.720564,15.266432,-0.976441
290,30.931916,15.760529,-1.575026
300,31.183439,14.511403,1.243235
310,31.351865,15.384914,-0.406796
320,31.341485,19.009396,-7.431514
330,31.235309,16.369346,-2.125782
340,31.105045,14.658236,1.072242
350,30.799263,15.239316,-0.319340
360,30.590137,14.498368,0.796283
370,30.487325,14.069642,1.626536
380,30.153842,15.260509,-1.146201
390,29.948460,14.502448,0.280473
400,29.629554,16.223810,-3.435405
410,29.449645,15.160455,-1.422327
420,29.315198,15.193640,-1.573031
430,29.239926,14.759877,-0.753753
440,29.242664,14.538078,-0.578998
450,29.279249,15.282540,-1.826730
460,29.310364,14.564248,-0.195436
470,29.393519,13.918251,1.202329
480,29.501362,15.717839,-2.571543
490,29.674270,15.783573,-2.526885
500,29.858577,14.274600,0.718514
510,29.985139,13.355337,2.771576
520,30.066702,15.275967,-1.119619
530,30.215687,14.432733,0.600608
540,30.300661,16.520979,-3.752106
550,30.418776,13.934225,1.860651
560,30.427464,14.538855,0.630252
570,30.345140,14.764716,0.220894
580,30.197550,13.976286,1.664771
590,30.177183,15.443056,-1.593845
600,30.271889,14.837838,-0.193081
610,30.406235,14.470839,0.472260
620,30.637206,14.533518,0.585670
630,30.847815,14.904427,0.117595
640,31.041545,16.460830,-2.952601
650,31.282342,15.663608,-1.191558
660,31.493561,17.709320,-5.202662
670,31.654934,15.569391,-0.620683
680,31.725066,14.555381,1.528373
690,31.867538,15.196027,0.441118
700,32.007201,14.804533,1.352944
710,32.165594,15.108993,0.849507
720,32.294128,15.196608,0.834974
730,32.416937,16.568237,-1.779109
740,32.572946,15.298017,1.075085
750,32.693337,15.460262,0.797705
