Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,1,1,1,4,1,1.894679,0.203729,0,0,0
20,0,0,0,0,0,3.255561,0.339121,0,0,0
30,1,7,6,15,1,4.180291,0.438492,0,0,0
40,2,1,1,5,1,5.513177,0.583405,0,0,0
50,4,2,5,12,1,8.038461,0.825304,0,0,0
60,1,3,0,5,1,8.444766,0.867613,0,0,0
70,4,8,6,19,1,10.885810,1.087028,2,0,0
80,14,4,9,28,1,12.641823,1.264182,2,0,0
90,4,12,12,29,1,14.448367,1.452908,2,0,0
100,14,13,15,43,1,17.569194,1.781866,5,3,1
110,16,18,16,51,1,20.624101,2.104500,6,5,5
120,2,3,6,12,1,21.704691,2.268783,6,5,7
130,8,3,6,18,1,21.342983,2.212590,6,5,7
140,1,2,3,7,1,21.102311,2.188388,6,5,7
150,12,10,10,33,1,20.340667,2.075578,6,5,7
160,5,5,9,20,1,20.729725,2.119333,6,5,7
170,2,4,7,14,1,20.711170,2.113385,6,5,7
180,17,13,11,42,1,21.236554,2.136713,6,5,7
190,13,4,15,33,1,21.880546,2.216047,6,5,7
200,14,15,13,43,1,22.902313,2.323928,7,6,8
210,11,10,13,35,1,23.701122,2.410284,7,10,8
220,8,10,7,26,1,24.295172,2.474508,7,10,8
230,11,13,12,37,1,24.705724,2.505431,7,10,8
240,12,17,12,42,1,25.031303,2.529479,7,10,8
250,11,10,20,42,1,25.602205,2.582950,10,10,9
260,18,13,16,48,1,26.087591,2.639212,10,10,11
270,16,15,15,47,1,27.049156,2.739412,13,17,14
280,17,6,14,38,1,27.818407,2.825228,15,20,16
290,14,15,15,45,1,28.484868,2.880269,18,27,16
300,5,9,9,24,1,28.710089,2.899033,18,27,16
310,8,11,16,36,1,28.688965,2.888463,18,27,16
320,8,11,11,31,1,28.870616,2.906133,18,27,16
330,5,8,11,25,1,28.891882,2.916586,18,27,16
340,5,9,4,19,1,28.687437,2.889994,18,27,16
350,6,7,2,16,1,28.109985,2.827966,18,27,16
360,2,10,8,21,1,27.732645,2.791097,18,27,16
370,6,6,3,16,1,27.667299,2.784793,18,27,16
380,1,4,3,9,1,27.355452,2.759509,18,27,16
390,13,10,6,30,1,27.366008,2.749998,18,27,16
400,14,15,16,46,1,27.652688,2.773590,18,27,16
410,15,15,17,48,1,28.256054,2.838761,26,29,17
420,15,15,14,45,1,28.744701,2.890990,28,29,26
430,11,16,10,38,1,28.947150,2.909601,28,29,26
440,17,9,3,30,1,29.074448,2.924727,28,32,26
450,11,18,13,43,1,29.050307,2.914747,28,32,26
460,11,14,6,32,1,29.070550,2.930627,28,32,26
470,3,3,5,12,1,28.887630,2.914810,28,32,26
480,3,4,2,10,1,28.548683,2.883705,28,32,26
490,1,7,5,14,1,28.254785,2.852842,28,32,26
500,1,0,0,2,1,27.841590,2.813419,28,32,26
510,2,3,1,7,1,27.379461,2.767795,28,32,26
520,3,2,4,10,1,26.962381,2.721887,28,32,26
530,3,1,2,7,1,26.555643,2.683923,28,32,26
540,7,3,5,16,1,26.298329,2.662373,28,32,26
550,5,6,6,18,1,26.218505,2.651255,28,32,26
560,7,8,9,25,1,26.076842,2.637831,28,32,26
570,6,2,5,14,1,25.861997,2.616960,28,32,26
580,8,5,5,19,1,25.740259,2.604108,28,32,26
590,8,7,4,20,1,25.580364,2.583875,28,32,26
600,3,6,9,19,1,25.432588,2.574149,28,32,26
610,10,11,12,34,1,25.481707,2.579035,28,32,26
620,13,16,11,41,1,25.654815,2.597744,28,32,26
630,18,13,19,51,1,25.972624,2.629822,29,32,29
640,11,16,10,38,1,26.279137,2.659916,29,32,32
650,7,10,8,26,1,26.379418,2.671229,29,32,32
660,14,7,12,34,1,26.347138,2.664589,29,32,32
670,13,12,16,42,1,26.578102,2.682231,29,32,33
680,12,14,19,46,1,26.888496,2.714397,32,34,35
690,12,12,11,36,1,27.076352,2.735786,33,34,35
700,10,11,14,36,1,27.146107,2.744011,33,34,35
710,11,10,3,25,1,27.146048,2.744758,33,34,35
720,5,8,3,17,1,27.014150,2.741007,33,34,35
730,7,10,11,29,1,27.039205,2.742237,33,34,35
740,6,8,2,17,1,26.981812,2.740774,33,34,35
750,2,2,4,9,1,26.774031,2.722414,33,34,35
760,0,4,5,10,1,26.497868,2.696262,33,34,35
770,9,7,10,27,1,26.432709,2.685826,33,34,35
780,6,8,5,20,1,26.491184,2.695424,33,34,35
790,7,6,11,25,1,26.453474,2.686495,33,34,35
800,8,3,6,18,1,26.441165,2.683701,33,34,35
810,11,12,8,32,1,26.364848,2.673116,33,34,35
820,12,14,8,35,1,26.415631,2.676488,33,34,35
830,9,9,12,31,1,26.512776,2.685248,33,34,35
840,6,11,10,28,1,26.581655,2.690840,33,34,35
850,6,5,12,24,1,26.597152,2.692019,33,34,35
860,6,7,12,26,1,26.583246,2.687070,33,34,35
870,11,8,13,33,1,26.603956,2.687580,33,34,35
880,12,5,10,28,1,26.667009,2.696113,33,34,35
890,10,4,8,23,1,26.607925,2.688890,33,34,35
900,0,0,0,0,0,26.466765,2.680330,33,34,35
910,0,1,0,2,1,26.202371,2.655843,33,34,35
920,10,3,6,20,1,26.073576,2.637459,33,34,35
930,0,0,0,0,0,25.928908,2.625355,33,34,35
940,1,0,1,3,1,25.739367,2.606097,33,34,35
950,0,5,3,9,1,25.591929,2.590276,33,34,35
960,4,1,4,10,1,25.488320,2.577018,33,34,35
970,5,9,5,20,1,25.446792,2.567976,33,34,35
980,8,15,14,38,1,25.598759,2.581210,33,34,39
990,12,19,15,47,1,25.781338,2.599137,33,34,39
1000,3,8,3,15,1,25.818977,2.607451,33,34,39
1010,5,4,2,12,1,25.753946,2.599329,33,34,39
1020,1,1,3,6,1,25.576867,2.583010,33,34,39
1030,5,6,7,19,1,25.519175,2.573152,33,34,39
1040,9,10,13,33,1,25.531975,2.573239,33,34,39
1050,12,14,11,38,1,25.608987,2.580312,33,34,39
1060,12,9,14,36,1,25.739347,2.594495,33,34,39
1070,17,18,9,45,1,25.910636,2.613289,33,41,39
1080,16,17,13,47,1,26.122041,2.630717,33,42,42
1090,8,17,14,40,1,26.255125,2.647616,33,44,42
1100,13,8,7,29,1,26.335826,2.658232,33,44,42
1110,2,3,8,14,1,26.354203,2.662768,33,44,42
1120,8,7,14,30,1,26.337976,2.660882,33,44,42
1130,2,3,7,13,1,26.332847,2.660121,33,44,42
1140,9,8,7,25,1,26.273077,2.651027,33,44,42
1150,0,2,3,6,1,26.138257,2.640924,33,44,42
1160,3,1,2,7,1,25.940571,2.622543,33,44,42
1170,0,3,3,7,1,25.748516,2.605133,33,44,42
1180,5,3,2,11,1,25.569679,2.585452,33,44,42
1190,4,8,10,23,1,25.495149,2.574394,33,44,42
1200,2,2,4,9,1,25.396442,2.566377,33,44,42
1210,2,4,5,12,1,25.214312,2.549028,33,44,42
1220,5,9,3,18,1,25.064075,2.535503,33,44,42
1230,11,11,14,37,1,25.116949,2.541448,33,44,43
1240,10,11,13,35,1,25.248247,2.553865,33,44,46
1250,3,0,3,7,1,25.258850,2.555116,33,44,46
1260,0,4,7,12,1,25.114621,2.539885,33,44,46
1270,11,13,11,36,1,25.124471,2.536010,33,44,46
1280,11,6,9,27,1,25.181478,2.544387,33,44,46
1290,4,0,4,9,1,25.101917,2.538927,33,44,46
1300,1,2,5,9,1,24.999209,2.526547,33,44,46
1310,3,4,0,8,1,24.872780,2.512596,33,44,46
1320,3,4,3,11,1,24.732516,2.498616,33,44,46
1330,10,10,9,30,1,24.759802,2.498902,33,44,46
1340,6,7,13,27,1,24.780898,2.501801,33,44,46
1350,13,20,17,51,1,24.911608,2.511626,33,50,54
1360,14,14,11,40,1,25.051926,2.525433,33,54,54
1370,13,11,17,42,1,25.167725,2.536211,33,55,54
1380,16,12,9,38,1,25.210615,2.542247,33,55,54
1390,11,5,13,30,1,25.338045,2.554016,34,55,58
1400,8,8,6,23,1,25.327021,2.551841,34,55,58
1410,4,6,4,15,1,25.279550,2.548014,34,55,58
1420,12,13,7,33,1,25.315418,2.547148,34,55,58
1430,2,3,2,8,1,25.277422,2.545902,34,55,58
1440,1,2,2,6,1,25.164265,2.534556,34,55,58
1450,2,2,0,5,1,25.020479,2.522927,34,55,58
1460,1,0,0,2,1,24.873731,2.510067,34,55,58
1470,4,2,9,16,1,24.777626,2.500214,34,55,58
1480,3,3,4,11,1,24.650174,2.489407,34,55,58
1490,9,5,6,21,1,24.603754,2.481863,34,55,58
1500,9,16,7,33,1,24.630734,2.485777,34,55,58
