Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,11,13,5,30,1,16.939257,1.472979,0,0,8
20,7,5,5,18,1,17.660277,1.766028,0,0,23
30,7,9,5,22,1,17.618414,1.755988,0,0,33
40,0,0,0,0,0,14.938032,1.560108,0,0,34
50,1,2,1,5,1,12.886849,1.382709,0,0,34
60,0,2,3,6,1,12.017961,1.287639,0,0,39
70,7,5,5,18,1,10.869452,1.149338,0,0,39
80,2,0,1,4,1,10.493339,1.146813,0,0,54
90,1,1,3,6,1,9.943312,1.078190,0,0,55
100,0,0,0,1,1,9.393402,1.019913,0,0,57
110,4,1,4,10,1,9.141248,0.983892,0,0,59
120,0,0,0,1,1,9.626095,1.041597,0,0,71
130,4,6,5,16,1,9.581972,1.029468,0,0,72
140,0,3,1,5,1,9.985254,1.076992,0,0,84
150,3,8,5,17,1,9.791364,1.042374,0,0,87
160,0,0,0,1,1,9.717356,1.044175,0,0,92
170,2,2,2,7,1,9.400399,1.010157,0,0,96
180,8,4,4,17,1,9.281937,0.994493,0,0,97
190,4,2,4,11,1,9.675436,1.038606,0,0,111
200,6,8,4,19,1,10.097200,1.075887,0,0,121
210,0,0,0,1,1,10.040362,1.075205,0,0,131
220,1,5,4,11,1,9.873733,1.053454,0,0,133
230,0,2,2,5,1,9.614211,1.028976,0,0,133
240,2,2,0,5,1,9.391949,1.002253,0,0,133
250,14,5,4,24,1,9.462853,1.003271,0,0,136
260,5,3,3,12,1,9.843781,1.046782,0,0,155
270,3,3,1,8,1,9.950117,1.058940,0,0,160
280,1,1,2,5,1,9.846453,1.044321,0,0,161
290,5,4,4,14,1,9.849561,1.044378,0,0,168
300,4,7,1,13,1,9.918265,1.052894,0,0,168
310,5,6,5,17,1,10.104710,1.072026,0,0,182
320,7,6,2,16,1,10.102217,1.075419,0,0,187
330,5,3,4,13,1,10.395951,1.108812,0,0,201
340,4,11,5,21,1,10.583965,1.128072,0,0,216
350,11,5,5,22,1,10.892816,1.162698,0,0,231
360,4,2,2,9,1,10.920980,1.166633,0,0,233
370,6,9,4,20,1,11.096845,1.181535,0,0,242
380,2,2,2,7,1,11.104084,1.185934,0,0,245
390,0,0,0,0,0,11.031300,1.175466,0,0,252
400,0,0,0,0,0,10.805777,1.152924,0,0,252
410,2,1,5,9,1,10.646038,1.135799,0,0,252
420,5,7,5,18,1,10.737773,1.144345,0,0,263
430,2,5,5,13,1,10.893864,1.160645,0,0,275
440,0,1,3,5,1,10.853657,1.156322,0,0,280
450,3,2,4,10,1,10.768635,1.144517,0,0,283
460,2,4,4,11,1,10.806950,1.145965,0,0,287
470,9,5,3,18,1,11.048137,1.172679,0,0,295
480,0,1,0,2,1,10.983309,1.170253,0,0,302
490,2,0,2,5,1,10.851903,1.155964,0,0,302
500,4,3,3,11,1,10.745291,1.140931,0,0,304
510,0,0,0,0,0,10.694218,1.134134,0,0,305
520,7,3,5,16,1,10.706447,1.134805,0,0,311
530,1,1,3,6,1,10.710082,1.138913,0,0,315
540,3,1,4,9,1,10.701281,1.134857,0,0,318
550,6,3,2,12,1,10.685998,1.132864,0,0,324
560,5,5,4,15,1,10.706111,1.134637,0,0,331
570,3,4,3,11,1,10.804279,1.144266,0,0,343
580,8,10,4,23,1,10.776269,1.139514,0,0,344
590,4,3,2,10,1,10.876445,1.152290,0,0,349
600,2,2,5,10,1,10.845559,1.147274,0,0,357
610,3,4,3,11,1,10.804613,1.143246,0,0,360
620,1,3,0,5,1,10.756575,1.138651,0,0,360
630,0,3,2,6,1,10.731883,1.136699,0,0,368
640,2,6,2,11,1,10.698889,1.131035,0,0,370
650,1,5,3,10,1,10.772181,1.139450,0,0,389
660,7,8,2,18,1,10.841277,1.148330,0,0,397
670,8,7,4,20,1,10.836165,1.148226,0,0,399
680,8,4,3,16,1,10.963577,1.162337,0,0,406
690,3,6,4,14,1,10.901114,1.156306,0,0,408
700,5,5,5,16,1,10.915120,1.156613,0,0,418
710,8,6,5,20,1,10.960718,1.161509,0,0,430
720,12,2,1,16,1,11.065299,1.173691,0,0,445
730,3,6,2,12,1,11.151960,1.183619,0,0,453
740,4,3,5,13,1,11.092892,1.174187,0,0,453
750,2,2,2,7,1,11.035163,1.167001,0,0,455
760,0,2,1,4,1,10.927495,1.156832,0,0,455
770,1,1,4,7,1,10.928130,1.155384,0,0,457
780,4,2,4,11,1,10.968687,1.160235,0,0,463
790,0,0,0,1,1,10.896284,1.154515,0,0,463
800,2,1,0,4,1,10.799454,1.145071,0,0,463
