Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,12,6,0,19,1,7.679251,0.738390,0,0,0
20,18,13,0,32,1,13.929845,1.333000,0,0,0
30,11,15,2,29,1,20.501821,2.050182,1,8,0
40,6,12,0,19,1,21.139768,2.213588,1,8,0
50,1,3,0,5,1,19.056633,2.031624,1,8,0
60,0,0,0,0,0,16.655155,1.750104,1,8,0
70,9,9,0,19,1,15.350601,1.566388,1,8,0
80,5,6,0,12,1,15.140116,1.575045,1,8,0
90,13,6,0,20,1,15.013234,1.553093,1,8,0
100,20,14,1,36,1,16.280867,1.671547,13,8,0
110,5,11,0,17,1,17.020969,1.763001,13,8,0
120,0,1,0,2,1,16.357041,1.696495,13,8,0
130,7,13,0,21,1,15.916886,1.629288,13,8,0
140,13,15,0,29,1,16.486508,1.661707,13,9,0
150,8,14,0,23,1,16.775197,1.686514,13,9,0
160,5,4,0,10,1,16.510488,1.671948,13,9,0
170,8,8,0,17,1,15.900156,1.607987,13,9,0
180,8,10,0,19,1,16.252976,1.649118,13,9,0
190,6,7,0,14,1,16.423001,1.661539,13,9,0
200,3,5,0,9,1,16.167964,1.634779,13,9,0
210,17,8,0,26,1,16.280387,1.639751,13,9,0
220,0,2,0,3,1,16.236347,1.636279,14,9,0
230,0,1,1,3,1,15.611406,1.579685,14,9,0
240,2,1,0,4,1,15.245835,1.544534,14,9,0
250,1,0,0,2,1,14.790508,1.510468,14,9,0
260,2,4,0,7,1,14.398666,1.471562,14,9,0
270,0,1,0,2,1,14.262946,1.455953,14,9,0
280,2,3,0,6,1,13.935300,1.416806,14,9,0
290,15,15,0,31,1,14.215955,1.429482,14,9,0
300,16,18,0,35,1,14.922263,1.503755,23,18,0
310,15,12,0,28,1,15.367237,1.552752,23,23,0
320,19,20,3,43,1,16.001567,1.622980,38,23,0
330,12,13,0,26,1,16.491274,1.682263,38,32,0
340,20,9,0,30,1,16.988946,1.728896,52,39,0
350,12,15,1,29,1,17.318860,1.763118,53,41,0
360,13,11,0,25,1,17.609883,1.793369,57,42,0
370,18,18,2,39,1,17.993820,1.827536,65,46,0
380,3,8,0,12,1,18.030013,1.835853,65,46,0
390,1,2,0,4,1,17.699050,1.801783,65,46,0
400,0,0,0,1,1,17.359542,1.765976,65,46,0
410,7,3,0,11,1,17.123364,1.736907,65,46,0
420,10,5,0,16,1,17.133077,1.732697,65,46,0
430,16,16,1,34,1,17.346506,1.752996,65,46,0
440,20,15,0,36,1,17.707649,1.788241,67,58,0
450,10,8,0,19,1,17.881368,1.807822,67,58,0
460,12,13,0,26,1,18.000416,1.820222,67,58,0
470,14,13,0,28,1,18.295245,1.853981,68,62,0
480,17,19,0,37,1,18.639551,1.888346,73,77,0
490,14,17,1,33,1,18.917429,1.917175,73,79,0
500,18,20,0,39,1,19.209489,1.945462,78,86,0
510,12,18,0,31,1,19.439327,1.970202,85,92,0
520,7,1,0,9,1,19.458510,1.973557,85,92,0
530,0,3,0,4,1,19.239489,1.953435,85,92,0
540,6,3,0,10,1,19.055459,1.931659,85,92,0
550,2,1,0,4,1,18.892512,1.915723,85,92,0
560,9,3,0,13,1,18.718945,1.896961,85,92,0
570,7,10,0,18,1,18.761673,1.897472,85,92,0
580,17,13,0,31,1,18.695471,1.885804,85,92,0
