Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,11,0,2,14,1,9.619689,0.899036,0,0,0
20,10,1,1,13,1,8.864252,0.844215,0,0,0
30,7,0,0,8,1,9.291610,0.919961,0,0,0
40,19,5,2,27,1,11.776796,1.168913,8,0,0
50,19,5,1,26,1,14.642806,1.449783,25,0,0
60,20,1,1,23,1,15.925161,1.630563,40,0,0
70,17,2,4,24,1,16.821667,1.741889,55,0,0
80,15,2,2,20,1,17.722406,1.848491,80,0,0
90,19,4,5,29,1,17.762915,1.837543,83,0,0
100,13,4,3,21,1,18.314167,1.903760,88,0,0
110,5,1,1,8,1,18.760613,1.941362,89,0,0
120,2,0,1,4,1,17.445530,1.823575,89,0,0
130,7,2,1,11,1,16.622725,1.719136,89,0,0
140,15,2,3,21,1,16.692117,1.713267,89,0,0
150,5,1,1,8,1,16.442927,1.698649,90,0,0
160,0,0,0,1,1,15.993947,1.648860,90,0,0
170,4,0,1,6,1,15.380601,1.577974,90,0,0
180,8,1,0,10,1,14.919068,1.518910,90,0,0
190,0,1,0,2,1,14.405759,1.464470,90,0,0
200,7,2,0,10,1,13.997633,1.425421,90,0,0
210,13,0,2,16,1,13.659650,1.384424,90,0,0
220,16,2,3,22,1,13.747137,1.394362,90,0,0
230,16,0,0,17,1,14.072501,1.435970,97,0,0
240,15,3,2,21,1,14.430174,1.466854,108,0,0
250,17,5,6,29,1,14.701336,1.491613,108,0,0
260,6,0,0,7,1,14.856673,1.513611,112,0,0
270,9,1,3,14,1,14.790527,1.500730,112,0,0
280,9,0,3,13,1,15.000485,1.524550,123,0,0
290,2,0,0,3,1,14.857962,1.512393,123,0,0
300,3,0,0,4,1,14.506002,1.475687,123,0,0
310,13,1,1,16,1,14.175018,1.445003,123,0,0
320,19,2,5,27,1,14.424801,1.469575,135,0,0
330,9,2,1,13,1,14.569028,1.483882,142,0,0
340,0,0,0,0,0,14.325182,1.462192,142,0,0
350,0,0,0,0,0,14.016309,1.429402,142,0,0
