Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,4,3,2,10,1,5.704519,0.613389,1,3,0
20,1,1,0,3,1,6.349078,0.709394,11,5,1
30,0,0,1,2,1,5.860237,0.612568,13,10,1
40,4,4,5,14,1,5.957575,0.615770,18,14,4
50,4,1,4,10,1,6.392116,0.660343,19,18,10
60,1,3,2,7,1,7.096542,0.745696,29,25,13
70,0,2,0,3,1,6.975212,0.734233,30,25,14
80,0,0,0,1,1,6.689171,0.706914,30,25,17
90,0,0,0,0,0,6.104301,0.648627,30,25,17
100,0,0,3,4,1,5.806795,0.615779,30,25,17
110,3,1,3,8,1,5.544123,0.586962,30,25,17
120,0,1,1,3,1,5.691101,0.608132,32,28,19
130,1,3,1,6,1,5.675201,0.607223,32,29,19
140,2,1,1,5,1,5.834360,0.624473,36,30,21
150,0,0,0,0,0,5.833844,0.625949,37,31,21
160,0,0,0,1,1,5.912101,0.640011,43,41,23
170,2,4,5,12,1,6.055631,0.653209,46,47,29
180,0,0,0,0,0,6.109620,0.661692,47,51,36
190,4,2,3,10,1,6.080454,0.657533,47,51,41
200,5,2,4,12,1,6.106973,0.659144,49,54,41
210,3,1,5,10,1,6.323647,0.686642,58,57,45
220,3,2,2,8,1,6.471180,0.703737,63,62,51
230,1,3,4,9,1,6.469905,0.704916,65,66,56
240,1,1,2,5,1,6.361933,0.692770,65,66,56
250,3,5,4,13,1,6.288782,0.678841,65,66,56
260,5,1,2,9,1,6.506579,0.703414,84,77,68
270,3,2,1,7,1,6.570234,0.709585,84,78,69
280,0,1,2,4,1,6.579316,0.708814,86,79,72
290,0,0,0,1,1,6.561778,0.706878,89,82,74
300,3,1,1,6,1,6.512429,0.698509,90,86,77
310,0,0,0,1,1,6.419625,0.687421,90,88,77
320,5,1,0,7,1,6.465126,0.693311,93,93,87
330,2,3,3,9,1,6.484106,0.692701,99,93,90
340,4,0,0,5,1,6.425065,0.685233,99,97,90
350,0,0,1,2,1,6.523754,0.697408,102,108,96
360,4,5,4,14,1,6.489611,0.694489,103,109,98
370,1,2,1,5,1,6.431393,0.691146,105,110,99
380,0,0,0,0,0,6.376052,0.685209,105,111,102
390,2,2,0,5,1,6.287319,0.676429,105,111,104
400,0,0,0,0,0,6.282175,0.672970,106,112,104
410,2,3,2,8,1,6.235807,0.668588,106,112,107
420,2,1,2,6,1,6.176334,0.662257,106,112,107
430,0,1,2,4,1,6.249769,0.670008,117,117,111
440,4,0,0,5,1,6.280310,0.673000,119,117,113
450,4,2,3,10,1,6.346872,0.682459,125,118,120
460,0,2,0,3,1,6.289400,0.676596,125,118,120
470,5,5,5,16,1,6.340049,0.681414,133,124,123
480,4,1,5,11,1,6.341935,0.680861,134,127,130
490,2,5,2,10,1,6.380830,0.685209,142,128,137
500,1,1,2,5,1,6.414268,0.689410,142,129,139
510,4,4,3,12,1,6.432545,0.690652,143,137,142
520,5,3,2,11,1,6.431154,0.689384,144,140,145
530,0,1,0,2,1,6.404718,0.688400,144,142,147
540,3,1,3,8,1,6.366154,0.682901,145,142,147
550,3,1,1,6,1,6.371324,0.684420,157,145,152
560,1,1,1,4,1,6.319181,0.680920,157,145,152
570,3,0,1,5,1,6.344129,0.682551,160,148,156
580,2,0,0,3,1,6.326879,0.680183,160,149,156
590,4,2,1,8,1,6.319738,0.680161,164,153,157
600,1,1,0,3,1,6.293502,0.676963,164,154,158
610,3,2,5,11,1,6.290813,0.676312,167,158,159
620,0,5,3,9,1,6.328605,0.680968,172,169,163
630,4,4,4,13,1,6.369024,0.685660,176,173,166
640,0,0,0,1,1,6.384420,0.689044,183,175,169
650,4,1,3,9,1,6.334123,0.683917,184,175,169
660,5,2,2,10,1,6.319128,0.681809,184,175,169
670,1,0,1,3,1,6.330773,0.682700,187,177,170
680,5,3,4,13,1,6.345005,0.683015,192,179,172
690,1,2,1,5,1,6.381288,0.688090,197,182,180
700,2,3,0,6,1,6.350755,0.683822,197,182,182
710,0,2,3,6,1,6.294452,0.677644,197,182,183
720,3,1,5,10,1,6.291577,0.677526,197,183,186
730,1,0,0,2,1,6.297806,0.678683,200,189,192
740,0,3,1,5,1,6.300499,0.679349,201,191,193
750,3,0,0,4,1,6.289681,0.677573,203,191,193
760,3,5,5,14,1,6.336524,0.682602,210,192,197
770,0,4,2,7,1,6.348645,0.684946,212,197,204
780,3,3,4,11,1,6.347286,0.684485,214,198,206
790,3,2,5,11,1,6.334156,0.683604,214,198,206
800,4,4,1,10,1,6.396393,0.691502,225,210,217
810,3,2,4,10,1,6.411897,0.694522,231,212,223
820,1,1,2,5,1,6.385176,0.692297,232,212,225
830,0,1,0,2,1,6.420592,0.696158,234,218,232
840,0,2,1,4,1,6.414768,0.694740,234,219,233
850,5,2,3,11,1,6.386847,0.690953,235,219,233
860,3,1,1,6,1,6.390304,0.691800,236,225,238
870,0,0,0,0,0,6.349693,0.689151,236,225,239
880,0,0,0,1,1,6.333112,0.688127,238,226,243
890,1,0,0,2,1,6.320981,0.687231,239,226,243
900,0,2,1,4,1,6.279145,0.683011,239,226,243
910,3,3,0,7,1,6.286445,0.682738,241,226,245
920,4,2,2,9,1,6.319267,0.686633,244,227,247
930,0,0,0,1,1,6.310329,0.685585,245,227,247
940,5,1,2,9,1,6.296431,0.683052,249,230,248
950,0,0,0,1,1,6.302633,0.684364,252,236,253
960,3,4,2,10,1,6.323615,0.686494,252,241,260
970,0,0,0,1,1,6.283076,0.682561,252,241,260
980,0,0,0,1,1,6.269069,0.680289,252,241,261
990,3,3,4,11,1,6.278975,0.680704,252,244,272
1000,4,2,2,9,1,6.278897,0.680934,257,248,272
1010,1,2,2,6,1,6.242639,0.677381,257,248,272
1020,1,0,1,3,1,6.233920,0.676159,257,248,272
1030,1,0,2,4,1,6.209799,0.673273,257,248,272
1040,0,1,0,2,1,6.216882,0.673776,262,249,272
1050,3,5,3,12,1,6.198168,0.671420,262,252,274
1060,3,4,3,11,1,6.202395,0.671968,262,253,275
1070,4,5,5,15,1,6.225832,0.674255,269,257,275
1080,2,3,3,9,1,6.235849,0.675024,272,257,279
1090,0,0,3,4,1,6.222717,0.674097,272,257,279
1100,2,5,3,11,1,6.220501,0.674209,276,259,283
1110,2,2,3,8,1,6.238415,0.676499,279,260,288
1120,2,1,2,6,1,6.243543,0.677462,282,264,292
1130,5,4,3,13,1,6.271921,0.680814,295,270,295
1140,1,1,1,4,1,6.283914,0.681994,300,273,297
1150,4,1,1,7,1,6.258059,0.679004,303,273,297
1160,4,4,3,12,1,6.262705,0.679455,306,278,300
1170,4,2,2,9,1,6.299170,0.682979,309,284,305
1180,2,3,3,9,1,6.285985,0.682254,313,284,305
1190,0,1,2,4,1,6.290517,0.682443,313,284,306
1200,1,1,2,5,1,6.290345,0.682867,318,284,306
1210,2,2,4,9,1,6.289440,0.682470,319,294,307
1220,5,5,3,14,1,6.310796,0.685041,321,295,308
1230,1,2,1,5,1,6.328761,0.686816,321,300,311
1240,2,4,2,9,1,6.361094,0.690878,327,304,319
1250,4,3,2,10,1,6.391589,0.694436,333,307,327
1260,0,0,0,1,1,6.392887,0.694939,334,308,335
1270,0,0,0,1,1,6.364747,0.692294,334,308,335
1280,3,3,3,10,1,6.384170,0.694167,338,317,340
1290,5,4,4,14,1,6.387416,0.694460,339,321,342
1300,0,0,0,1,1,6.370278,0.693059,339,322,342
1310,0,1,1,3,1,6.351571,0.690732,340,322,342
1320,4,1,3,9,1,6.325737,0.687693,340,322,342
1330,2,2,4,9,1,6.366753,0.693342,347,325,353
1340,0,0,0,1,1,6.384346,0.695191,353,330,358
1350,1,1,0,3,1,6.366837,0.692940,357,330,358
1360,0,0,0,1,1,6.345816,0.690535,357,330,358
1370,2,1,2,6,1,6.341615,0.689963,357,333,360
1380,0,0,0,1,1,6.330188,0.687901,357,339,365
1390,5,2,4,12,1,6.330914,0.687444,361,344,365
1400,1,4,5,11,1,6.322722,0.686453,363,344,367
1410,0,0,0,0,0,6.330551,0.687573,365,348,373
1420,4,3,2,10,1,6.356311,0.691009,371,354,382
1430,4,5,4,14,1,6.361309,0.690764,372,356,383
1440,2,1,2,6,1,6.364681,0.691031,374,357,384
1450,3,2,1,7,1,6.389689,0.693492,382,361,394
1460,4,4,4,13,1,6.392149,0.693096,384,361,395
1470,0,0,1,2,1,6.420188,0.696919,404,367,402
1480,0,0,1,2,1,6.411795,0.696116,405,367,402
1490,4,4,4,13,1,6.414250,0.696541,406,369,404
1500,1,3,5,10,1,6.440855,0.699333,409,378,410
1510,0,0,0,1,1,6.446078,0.699955,411,382,413
1520,0,0,0,0,0,6.412463,0.696559,411,382,413
1530,4,4,4,13,1,6.392079,0.694249,412,382,413
1540,1,1,0,3,1,6.398228,0.694773,416,385,421
1550,4,4,3,12,1,6.406378,0.695809,423,387,423
1560,3,2,5,11,1,6.408962,0.695705,423,389,427
1570,1,1,2,5,1,6.400021,0.694789,423,389,428
1580,3,0,0,4,1,6.393150,0.693810,425,392,430
1590,5,3,4,13,1,6.391812,0.693340,430,393,431
1600,0,0,0,0,0,6.390876,0.693859,430,396,435
1610,3,0,1,5,1,6.379438,0.692249,430,396,438
1620,2,3,4,10,1,6.389492,0.693161,432,399,440
1630,4,4,3,12,1,6.394579,0.693168,434,401,443
1640,3,4,3,11,1,6.423454,0.696493,443,412,450
1650,0,4,1,6,1,6.402831,0.694816,443,412,450
1660,2,0,3,6,1,6.410493,0.695472,443,417,454
1670,2,0,0,3,1,6.422551,0.696788,447,421,456
1680,3,3,2,9,1,6.414059,0.695426,447,421,457
1690,3,4,5,13,1,6.416371,0.695151,447,421,462
1700,0,3,0,4,1,6.415362,0.695144,451,425,463
1710,0,2,2,5,1,6.425127,0.696038,452,429,466
1720,1,2,0,4,1,6.406828,0.694595,452,429,466
1730,2,0,0,3,1,6.400179,0.694406,452,430,466
1740,1,2,1,5,1,6.375691,0.692231,452,430,466
1750,3,3,2,9,1,6.380248,0.692559,454,430,468
1760,0,1,0,2,1,6.374590,0.691566,454,431,468
1770,1,0,0,2,1,6.371054,0.691105,454,432,469
1780,0,2,2,5,1,6.375599,0.691438,458,435,469
1790,1,0,0,2,1,6.370596,0.690904,458,435,471
1800,0,0,0,0,0,6.352026,0.689023,459,435,473
1810,3,4,5,13,1,6.359910,0.689597,467,441,477
1820,4,1,4,10,1,6.359147,0.689318,470,441,480
1830,1,2,2,6,1,6.360399,0.689832,471,442,482
1840,1,2,2,6,1,6.364476,0.690445,476,444,491
1850,1,3,3,8,1,6.356962,0.689637,478,444,491
1860,3,5,3,12,1,6.385016,0.692849,492,451,502
1870,4,1,0,6,1,6.395088,0.694231,498,456,512
1880,1,1,0,3,1,6.391200,0.693493,500,461,513
1890,1,3,5,10,1,6.402072,0.694559,504,468,516
1900,2,2,4,9,1,6.423992,0.697223,506,480,523
1910,0,0,0,0,0,6.413793,0.696082,506,480,523
1920,3,3,1,8,1,6.413117,0.695817,507,489,524
1930,0,3,0,4,1,6.406388,0.695485,508,490,524
1940,1,1,1,4,1,6.387897,0.693909,508,490,524
1950,0,1,1,3,1,6.368861,0.691920,508,490,525
1960,3,1,5,10,1,6.387055,0.693438,509,495,532
1970,1,4,3,9,1,6.383040,0.692510,509,496,533
1980,5,4,5,15,1,6.392132,0.693427,511,499,536
1990,0,1,3,5,1,6.401964,0.694462,517,504,540
2000,0,0,0,1,1,6.382694,0.692492,517,504,540
2010,2,4,5,12,1,6.384160,0.692470,520,506,543
2020,5,1,2,9,1,6.380474,0.692412,525,508,546
2030,1,0,1,3,1,6.376380,0.692677,528,508,546
2040,1,2,0,4,1,6.371278,0.692014,528,508,549
2050,4,4,4,13,1,6.358757,0.690620,528,510,550
2060,3,3,2,9,1,6.365652,0.691262,531,512,551
2070,0,1,1,3,1,6.355442,0.689976,531,512,551
2080,0,3,2,6,1,6.338339,0.688087,531,512,551
2090,1,0,2,4,1,6.332421,0.687234,535,514,553
2100,0,0,0,1,1,6.325818,0.686984,535,515,554
2110,1,1,0,3,1,6.309700,0.685272,535,515,554
2120,4,2,4,11,1,6.299680,0.683836,535,515,554
2130,3,5,5,14,1,6.296362,0.683376,538,521,556
2140,2,1,0,4,1,6.302612,0.683990,543,521,559
2150,0,0,0,1,1,6.290020,0.682938,543,521,559
2160,1,0,1,3,1,6.290130,0.682576,544,523,561
2170,2,5,4,12,1,6.280887,0.681476,544,526,561
2180,1,0,0,2,1,6.295063,0.683224,549,531,565
2190,0,0,0,1,1,6.297678,0.683242,552,534,567
2200,2,1,4,8,1,6.304821,0.683753,552,535,572
2210,3,1,4,9,1,6.323146,0.685411,558,544,577
2220,2,3,3,9,1,6.322462,0.685178,560,544,579
2230,0,0,0,1,1,6.320175,0.685505,563,545,582
2240,4,2,0,7,1,6.301386,0.683706,563,545,582
2250,1,0,1,3,1,6.304740,0.684174,566,549,585
2260,0,0,2,3,1,6.307991,0.684302,567,550,585
2270,0,0,0,1,1,6.305481,0.684199,568,551,588
2280,0,0,0,0,0,6.288677,0.682153,568,551,590
2290,3,3,5,12,1,6.307116,0.684160,580,565,591
2300,4,4,4,13,1,6.325162,0.686285,589,570,598
2310,0,4,3,8,1,6.315905,0.685254,589,573,600
2320,2,3,5,11,1,6.318557,0.685483,590,574,600
2330,0,0,1,2,1,6.327650,0.686859,590,578,609
