Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,2,5,3,11,1,3.196371,0.307343,0,0,0
20,0,0,0,1,1,6.071796,0.625958,0,0,0
30,6,5,10,22,1,6.755522,0.696446,0,0,0
40,3,4,3,11,1,10.200376,1.093874,0,0,0
50,4,1,6,12,1,10.444480,1.111115,0,0,0
60,0,0,0,0,0,9.323372,0.991848,0,0,0
70,4,4,0,9,1,8.880488,0.962282,0,0,0
80,11,2,4,18,1,9.514026,1.029935,0,0,0
90,7,6,10,24,1,10.740541,1.152144,0,0,0
100,1,1,1,4,1,10.803248,1.180683,0,0,0
110,2,3,3,9,1,10.197504,1.120605,0,0,0
120,13,13,8,35,1,10.746060,1.159647,0,0,0
130,6,2,3,12,1,11.461464,1.240625,0,0,0
140,1,1,2,5,1,11.036166,1.192178,0,0,0
150,0,0,0,0,0,10.607040,1.145469,0,0,0
160,2,1,2,6,1,10.156017,1.106169,0,0,0
170,4,0,1,6,1,9.744533,1.058512,0,0,0
180,6,5,4,16,1,9.512441,1.031470,0,0,0
190,3,7,6,17,1,9.874607,1.077642,0,0,0
200,16,15,14,46,1,11.058106,1.194180,0,0,0
210,6,8,6,21,1,11.974561,1.295548,0,0,0
220,1,0,2,4,1,11.973545,1.297626,0,0,0
230,1,3,1,6,1,11.618104,1.262241,0,0,0
240,1,0,0,2,1,11.214556,1.226193,0,0,0
250,4,4,2,11,1,11.105774,1.209779,0,0,0
260,0,1,1,3,1,10.948708,1.185122,0,0,0
270,5,8,8,22,1,10.916011,1.173765,0,0,0
280,2,3,2,8,1,11.059906,1.193362,0,0,0
290,1,1,0,3,1,10.785735,1.163640,0,0,0
300,0,0,0,0,0,10.495435,1.131380,0,0,0
310,0,1,0,2,1,10.337475,1.112714,0,0,0
320,4,2,1,8,1,10.103325,1.089307,0,0,0
330,0,0,0,0,0,10.056912,1.090628,0,0,0
340,1,1,3,6,1,9.836560,1.070218,0,0,0
350,0,0,0,0,0,9.688828,1.057732,0,0,0
360,1,4,1,7,1,9.495407,1.042497,0,0,0
370,1,3,1,6,1,9.400752,1.030601,0,0,0
380,4,3,3,11,1,9.216691,1.014584,0,0,0
390,0,1,0,2,1,9.191541,1.012056,0,0,0
400,0,0,0,0,0,9.033885,0.996568,0,0,0
410,0,1,0,2,1,8.873141,0.979797,0,0,0
420,0,0,2,3,1,8.702493,0.963376,0,0,0
430,4,7,7,19,1,8.640465,0.952422,0,0,0
440,15,14,20,50,1,9.259924,1.016052,0,0,2
450,16,14,8,39,1,10.062042,1.104370,2,3,2
460,7,8,6,22,1,10.650518,1.171506,2,3,2
470,4,3,10,18,1,10.772773,1.183544,2,3,2
480,6,4,11,22,1,10.774616,1.184837,2,3,2
490,2,1,0,4,1,10.892605,1.200220,2,3,2
500,1,1,1,4,1,10.731711,1.183732,2,3,2
510,0,0,0,1,1,10.548422,1.167722,2,3,2
520,0,0,0,0,0,10.504233,1.162170,2,3,2
530,3,0,1,5,1,10.349394,1.145131,2,3,2
540,0,0,1,2,1,10.338912,1.142188,2,3,2
550,0,1,0,2,1,10.198572,1.129751,2,3,2
560,1,1,2,5,1,10.051964,1.116221,2,3,2
570,4,0,4,9,1,9.923005,1.102341,2,3,2
580,0,0,0,1,1,9.806018,1.091230,2,3,2
590,2,1,1,5,1,9.687210,1.079814,2,3,2
600,0,1,0,2,1,9.573567,1.069473,2,3,2
610,0,0,0,1,1,9.465362,1.058843,2,3,2
620,2,4,4,11,1,9.437625,1.054293,2,3,2
630,0,0,1,2,1,9.389335,1.048995,2,3,2
640,0,0,0,0,0,9.316639,1.042057,2,3,2
650,1,2,0,4,1,9.230208,1.033707,2,3,2
660,7,7,1,16,1,9.177009,1.026407,2,3,2
670,1,5,1,8,1,9.197821,1.030008,2,3,2
680,3,4,4,12,1,9.185676,1.029716,2,3,2
690,0,0,0,0,0,9.097835,1.019738,2,3,2
700,1,0,0,2,1,9.013077,1.010111,2,3,2
710,0,1,0,2,1,9.032256,1.011339,2,3,2
720,6,7,2,16,1,9.047699,1.012173,2,3,2
730,2,3,4,10,1,9.121003,1.019185,2,3,2
740,7,5,3,16,1,9.142237,1.021788,2,3,2
750,6,2,7,16,1,9.289841,1.036350,2,3,2
760,1,0,0,2,1,9.309741,1.039278,2,3,2
770,2,1,1,5,1,9.282274,1.035398,2,3,2
780,2,1,1,5,1,9.210212,1.027896,2,3,2
790,1,0,0,2,1,9.126702,1.019671,2,3,2
800,0,0,0,0,0,9.052378,1.011863,2,3,2
810,0,0,1,2,1,8.994929,1.004951,2,3,2
820,5,3,3,12,1,8.931814,0.997968,2,3,2
830,3,1,2,7,1,8.915430,0.995534,2,3,2
840,0,0,0,0,0,8.842105,0.988865,2,3,2
850,7,5,6,19,1,8.864274,0.990226,2,3,2
860,12,10,11,34,1,9.097317,1.014615,2,3,2
870,12,12,11,36,1,9.408429,1.049671,2,6,2
880,14,12,14,41,1,9.694044,1.080390,2,6,2
890,1,7,6,15,1,9.898566,1.106471,2,6,2
900,1,3,1,6,1,9.858974,1.102931,2,6,2
910,2,3,2,8,1,9.818377,1.097497,2,6,2
920,1,1,1,4,1,9.758769,1.090233,2,6,2
930,0,0,0,1,1,9.679018,1.081520,2,6,2
940,0,1,0,2,1,9.608458,1.074209,2,6,2
950,7,6,3,17,1,9.561988,1.067813,2,6,2
960,4,5,0,10,1,9.564202,1.068875,2,6,2
970,0,1,4,6,1,9.576349,1.070045,2,6,2
980,0,0,0,0,0,9.520192,1.064073,2,6,2
990,3,3,1,8,1,9.507152,1.061832,2,6,2
1000,0,0,0,1,1,9.448984,1.054692,2,6,2
1010,1,1,1,4,1,9.381281,1.048710,2,6,2
1020,1,0,0,2,1,9.333744,1.044249,2,6,2
1030,2,1,1,5,1,9.281200,1.038188,2,6,2
1040,0,0,0,0,0,9.220414,1.032210,2,6,2
1050,4,1,3,9,1,9.243045,1.033127,2,6,2
1060,2,2,1,6,1,9.238098,1.032734,2,6,2
1070,1,2,0,4,1,9.186142,1.027296,2,6,2
1080,1,0,2,4,1,9.126199,1.019371,2,6,2
1090,4,5,5,15,1,9.109189,1.017421,2,6,2
1100,2,4,1,8,1,9.096131,1.015708,2,6,2
1110,1,1,0,3,1,9.030600,1.009361,2,6,2
1120,1,0,1,3,1,8.980533,1.003712,2,6,2
1130,2,1,0,4,1,8.914468,0.996868,2,6,2
1140,2,2,0,5,1,8.869783,0.992302,2,6,2
1150,4,4,4,13,1,8.829220,0.987128,2,6,2
1160,0,0,0,1,1,8.822327,0.986590,2,6,2
1170,0,0,0,0,0,8.781599,0.982921,2,6,2
1180,1,0,0,2,1,8.719138,0.976517,2,6,2
1190,0,0,1,2,1,8.682589,0.972175,2,6,2
1200,3,8,8,20,1,8.680853,0.971194,2,6,2
1210,0,0,0,1,1,8.639522,0.968574,2,6,2
1220,3,0,1,5,1,8.586276,0.963862,2,6,2
1230,1,0,1,3,1,8.548178,0.959243,2,6,2
1240,10,8,11,30,1,8.584812,0.961449,2,6,2
1250,8,9,6,24,1,8.655345,0.969895,2,6,2
1260,6,9,8,24,1,8.758067,0.980642,2,6,2
1270,5,5,11,22,1,8.825190,0.987488,2,6,2
1280,6,12,8,27,1,8.922950,0.996543,2,6,2
1290,7,5,5,18,1,9.021575,1.007168,2,6,2
1300,8,9,5,23,1,9.104906,1.015998,2,6,2
1310,3,1,1,6,1,9.081625,1.013540,2,6,2
1320,0,0,0,0,0,9.042791,1.009769,2,6,2
1330,0,1,6,8,1,9.077738,1.012444,2,6,2
1340,2,1,4,8,1,9.070093,1.010974,2,6,2
1350,8,4,3,16,1,9.135794,1.017517,2,6,2
1360,1,0,1,3,1,9.132375,1.017785,2,6,2
1370,2,5,2,10,1,9.123459,1.016686,2,6,2
1380,2,1,4,8,1,9.129619,1.017269,2,6,2
1390,2,1,2,6,1,9.104747,1.014721,2,6,2
1400,7,3,4,15,1,9.085116,1.011706,2,6,2
1410,0,1,0,2,1,9.109516,1.015530,2,6,2
1420,0,1,1,3,1,9.076768,1.012093,2,6,2
1430,0,1,3,5,1,9.030094,1.007257,2,6,2
1440,1,0,2,4,1,8.993888,1.002880,2,6,2
1450,1,1,1,4,1,8.967123,0.999564,2,6,2
1460,0,0,0,1,1,8.948164,0.997733,2,6,2
1470,0,1,0,2,1,8.918461,0.994171,2,6,2
1480,1,0,2,4,1,8.872767,0.989652,2,6,2
1490,1,0,0,2,1,8.819733,0.984817,2,6,2
1500,4,4,6,15,1,8.785166,0.979904,2,6,2
1510,8,8,10,27,1,8.822503,0.983535,2,6,2
1520,11,11,5,28,1,8.934816,0.995961,2,6,2
1530,0,1,0,2,1,8.968135,1.000601,2,6,2
1540,4,5,3,13,1,8.928280,0.996344,2,6,2
1550,6,3,2,12,1,8.974517,1.001116,2,6,2
1560,0,0,0,1,1,8.936237,0.998033,2,6,2
1570,2,2,0,5,1,8.888844,0.993556,2,6,2
1580,0,1,0,2,1,8.852986,0.989930,2,6,2
1590,1,4,2,8,1,8.831876,0.986836,2,6,2
1600,0,1,1,3,1,8.791277,0.982197,2,6,2
1610,0,1,0,2,1,8.756355,0.978194,2,6,2
1620,0,4,3,8,1,8.740070,0.975938,2,6,2
1630,1,2,1,5,1,8.724948,0.974487,2,6,2
1640,1,2,0,4,1,8.704473,0.972567,2,6,2
1650,0,0,0,0,0,8.668856,0.969342,2,6,2
1660,2,3,5,11,1,8.653699,0.967154,2,6,2
1670,1,1,0,3,1,8.638030,0.965434,2,6,2
1680,0,0,0,0,0,8.599088,0.962264,2,6,2
1690,1,3,1,6,1,8.562837,0.958484,2,6,2
1700,0,0,0,0,0,8.534826,0.955181,2,6,2
1710,4,1,1,7,1,8.523965,0.952928,2,6,2
1720,0,0,0,1,1,8.511633,0.951948,2,6,2
1730,2,2,2,7,1,8.506432,0.951146,2,6,2
1740,0,1,3,5,1,8.505632,0.950838,2,6,2
1750,3,3,6,13,1,8.490890,0.948370,2,6,2
1760,1,2,4,8,1,8.495861,0.948596,2,6,2
