Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,7,5,9,22,1,12.027547,1.064385,0,0,0
20,1,2,6,10,1,10.139794,0.970315,0,0,0
30,0,2,4,7,1,8.903688,0.875773,0,0,0
40,0,0,0,1,1,7.423071,0.773237,0,0,0
50,0,0,0,0,0,6.721975,0.698750,0,0,0
60,0,0,0,0,0,7.831054,0.774075,0,0,0
70,1,2,5,9,1,7.549937,0.747519,0,0,0
80,3,3,3,10,1,7.554231,0.759219,0,0,0
90,2,5,1,9,1,7.229450,0.731068,0,0,0
100,2,0,3,6,1,7.415830,0.749074,0,0,0
110,4,2,4,11,1,7.336979,0.735034,0,0,0
120,4,3,2,10,1,7.215203,0.723933,0,0,0
130,6,4,3,14,1,7.256230,0.726741,0,0,0
140,1,1,0,3,1,7.474878,0.753950,0,0,0
150,3,3,4,11,1,7.334950,0.749995,0,0,0
160,3,3,3,10,1,7.793956,0.788264,0,0,0
170,12,12,10,35,1,8.686638,0.870199,0,0,0
180,0,0,0,1,1,9.109580,0.915025,0,0,0
190,5,4,8,18,1,9.249094,0.929311,0,0,0
200,9,1,9,20,1,9.471707,0.953848,0,0,0
210,17,14,15,47,1,10.638068,1.070946,0,0,5
220,14,11,8,34,1,12.013917,1.219687,1,4,5
230,9,9,10,29,1,12.877986,1.307698,1,4,5
240,1,0,3,5,1,13.151026,1.339095,1,4,5
250,1,2,3,7,1,13.157529,1.337147,1,4,5
260,5,7,8,21,1,13.375842,1.355307,1,4,5
270,5,7,5,18,1,13.470390,1.361155,1,4,5
280,0,0,0,0,0,13.390760,1.358483,1,4,5
290,3,7,1,12,1,13.171994,1.335622,1,4,5
300,9,5,9,24,1,13.385583,1.357105,1,4,5
310,2,2,9,14,1,13.309341,1.349655,1,4,5
320,2,0,3,6,1,13.382284,1.355597,1,4,5
330,0,5,3,9,1,13.452698,1.360524,1,4,5
340,6,2,8,17,1,13.404733,1.349603,1,4,5
350,0,0,0,1,1,13.166602,1.327278,1,4,5
