Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,4,2,0,7,1,3.954040,0.420643,0,0,0
20,0,0,0,0,0,4.686096,0.551305,0,0,0
30,3,0,0,4,1,5.682135,0.617623,0,0,0
40,1,4,6,12,1,5.677805,0.612162,0,0,0
50,1,5,2,9,1,5.967072,0.629438,0,0,0
60,18,14,18,51,1,11.194893,1.132704,1,2,0
70,19,18,11,49,1,16.832752,1.720135,10,4,8
80,13,13,9,36,1,19.473742,2.023246,11,4,8
90,14,20,11,46,1,22.322103,2.314504,12,7,8
100,18,7,17,43,1,23.553691,2.443329,14,7,8
110,19,10,17,47,1,25.157814,2.605800,14,7,12
120,5,17,15,38,1,26.309150,2.738160,14,7,12
130,16,16,16,49,1,28.081507,2.892707,18,11,15
140,11,8,15,35,1,29.060541,3.015920,18,15,16
150,13,14,16,44,1,30.038276,3.094603,18,15,17
160,18,13,20,52,1,31.093532,3.205519,24,16,17
170,20,13,10,44,1,31.672991,3.257355,24,16,22
180,19,13,20,53,1,32.488157,3.316998,25,17,25
190,15,11,4,31,1,32.863490,3.371524,26,17,27
200,5,3,5,14,1,32.139530,3.320199,26,17,27
210,1,0,7,9,1,30.916027,3.202943,26,17,27
220,0,2,1,4,1,29.673167,3.092419,26,17,27
230,0,0,0,1,1,28.639308,2.985966,26,17,27
240,3,3,5,12,1,27.746570,2.890268,26,17,27
250,2,3,2,8,1,26.998421,2.817031,26,17,27
260,1,1,1,4,1,26.135220,2.730075,26,17,27
270,1,0,0,2,1,25.338287,2.654768,26,17,27
280,1,0,0,2,1,24.622394,2.582124,26,17,27
290,10,6,0,17,1,24.271433,2.538303,26,17,27
300,2,2,5,10,1,23.836424,2.494220,26,17,27
310,5,3,7,16,1,23.451147,2.449412,26,17,27
320,11,5,4,21,1,23.278518,2.420905,26,17,27
330,4,6,6,17,1,23.248700,2.415639,26,17,27
340,7,5,8,21,1,23.086366,2.402621,26,17,27
350,16,18,13,48,1,23.678306,2.443942,29,18,27
360,16,8,17,42,1,24.245422,2.504549,29,23,31
