Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,3,3,7,14,1,4.678460,0.429217,0,0,0
20,0,2,10,13,1,10.737974,0.976179,0,0,2
30,1,5,20,27,1,15.621898,1.487800,0,0,33
40,0,2,18,21,1,15.730103,1.530910,0,0,41
50,0,1,13,15,1,15.074103,1.486598,0,0,41
60,0,0,0,0,0,14.405144,1.457519,0,0,41
70,2,0,11,14,1,13.177226,1.358477,0,0,41
80,0,0,3,4,1,12.328617,1.279234,0,0,41
90,0,2,4,7,1,11.632248,1.214504,0,0,41
100,4,4,14,23,1,12.318094,1.279137,0,0,46
110,3,2,8,14,1,12.112877,1.272604,0,0,46
120,2,1,15,19,1,12.872992,1.343269,0,0,64
130,4,1,18,24,1,12.964013,1.346104,0,0,64
140,4,1,14,20,1,13.288945,1.391513,0,0,71
150,1,3,11,16,1,13.771463,1.433532,0,0,87
160,3,2,11,17,1,13.518782,1.400003,0,0,87
170,0,0,3,4,1,13.257323,1.375913,0,0,87
180,1,0,15,17,1,12.888478,1.337133,0,0,87
190,3,2,19,25,1,13.364073,1.395918,0,0,97
200,0,1,16,18,1,13.647843,1.426107,0,0,104
210,0,0,8,9,1,13.369625,1.399612,0,0,104
220,0,0,0,0,0,12.918407,1.352069,0,0,104
230,0,0,5,6,1,12.661403,1.332170,0,0,104
240,1,1,15,18,1,12.384169,1.302454,0,0,104
250,0,6,9,16,1,12.572298,1.326192,0,0,107
260,2,3,12,18,1,12.907207,1.363068,0,0,111
270,0,2,0,3,1,12.893975,1.366853,0,0,111
280,0,0,5,6,1,12.575551,1.327235,0,0,111
290,0,0,0,0,0,12.219273,1.298494,0,0,111
300,1,0,9,11,1,12.070584,1.280925,0,0,111
310,1,1,10,13,1,12.275643,1.297018,0,0,117
320,0,1,16,18,1,12.480675,1.310737,0,0,128
330,0,1,19,21,1,12.597952,1.316442,0,0,130
340,1,0,15,17,1,12.763917,1.339010,0,0,136
350,3,2,7,13,1,12.724873,1.335444,0,0,136
360,1,1,12,15,1,12.785615,1.339587,0,0,137
370,3,0,8,12,1,12.728491,1.331884,0,0,137
380,3,3,16,23,1,12.847631,1.344931,0,0,144
390,1,0,19,21,1,12.941044,1.358914,0,0,154
400,0,4,15,20,1,12.933202,1.361031,0,0,156
410,0,0,3,4,1,12.935032,1.363683,0,0,156
420,2,0,10,13,1,12.744071,1.341817,0,0,156
430,3,2,9,15,1,12.736069,1.337692,0,0,156
440,1,1,9,12,1,12.843950,1.350057,0,0,157
450,1,0,6,8,1,12.744394,1.342143,0,0,157
460,0,0,1,2,1,12.588895,1.328491,0,0,157
470,1,0,11,13,1,12.471527,1.314854,0,0,157
480,0,0,14,15,1,12.537697,1.321787,0,0,157
490,1,0,3,5,1,12.466540,1.313961,0,0,157
500,0,1,4,6,1,12.422059,1.306760,0,0,157
510,1,3,15,20,1,12.433089,1.305513,0,0,161
520,1,1,18,21,1,12.521215,1.313767,0,0,162
530,0,1,5,7,1,12.584139,1.320712,0,0,167
540,0,0,0,1,1,12.453204,1.308059,0,0,167
550,0,0,4,5,1,12.290693,1.289315,0,0,167
560,0,0,3,4,1,12.207379,1.277543,0,0,167
570,2,0,19,22,1,12.224673,1.276436,0,0,171
580,0,0,3,4,1,12.315383,1.285623,0,0,177
590,0,5,9,15,1,12.258166,1.277343,0,0,177
600,2,0,15,18,1,12.373788,1.288265,0,0,189
610,0,0,18,19,1,12.552400,1.305313,0,0,204
620,3,0,6,10,1,12.570821,1.308361,0,0,204
630,0,0,1,2,1,12.435521,1.294939,0,0,204
640,0,0,3,4,1,12.276113,1.281055,0,0,204
650,0,1,5,7,1,12.158204,1.269327,0,0,204
660,0,3,10,14,1,12.089127,1.261674,0,0,204
670,3,6,19,29,1,12.221989,1.275503,0,0,217
680,2,2,19,24,1,12.399392,1.296170,0,0,247
690,0,0,12,13,1,12.439714,1.302094,0,0,253
700,0,1,3,5,1,12.393561,1.296785,0,0,253
710,3,1,11,16,1,12.312190,1.285159,0,0,253
720,0,0,0,0,0,12.263173,1.278709,0,0,253
730,4,1,8,14,1,12.196661,1.270123,0,0,253
740,1,0,19,21,1,12.301452,1.281582,0,0,264
