Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,0,1,1,3,1,10.689431,1.037809,0,0,10
20,6,2,5,14,1,7.972974,0.781664,0,0,11
30,0,0,0,0,0,7.770367,0.787537,0,0,16
40,6,3,2,12,1,7.771343,0.781040,0,0,18
50,0,1,0,2,1,7.138881,0.728457,0,0,19
60,3,2,5,11,1,7.840778,0.790667,0,0,30
70,0,1,1,3,1,8.125721,0.821966,0,0,32
80,3,2,0,6,1,7.860925,0.812499,0,0,32
90,4,0,2,7,1,7.840454,0.812950,0,0,35
100,2,3,1,7,1,7.986620,0.825917,0,0,38
110,0,1,0,2,1,7.697570,0.803352,0,0,38
120,7,4,2,14,1,7.982628,0.825789,0,0,43
130,3,11,5,20,1,8.539596,0.879673,0,0,46
140,1,0,0,2,1,8.500611,0.890116,0,0,50
150,3,2,4,10,1,8.199785,0.870466,0,0,51
160,2,2,0,5,1,7.933968,0.850258,0,0,53
170,0,1,2,4,1,7.683983,0.811856,0,0,54
180,1,0,1,3,1,7.427686,0.792521,0,0,54
190,5,11,3,20,1,7.748586,0.825705,0,0,62
200,0,3,4,8,1,7.815975,0.835040,0,0,66
210,5,11,4,21,1,7.986940,0.850105,0,0,74
220,1,0,0,2,1,8.064267,0.865012,0,0,79
230,2,1,4,8,1,7.999835,0.850653,0,0,79
240,5,0,4,10,1,8.023687,0.850568,0,0,83
250,10,2,2,15,1,8.160505,0.865193,0,0,93
260,3,10,5,19,1,8.614372,0.913060,0,0,110
270,8,8,5,22,1,9.140095,0.971203,0,0,123
280,0,0,0,0,0,9.138546,0.972555,0,0,129
290,5,4,0,10,1,9.076471,0.961350,0,0,134
300,4,4,4,13,1,8.988073,0.951790,0,0,134
310,7,6,5,19,1,9.105156,0.962359,0,0,142
320,7,9,2,19,1,9.046296,0.953811,0,0,142
330,3,1,2,7,1,9.304249,0.983788,0,0,155
340,4,2,0,7,1,9.229387,0.970913,0,0,155
350,0,0,0,0,0,9.114084,0.959666,0,0,156
360,5,7,3,16,1,9.037216,0.949343,0,0,157
370,2,2,3,8,1,8.998078,0.946358,0,0,166
380,6,2,3,12,1,9.140618,0.962971,0,0,176
390,9,5,4,19,1,9.335952,0.982732,0,0,183
400,6,6,2,15,1,9.633982,1.018391,0,0,203
410,6,5,5,17,1,9.757765,1.031902,0,0,205
420,0,0,0,1,1,9.772676,1.033365,0,0,207
430,4,1,1,7,1,9.695518,1.026360,0,0,209
440,5,1,1,8,1,9.715070,1.027062,0,0,215
450,2,6,1,10,1,9.723667,1.027389,0,0,228
460,4,3,1,9,1,9.803496,1.034077,0,0,234
470,3,2,1,7,1,9.709334,1.024329,0,0,237
480,5,4,5,15,1,9.624284,1.017770,0,0,241
490,7,2,2,12,1,9.689553,1.024575,0,0,253
500,3,6,3,13,1,9.645422,1.018739,0,0,259
510,4,3,0,8,1,9.561620,1.006486,0,0,261
520,3,5,3,12,1,9.554983,1.004974,0,0,268
530,1,3,0,5,1,9.523417,1.002266,0,0,275
540,6,11,5,23,1,9.534637,1.000914,0,0,279
550,1,3,2,7,1,9.542810,1.002013,0,0,283
560,0,0,0,0,0,9.425134,0.991002,0,0,283
570,3,4,1,9,1,9.359779,0.981614,0,0,289
580,0,0,0,1,1,9.326202,0.976742,0,0,293
590,0,0,1,2,1,9.209579,0.962901,0,0,293
600,1,2,3,7,1,9.116288,0.952093,0,0,293
610,1,2,0,4,1,9.017836,0.943062,0,0,294
620,4,6,4,15,1,8.935085,0.934034,0,0,294
630,6,6,5,18,1,9.018321,0.943308,0,0,305
640,2,0,1,4,1,9.033693,0.947642,0,0,315
650,6,7,5,19,1,9.046077,0.947768,0,0,317
660,6,6,3,16,1,9.172120,0.962416,0,0,337
670,0,2,4,7,1,9.271783,0.974905,0,0,347
680,1,0,0,2,1,9.203921,0.966888,0,0,348
690,0,0,0,1,1,9.091564,0.958469,0,0,348
700,5,2,5,13,1,9.053963,0.954484,0,0,350
710,19,10,3,33,1,9.268993,0.977132,0,0,356
720,7,6,5,19,1,9.519532,1.007358,0,0,375
730,2,3,2,8,1,9.628498,1.021035,0,0,379
740,14,12,4,31,1,9.691667,1.025573,0,0,389
750,15,14,1,31,1,9.879348,1.046541,0,0,403
760,1,5,3,10,1,10.112887,1.073135,0,1,414
770,2,0,0,3,1,10.022560,1.064612,0,1,414
780,0,0,0,0,0,9.930978,1.057064,0,1,414
790,4,8,2,15,1,9.914292,1.053010,0,1,416
800,0,0,0,0,0,9.908433,1.050735,0,1,417
810,4,2,2,9,1,9.856273,1.045382,0,1,417
820,6,7,4,18,1,9.902111,1.049061,0,1,424
830,3,5,3,12,1,9.981478,1.058738,0,1,441
840,5,4,2,12,1,9.957720,1.056655,0,1,442
850,6,4,5,16,1,10.031615,1.063997,0,1,455
860,10,3,4,18,1,10.073351,1.068066,0,1,466
870,9,8,5,23,1,10.227015,1.084400,0,1,481
880,12,15,5,33,1,10.415812,1.104460,0,1,499
890,10,3,3,17,1,10.513833,1.115692,0,1,514
900,9,2,5,17,1,10.528761,1.116255,0,1,520
910,0,2,1,4,1,10.633344,1.129095,0,1,532
920,0,0,0,0,0,10.554263,1.121627,0,1,532
930,1,0,0,2,1,10.482471,1.113374,0,1,532
940,1,0,4,6,1,10.435045,1.107979,0,1,533
950,0,0,1,2,1,10.393320,1.103695,0,1,536
