Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,0,1,0,2,1,2.316940,0.272581,0,0,0
20,0,0,0,0,0,3.260464,0.374766,0,0,0
30,2,16,0,19,1,5.240109,0.565479,0,0,0
40,0,3,0,4,1,8.169815,0.892876,0,0,0
50,2,1,0,4,1,7.354270,0.769275,0,0,0
60,0,0,0,1,1,6.952175,0.730526,0,0,0
70,16,16,0,33,1,8.531723,0.878266,0,0,0
80,12,20,0,33,1,11.335366,1.165590,8,2,0
90,15,20,0,36,1,13.286116,1.374426,8,4,0
100,14,11,0,26,1,15.086876,1.542625,16,5,0
110,13,14,0,28,1,16.145893,1.644489,16,9,0
120,11,9,0,21,1,17.014636,1.746584,16,9,0
130,11,10,0,22,1,17.271744,1.758282,16,9,0
140,5,2,0,8,1,17.586038,1.784091,16,9,0
150,14,7,0,22,1,17.473837,1.761475,16,9,0
160,7,6,0,14,1,17.804808,1.796198,16,11,0
170,1,3,0,5,1,17.205277,1.743085,16,11,0
180,8,13,0,22,1,16.898258,1.713626,16,11,0
190,6,16,1,24,1,17.119008,1.731955,17,11,0
200,15,14,0,30,1,17.720366,1.785427,17,12,0
210,13,13,1,28,1,18.236586,1.839425,18,12,0
220,16,19,0,36,1,18.870824,1.902650,20,29,0
230,6,9,0,16,1,18.788961,1.907088,20,30,0
240,8,3,1,13,1,19.138413,1.941344,20,38,0
250,18,6,0,25,1,19.044612,1.915186,20,38,0
260,12,19,0,32,1,19.357844,1.938021,20,53,0
270,12,8,0,21,1,19.793657,1.994137,21,56,0
280,12,14,0,27,1,20.020354,2.018617,21,56,0
290,20,12,0,33,1,20.336728,2.044955,24,56,0
300,16,9,0,26,1,20.714936,2.086096,30,67,0
310,9,18,0,28,1,20.968402,2.110456,30,76,0
320,15,20,1,37,1,21.167724,2.128078,30,80,0
330,19,7,0,27,1,21.544254,2.169546,36,90,0
340,1,4,0,6,1,21.426131,2.162328,39,90,0
350,11,8,0,20,1,21.216987,2.132667,39,90,0
