Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,4,0,1,6,1,5.303552,0.530355,0,0,0
20,5,0,0,6,1,5.807202,0.601783,0,0,0
30,11,1,0,13,1,7.783433,0.786205,0,0,0
40,19,0,2,22,1,9.395750,0.939575,0,0,0
50,15,2,0,18,1,11.403511,1.144931,6,0,0
60,6,2,0,9,1,10.766533,1.059003,6,0,0
70,4,1,1,7,1,9.807761,0.973820,6,0,0
80,17,1,2,21,1,10.007593,0.979936,9,0,0
90,13,0,0,14,1,10.968860,1.083642,10,0,0
100,17,0,5,23,1,12.105003,1.215362,25,0,0
110,2,0,2,5,1,11.680534,1.186388,25,0,0
120,7,0,2,10,1,11.142846,1.118947,25,0,0
130,3,2,0,6,1,10.903827,1.092905,25,0,0
140,10,2,1,14,1,10.491739,1.049924,25,0,0
150,20,2,2,25,1,10.917208,1.092449,33,0,0
160,11,1,0,13,1,11.654643,1.172057,62,0,0
170,12,0,0,13,1,11.557623,1.162601,62,0,0
180,0,0,0,1,1,11.501732,1.164405,62,0,0
190,5,0,1,7,1,11.130339,1.129682,62,0,0
200,15,7,1,24,1,11.161057,1.130806,62,0,0
210,3,1,1,6,1,11.452609,1.174340,67,0,0
220,2,0,0,3,1,11.356837,1.174109,67,0,0
230,5,0,1,7,1,11.185358,1.154682,67,0,0
240,3,0,0,4,1,10.864583,1.121505,67,0,0
250,0,0,0,1,1,10.548268,1.086554,67,0,0
260,4,0,0,5,1,10.279160,1.059707,67,0,0
270,12,0,1,14,1,10.187024,1.051413,67,0,0
280,11,0,3,15,1,10.424213,1.069934,72,0,0
290,19,1,0,21,1,10.554173,1.081905,73,0,0
300,9,0,1,11,1,10.576433,1.086620,74,0,0
310,0,0,0,0,0,10.496829,1.079634,74,0,0
320,8,1,0,10,1,10.469807,1.076933,74,0,0
330,16,0,0,17,1,10.763358,1.107203,77,0,0
340,0,0,0,0,0,10.855039,1.117044,79,0,0
350,2,0,1,4,1,10.668295,1.099177,79,0,0
