Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,0,2,0,3,1,3.124546,0.351073,0,0,0
20,2,4,3,10,1,4.853773,0.533382,8,2,15
30,3,4,5,13,1,5.689831,0.636921,11,10,21
40,3,1,4,9,1,5.449360,0.612288,12,10,21
50,2,2,2,7,1,6.098502,0.685225,16,11,24
60,0,0,0,1,1,6.291565,0.697771,22,17,25
70,0,0,0,0,0,5.921672,0.663227,22,17,25
80,0,0,0,1,1,5.783472,0.646198,24,17,25
90,1,3,4,9,1,5.565744,0.628503,26,17,25
100,2,2,3,8,1,5.939565,0.672657,29,21,32
110,4,3,2,10,1,6.454592,0.732719,35,29,42
120,0,0,0,1,1,6.350400,0.719592,36,34,42
130,3,0,2,6,1,6.288924,0.704186,36,35,44
140,0,1,0,2,1,6.244787,0.701099,36,36,44
150,0,0,0,0,0,6.192958,0.693759,39,40,44
160,3,2,2,8,1,6.043920,0.673887,40,40,48
170,2,0,0,3,1,6.084376,0.677370,45,48,52
180,4,5,4,14,1,6.154789,0.681342,47,53,54
190,5,1,4,11,1,6.336783,0.700401,51,57,59
200,0,0,0,1,1,6.223310,0.689563,52,57,59
210,4,0,0,5,1,6.235535,0.684865,52,62,59
220,4,3,3,11,1,6.256874,0.687225,53,62,59
230,0,1,0,2,1,6.215851,0.683061,57,65,59
240,0,1,0,2,1,6.091570,0.670939,58,67,61
250,3,4,5,13,1,6.125065,0.675757,61,72,67
260,0,3,2,6,1,6.178815,0.682452,62,81,76
270,0,1,1,3,1,6.155517,0.682542,67,85,76
280,5,3,2,11,1,6.266674,0.694368,74,92,85
290,2,2,0,5,1,6.288612,0.696068,75,99,86
300,2,2,0,5,1,6.305285,0.694160,76,103,87
310,4,4,1,10,1,6.244764,0.684297,76,103,87
320,1,2,4,8,1,6.207144,0.680935,82,106,87
330,4,1,0,6,1,6.180316,0.678704,83,108,88
340,0,0,2,3,1,6.093269,0.671326,83,108,88
350,0,0,1,2,1,6.074238,0.667499,84,108,91
360,0,0,1,2,1,6.007380,0.658945,84,108,92
370,5,1,3,10,1,5.964839,0.651414,85,108,92
380,4,4,1,10,1,6.079845,0.666188,96,113,95
390,2,1,1,5,1,6.069217,0.663767,97,115,95
400,5,5,2,13,1,6.088798,0.665988,99,116,98
410,0,1,0,2,1,6.079099,0.665003,100,120,101
420,3,5,1,10,1,6.042261,0.660013,101,121,101
430,3,1,0,5,1,6.100859,0.666506,107,128,106
440,1,3,1,6,1,6.101509,0.665674,107,133,106
450,4,2,0,7,1,6.095395,0.664952,107,133,114
460,1,0,0,2,1,6.113729,0.666900,108,134,117
470,0,5,3,9,1,6.162270,0.671676,114,137,119
480,2,3,5,11,1,6.157655,0.672815,114,144,122
490,3,3,1,8,1,6.241852,0.683007,129,147,125
500,2,5,2,10,1,6.306948,0.690945,134,150,127
510,5,5,1,12,1,6.326994,0.691104,136,151,127
520,2,3,2,8,1,6.331406,0.690216,138,153,127
530,0,2,2,5,1,6.309896,0.686703,138,154,128
540,1,2,0,4,1,6.348215,0.691415,148,156,129
550,2,2,0,5,1,6.330099,0.687647,150,157,129
560,3,0,4,8,1,6.343150,0.689072,155,157,129
570,0,0,3,4,1,6.344566,0.689627,156,158,134
580,0,0,5,6,1,6.342300,0.688993,159,162,136
590,1,1,0,3,1,6.333536,0.688809,164,164,137
600,2,0,4,7,1,6.353013,0.689047,168,169,138
610,2,5,5,13,1,6.354564,0.688505,171,172,141
620,2,0,0,3,1,6.425935,0.696639,175,182,148
630,1,0,1,3,1,6.426892,0.696652,176,183,151
640,0,0,0,0,0,6.397406,0.694544,176,187,158
650,0,1,1,3,1,6.339116,0.687999,176,187,158
660,0,0,4,5,1,6.348723,0.689851,179,190,159
670,5,4,2,12,1,6.388327,0.694271,190,194,168
680,1,2,2,6,1,6.390870,0.696218,193,197,174
690,0,0,0,1,1,6.356905,0.692714,194,197,174
700,0,0,0,1,1,6.320182,0.687083,194,197,174
710,5,2,5,13,1,6.336346,0.687365,198,201,183
