Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,3,5,2,11,1,2.719372,0.309020,0,0,0
20,1,1,0,3,1,5.008562,0.550391,0,0,0
30,1,3,2,7,1,4.817962,0.518060,0,0,0
40,9,6,6,22,1,6.813643,0.702437,0,0,0
50,10,12,4,27,1,9.631695,0.968983,0,0,0
60,12,12,9,34,1,11.731920,1.195102,0,0,0
70,11,8,4,24,1,13.512628,1.391006,0,0,0
80,9,11,4,25,1,14.624463,1.486604,0,0,0
90,9,13,5,28,1,16.336582,1.642785,0,0,0
100,5,4,2,12,1,16.920972,1.733706,0,0,0
110,10,5,3,19,1,16.540361,1.698823,0,0,0
120,2,1,1,5,1,15.999927,1.649477,0,0,0
130,7,8,2,18,1,15.840349,1.630440,0,0,0
140,14,6,4,25,1,16.405693,1.686341,0,0,0
150,13,12,6,32,1,17.416839,1.784512,0,0,0
160,17,7,8,33,1,18.657047,1.908649,1,0,0
170,10,6,1,18,1,19.096179,1.972266,1,0,0
180,7,4,3,15,1,18.797041,1.931203,1,0,0
190,3,3,1,8,1,18.539886,1.904096,1,0,0
200,3,3,2,9,1,17.977776,1.849565,1,0,0
210,20,15,11,47,1,18.292302,1.872932,1,0,0
220,20,20,9,50,1,19.451211,1.996858,8,2,0
230,17,18,11,47,1,20.690456,2.106598,18,5,0
240,14,12,7,34,1,21.512683,2.202664,24,5,0
250,7,5,5,18,1,21.714413,2.230322,24,5,0
260,17,8,6,32,1,22.008117,2.250142,24,5,0
270,18,14,13,46,1,22.761143,2.322566,33,5,0
280,17,17,12,47,1,23.642874,2.425799,48,5,0
290,16,15,7,39,1,24.410185,2.515620,67,5,0
300,20,12,10,43,1,24.827637,2.564838,70,5,0
310,14,10,9,34,1,25.063142,2.588995,71,5,0
320,1,0,1,3,1,25.001148,2.589116,71,5,0
330,9,4,2,16,1,24.614770,2.539986,71,5,0
340,3,0,2,6,1,24.104888,2.477528,71,5,0
350,0,1,0,2,1,23.678668,2.426803,71,5,0
360,0,0,0,1,1,23.160031,2.371334,71,5,0
370,2,3,0,6,1,22.686307,2.327123,71,5,0
380,1,0,0,2,1,22.150471,2.284793,71,5,0
390,5,2,1,9,1,21.683671,2.234839,71,5,0
400,10,6,3,20,1,21.533971,2.211448,71,5,0
410,9,3,3,16,1,21.231580,2.177326,71,5,0
420,4,1,1,7,1,21.050341,2.160064,71,5,0
430,8,5,4,18,1,20.939423,2.148402,71,5,0
440,10,6,7,24,1,20.900632,2.141159,71,5,0
450,17,8,8,34,1,21.075251,2.155423,71,5,0
460,13,11,10,35,1,21.214372,2.173894,71,5,0
470,14,9,9,33,1,21.618021,2.216024,77,5,0
480,17,11,5,34,1,21.991860,2.251726,78,5,0
490,13,10,6,30,1,22.390508,2.298146,85,5,0
500,10,2,3,16,1,22.422361,2.299258,85,5,0
510,9,4,6,20,1,22.471242,2.301272,85,5,0
520,0,0,0,1,1,22.269461,2.291732,85,5,0
530,0,1,0,2,1,21.956520,2.255661,85,5,0
