Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,1,3,6,11,1,2.483362,0.275929,0,0,0
20,3,4,12,20,1,6.974435,0.749939,0,0,0
30,5,2,5,13,1,13.608912,1.468588,0,0,0
40,0,0,0,1,1,13.504112,1.455969,0,0,0
50,6,4,6,17,1,11.980835,1.261141,0,0,0
60,2,1,5,9,1,10.921823,1.161896,0,0,0
70,3,1,13,18,1,11.065169,1.186159,0,0,0
80,3,1,2,7,1,11.479900,1.232741,0,0,0
90,1,1,5,8,1,10.624780,1.147935,0,0,0
100,1,2,9,13,1,10.186193,1.083638,0,0,0
110,3,2,1,7,1,10.622372,1.138851,0,0,0
120,5,3,10,19,1,10.662728,1.139383,0,0,0
130,5,4,8,18,1,10.885641,1.155211,0,0,0
140,2,2,7,12,1,11.476533,1.217208,0,0,0
150,6,4,7,18,1,11.727581,1.239702,0,0,0
160,5,8,9,23,1,12.396778,1.296395,0,0,0
170,7,7,8,23,1,13.054243,1.355664,0,0,0
180,3,3,12,19,1,13.439356,1.395089,0,0,0
190,0,0,2,3,1,13.268043,1.378310,0,0,0
200,1,0,1,3,1,12.837804,1.326219,0,0,0
210,2,1,1,5,1,12.522336,1.287171,0,0,0
220,4,2,8,15,1,12.371730,1.272455,0,0,0
230,7,1,5,14,1,12.734836,1.315819,0,0,0
240,0,0,0,1,1,12.669245,1.312309,0,0,0
250,2,2,5,10,1,12.354820,1.283218,0,0,0
260,5,3,8,17,1,12.633467,1.304488,0,0,0
270,0,0,1,2,1,12.478160,1.294315,0,0,0
280,3,2,5,11,1,12.352908,1.279620,0,0,0
290,0,0,1,2,1,12.178493,1.264505,0,0,0
300,0,0,1,2,1,12.014852,1.249811,0,0,0
310,1,1,7,10,1,11.742220,1.220687,0,0,0
320,1,0,3,5,1,11.510687,1.195527,0,0,0
330,1,0,5,7,1,11.406416,1.179604,0,0,0
340,4,3,9,17,1,11.319802,1.169117,0,0,0
350,0,1,3,5,1,11.355809,1.174160,0,0,0
360,6,3,17,27,1,11.328699,1.161918,0,0,0
370,1,3,6,11,1,11.381236,1.166498,0,0,0
380,0,0,0,1,1,11.221878,1.152517,0,0,0
390,5,1,18,25,1,11.193733,1.142517,0,0,0
400,9,13,18,41,1,11.730944,1.194597,0,0,5
410,5,5,9,20,1,12.180781,1.241701,0,0,5
420,3,4,4,12,1,12.419616,1.267924,0,0,5
430,8,10,15,34,1,12.574798,1.279499,0,0,5
440,5,5,10,21,1,12.972141,1.321543,0,0,13
450,4,2,6,13,1,13.038335,1.327432,0,0,13
460,6,5,8,20,1,13.111464,1.337608,0,0,13
470,7,8,12,28,1,13.390242,1.366945,0,0,13
480,12,11,17,41,1,13.757616,1.400563,0,0,17
490,14,7,20,42,1,14.343115,1.463888,0,0,33
500,4,3,6,14,1,14.715491,1.507426,0,0,41
