Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,5,3,3,12,1,8.537511,0.889324,0,0,0
20,0,0,0,1,1,6.493448,0.701994,0,0,0
30,7,3,1,12,1,5.557451,0.561359,0,0,0
40,8,3,3,15,1,6.612917,0.659643,0,0,0
50,0,0,0,0,0,7.086567,0.717264,0,0,0
60,10,5,5,21,1,8.888635,0.880063,0,0,1
70,7,4,4,16,1,9.639693,0.963969,0,0,3
80,10,7,5,23,1,10.975432,1.107231,0,0,15
90,11,7,4,23,1,12.234870,1.235845,0,0,26
100,2,1,0,4,1,12.605346,1.287574,0,0,27
110,11,5,4,21,1,12.930302,1.318196,0,0,32
120,10,4,4,19,1,13.726372,1.400650,0,0,45
130,0,0,0,1,1,14.010136,1.439777,0,0,57
140,6,4,2,13,1,13.913474,1.422853,0,0,57
150,2,3,1,7,1,13.784170,1.404637,0,0,59
160,9,4,2,16,1,13.641650,1.384939,0,0,61
170,6,3,2,12,1,13.697713,1.392710,0,0,67
180,8,5,4,18,1,13.575616,1.380571,0,0,70
190,9,8,5,23,1,13.823598,1.406040,0,0,72
200,1,1,0,3,1,13.908476,1.423590,0,0,75
210,9,8,2,20,1,13.597621,1.398384,0,0,78
220,4,3,2,10,1,13.503417,1.389500,0,0,79
230,2,1,2,6,1,13.341250,1.382824,0,0,79
240,6,6,3,16,1,13.303427,1.372667,0,0,82
250,4,3,5,13,1,13.229819,1.368413,0,0,83
260,5,1,1,8,1,12.908089,1.332845,0,0,84
270,6,7,2,16,1,12.884102,1.329273,0,0,86
280,0,0,0,1,1,12.679594,1.313461,0,0,86
290,0,0,2,3,1,12.388433,1.282630,0,0,86
300,1,1,2,5,1,12.090774,1.252497,0,0,86
310,2,0,1,4,1,11.837446,1.229761,0,0,86
320,5,5,3,14,1,11.692800,1.212082,0,0,90
330,3,2,0,6,1,11.830312,1.229995,0,0,92
340,0,0,0,1,1,11.614943,1.202522,0,0,92
350,6,8,3,18,1,11.447043,1.184644,0,0,94
360,5,4,2,12,1,11.530072,1.191055,0,0,95
370,1,2,1,5,1,11.595237,1.201074,0,0,100
380,1,1,1,4,1,11.437665,1.184281,0,0,100
390,7,4,4,16,1,11.289127,1.165985,0,0,102
400,2,1,0,4,1,11.235749,1.161918,0,0,102
410,1,2,1,5,1,11.038152,1.141974,0,0,102
420,4,2,2,9,1,10.888926,1.123673,0,0,102
430,3,1,1,6,1,10.763303,1.111484,0,0,102
440,4,3,1,9,1,10.827033,1.118810,0,0,107
450,6,3,2,12,1,10.793233,1.113980,0,0,108
460,2,2,3,8,1,10.709397,1.107288,0,0,108
470,2,3,2,8,1,10.610041,1.099123,0,0,108
480,0,0,0,0,0,10.464927,1.085386,0,0,108
490,3,3,0,7,1,10.305705,1.070325,0,0,108
500,1,2,0,4,1,10.296673,1.070786,0,0,108
510,0,0,0,0,0,10.203321,1.059168,0,0,108
520,4,4,1,10,1,10.147594,1.053454,0,0,109
530,8,7,3,19,1,10.127641,1.051038,0,0,109
540,2,0,0,3,1,10.100480,1.049098,0,0,114
550,12,7,4,24,1,10.259084,1.063418,0,0,125
560,11,6,4,22,1,10.511636,1.088886,0,0,134
570,2,3,0,6,1,10.537089,1.090638,0,0,138
580,5,2,4,12,1,10.457248,1.081142,0,0,138
590,7,6,3,17,1,10.567104,1.090154,0,0,141
600,2,1,0,4,1,10.501782,1.083775,0,0,141
610,5,3,0,9,1,10.455512,1.077524,0,0,141
620,6,4,2,13,1,10.576294,1.090884,0,0,147
630,7,10,5,23,1,10.660432,1.097577,0,0,162
640,13,10,4,28,1,10.879977,1.119663,0,0,176
650,9,9,5,24,1,11.074378,1.138618,0,0,195
660,12,8,4,25,1,11.220480,1.152610,0,0,206
670,13,10,3,27,1,11.406988,1.172011,0,0,216
680,20,15,4,40,1,11.681030,1.199683,0,0,229
690,13,6,3,23,1,12.041981,1.240515,0,0,245
700,12,6,3,22,1,12.261964,1.263562,0,0,268
710,3,1,2,7,1,12.311605,1.267765,0,0,270
720,1,0,4,6,1,12.184629,1.255788,0,0,270
730,7,5,2,15,1,12.099271,1.247347,0,0,270
740,0,0,0,1,1,12.063716,1.243855,0,0,274
750,8,3,5,17,1,12.055577,1.242672,0,0,278
760,10,6,4,21,1,12.125398,1.248179,0,0,283
770,9,8,5,23,1,12.260242,1.260904,0,0,293
780,5,5,2,13,1,12.242950,1.259662,0,0,294
790,10,5,5,21,1,12.353356,1.270888,0,0,298
800,13,11,4,29,1,12.416364,1.275927,0,0,306
810,2,4,1,8,1,12.499099,1.286765,0,0,313
820,7,6,4,18,1,12.499595,1.286838,0,0,322
830,6,4,4,15,1,12.540908,1.292877,0,0,329
840,4,4,4,13,1,12.564571,1.296908,0,0,330
850,12,6,4,23,1,12.632978,1.302369,0,0,336
860,10,3,4,18,1,12.660431,1.303480,0,0,338
870,13,9,4,27,1,12.781887,1.316940,0,0,350
880,9,7,5,22,1,12.939055,1.334236,0,0,368
890,8,8,3,20,1,12.940428,1.334219,0,0,369
900,14,9,4,28,1,13.053293,1.346626,0,0,380
910,4,3,1,9,1,13.157017,1.360401,0,0,391
920,5,4,2,12,1,13.144147,1.358874,0,0,392
930,6,6,5,18,1,13.078887,1.351635,0,0,392
940,8,5,2,16,1,13.140319,1.359293,0,0,399
950,0,0,1,2,1,13.097787,1.354993,0,0,399
960,0,1,0,2,1,12.999474,1.344194,0,0,399
970,12,6,4,23,1,13.054296,1.349533,0,0,406
980,1,0,3,5,1,13.032897,1.348421,0,0,410
990,7,5,2,15,1,13.021972,1.345694,0,0,410
1000,0,0,0,0,0,12.973084,1.343247,0,0,414
1010,10,7,3,21,1,12.900333,1.335520,0,0,417
1020,6,3,1,11,1,12.955277,1.341562,0,0,423
1030,8,5,3,17,1,13.044245,1.350852,0,0,432
1040,15,9,5,30,1,13.088621,1.352829,0,0,438
1050,1,2,2,6,1,13.139758,1.358215,0,0,447
1060,4,4,3,12,1,13.098268,1.352310,0,0,447
1070,11,4,4,20,1,13.121678,1.352881,0,0,451
1080,2,0,0,3,1,13.163003,1.358307,0,0,453
1090,0,1,2,4,1,13.079912,1.351384,0,0,453
1100,5,5,2,13,1,13.023456,1.343758,0,0,453
1110,2,1,2,6,1,12.943824,1.336401,0,0,453
1120,0,0,0,0,0,12.891262,1.332676,0,0,453
1130,0,0,0,1,1,12.806116,1.324447,0,0,453
1140,8,5,3,17,1,12.754028,1.318545,0,0,453
1150,7,2,1,11,1,12.758262,1.318594,0,0,455
1160,11,4,3,19,1,12.730681,1.316419,0,0,455
1170,11,6,3,21,1,12.828257,1.325537,0,0,474
1180,3,2,1,7,1,12.807602,1.324305,0,0,480
1190,5,3,1,10,1,12.778597,1.321043,0,0,481
1200,10,9,5,25,1,12.803879,1.322259,0,0,487
1210,1,1,1,4,1,12.741004,1.316197,0,0,488
1220,2,3,0,6,1,12.729764,1.312791,0,0,489
1230,2,2,0,5,1,12.699381,1.309983,0,0,492
1240,5,2,2,10,1,12.653509,1.303835,0,0,493
1250,3,2,3,9,1,12.640686,1.302734,0,0,493
1260,2,1,3,7,1,12.608765,1.299235,0,0,493
1270,5,3,2,11,1,12.605369,1.298469,0,0,495
1280,16,10,4,31,1,12.673049,1.305343,0,0,500
1290,18,15,5,39,1,12.865276,1.326211,0,0,519
1300,16,5,5,27,1,13.011252,1.342964,0,0,539
1310,9,6,3,19,1,13.082348,1.351248,0,0,556
1320,5,2,2,10,1,13.114030,1.355668,0,0,557
1330,4,3,1,9,1,13.086082,1.352225,0,0,557
1340,0,1,0,2,1,13.015231,1.346230,0,0,557
1350,0,0,0,1,1,12.932331,1.339984,0,0,557
1360,0,0,1,2,1,12.871667,1.334360,0,0,557
1370,0,0,0,0,0,12.821830,1.329844,0,0,557
1380,2,5,4,12,1,12.773966,1.322833,0,0,557
1390,9,4,3,17,1,12.768958,1.320796,0,0,557
1400,15,12,5,33,1,12.825897,1.327340,0,0,568
1410,8,6,5,20,1,12.896079,1.335155,0,0,583
1420,4,7,5,17,1,12.918492,1.337630,0,0,593
1430,10,10,3,24,1,12.966041,1.342124,0,0,603
1440,4,3,4,12,1,12.990837,1.344363,0,0,610
1450,5,1,1,8,1,12.954266,1.339969,0,0,610
1460,14,8,5,28,1,12.966509,1.339402,0,0,618
1470,7,5,4,17,1,13.045051,1.349298,0,0,636
1480,5,4,2,12,1,13.072513,1.351542,0,0,649
1490,3,2,3,9,1,13.047189,1.348523,0,0,649
1500,2,1,3,7,1,12.994253,1.343399,0,0,649
1510,3,1,0,5,1,12.956629,1.340127,0,0,649
1520,0,0,0,0,0,12.933968,1.336481,0,0,650
1530,7,4,2,14,1,12.880840,1.331331,0,0,651
1540,9,10,4,24,1,12.951355,1.338147,0,0,656
1550,6,3,1,11,1,12.986853,1.342960,0,0,665
1560,3,3,2,9,1,12.982103,1.342709,0,0,665
1570,3,2,2,8,1,12.961511,1.339669,0,0,665
1580,0,0,0,1,1,12.920412,1.335312,0,0,665
1590,2,1,3,7,1,12.864750,1.329971,0,0,665
1600,8,2,2,13,1,12.847953,1.327011,0,0,667
1610,3,2,3,9,1,12.851779,1.327987,0,0,671
1620,7,9,4,21,1,12.876543,1.330612,0,0,675
