Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,20,6,0,27,1,10.905074,0.991370,4,0,0
20,10,6,0,17,1,14.907682,1.461537,5,0,0
30,11,3,0,15,1,14.536731,1.453673,5,0,0
40,19,11,1,32,1,16.953630,1.699612,16,0,0
50,17,6,0,24,1,18.161323,1.891804,25,0,0
60,17,19,0,37,1,20.522785,2.115751,34,4,0
70,11,2,0,14,1,20.121851,2.124479,38,7,0
80,13,8,0,22,1,20.794844,2.191815,45,7,0
90,7,4,0,12,1,20.707566,2.179744,47,7,0
100,10,6,0,17,1,20.547372,2.147061,47,7,0
110,20,18,0,39,1,20.654957,2.125393,50,8,0
120,14,18,0,33,1,21.464230,2.228121,61,8,0
130,14,7,0,22,1,21.705736,2.262827,65,8,0
140,4,1,0,6,1,21.320313,2.229159,65,8,0
150,16,2,0,19,1,21.015156,2.202847,73,8,0
160,9,8,0,18,1,20.852222,2.196416,73,8,0
170,4,6,0,11,1,20.317970,2.130817,73,8,0
180,15,6,0,22,1,20.044302,2.090367,73,8,0
190,12,13,0,26,1,20.465701,2.135356,80,8,0
200,3,4,0,8,1,20.128070,2.090142,80,8,0
210,16,6,0,23,1,19.754037,2.041510,80,8,0
220,4,5,0,10,1,19.756609,2.058955,80,8,0
230,19,7,0,27,1,19.953080,2.070008,81,8,0
240,16,9,0,26,1,20.197108,2.097493,82,8,0
250,14,4,0,19,1,20.321851,2.113337,88,8,0
260,10,0,0,11,1,20.144812,2.095060,88,8,0
270,9,3,0,13,1,19.786009,2.050757,88,8,0
280,1,5,0,7,1,19.283460,1.993122,88,8,0
290,9,16,0,26,1,18.985943,1.958010,88,8,0
300,18,14,0,33,1,19.445745,2.001964,106,8,0
310,4,1,0,6,1,19.485166,2.016155,109,8,0
320,18,10,0,29,1,19.555603,2.017341,111,8,0
330,18,15,0,34,1,19.682262,2.026567,122,8,0
340,10,1,0,12,1,19.763584,2.038719,128,8,0
350,3,0,0,4,1,19.567548,2.019057,128,8,0
360,6,2,0,9,1,19.292765,1.988945,128,8,0
370,12,4,0,17,1,19.269402,1.976075,128,8,0
380,18,18,0,37,1,19.503135,1.992791,139,12,0
390,20,16,0,37,1,19.854530,2.034489,160,13,0
400,19,11,0,31,1,20.091565,2.059617,172,13,0
410,20,10,0,31,1,20.427187,2.100087,191,25,0
420,13,2,0,16,1,20.458220,2.112206,193,25,0
430,14,7,1,23,1,20.336722,2.090055,193,25,0
440,20,3,0,24,1,20.449063,2.096851,194,25,0
450,14,6,0,21,1,20.500417,2.098064,196,25,0
460,10,4,0,15,1,20.491276,2.104485,200,25,0
470,15,12,0,28,1,20.339055,2.086740,200,25,0
480,10,5,0,16,1,20.534173,2.108321,203,25,0
490,8,1,0,10,1,20.422374,2.097456,203,25,0
500,0,0,0,0,0,20.088754,2.070152,203,25,0
510,15,7,0,23,1,19.876255,2.046203,203,25,0
520,8,4,0,13,1,19.857322,2.040270,204,25,0
530,20,10,0,31,1,19.978239,2.054417,206,25,0
540,2,0,0,3,1,19.813039,2.037525,209,25,0
550,0,1,0,2,1,19.497498,2.006666,209,25,0
560,2,0,0,3,1,19.196759,1.975774,209,25,0
570,8,1,0,10,1,18.956806,1.949022,209,25,0
580,0,4,0,5,1,18.696248,1.924711,209,25,0
590,8,3,0,12,1,18.522314,1.900220,209,25,0
600,1,2,0,4,1,18.323625,1.881598,209,25,0
610,12,4,0,17,1,18.123785,1.859006,209,25,0
620,20,10,0,31,1,18.168453,1.859432,209,25,0
630,7,5,0,13,1,18.198125,1.866019,213,25,0
640,1,1,0,3,1,17.972009,1.848021,213,25,0
650,1,1,0,3,1,17.788491,1.829802,213,25,0
660,0,1,0,2,1,17.580115,1.811534,213,25,0
670,1,1,0,3,1,17.350245,1.790338,213,25,0
680,14,15,0,30,1,17.355631,1.785451,218,25,0
690,18,13,0,32,1,17.505474,1.800921,231,25,0
700,11,7,0,19,1,17.596593,1.811148,232,25,0
710,13,12,0,26,1,17.713943,1.823532,234,25,0
720,18,18,0,37,1,17.908364,1.843056,246,29,0
730,16,5,0,22,1,18.039274,1.857620,250,29,0
740,8,3,0,12,1,17.949764,1.850491,250,29,0
750,16,7,0,24,1,17.930842,1.847271,253,29,0
760,20,14,0,35,1,18.028044,1.857302,260,29,0
770,19,6,0,26,1,18.136736,1.868766,267,29,0
780,0,0,0,0,0,18.051134,1.863898,267,29,0
790,5,10,0,16,1,17.925317,1.850869,267,29,0
800,3,3,0,7,1,17.838867,1.843810,267,29,0
810,8,6,0,15,1,17.783846,1.833853,267,29,0
820,8,4,0,13,1,17.639257,1.816653,267,29,0
830,17,14,1,33,1,17.703103,1.821442,272,29,0
