Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,20,0,0,21,1,13.549642,1.368651,6,0,0
20,2,0,0,3,1,10.889797,1.170946,7,0,0
30,16,1,0,18,1,11.015307,1.097871,7,0,0
40,9,0,0,10,1,12.978481,1.337988,21,0,0
50,7,0,0,8,1,11.398383,1.177519,21,0,0
60,14,0,0,15,1,10.795209,1.092264,21,0,0
70,3,0,0,4,1,10.926986,1.106931,21,0,0
80,4,0,1,6,1,10.536517,1.065640,21,0,0
90,8,0,0,9,1,9.832884,0.996576,21,0,0
100,11,0,0,12,1,9.612235,0.976853,21,0,0
110,5,0,0,6,1,9.492313,0.965915,21,0,0
120,0,0,0,1,1,8.955943,0.925679,21,0,0
130,2,0,0,3,1,9.044493,0.925814,29,0,0
140,15,0,1,17,1,9.430662,0.961612,40,0,0
150,10,0,2,13,1,9.945066,1.024560,53,0,0
160,7,0,0,8,1,9.560769,0.981851,53,0,0
170,13,1,0,15,1,9.428413,0.967893,53,0,0
180,0,0,0,1,1,9.092357,0.937894,53,0,0
190,0,0,0,0,0,8.721565,0.910994,53,0,0
200,14,1,1,17,1,8.530435,0.883983,53,0,0
210,1,0,0,2,1,8.557149,0.888285,53,0,0
220,2,0,0,3,1,8.377204,0.873867,53,0,0
230,18,2,0,21,1,8.608806,0.893917,63,0,0
240,8,2,0,11,1,9.059611,0.945762,81,0,0
250,17,0,0,18,1,9.298700,0.972261,95,0,0
260,16,2,0,19,1,9.533934,0.997916,95,0,0
270,4,0,0,5,1,9.756434,1.024198,95,0,0
280,20,1,0,22,1,9.762498,1.019582,100,0,0
290,18,0,0,19,1,10.076759,1.054968,116,0,0
300,16,1,0,18,1,10.385459,1.087483,132,0,0
310,0,0,0,1,1,10.447074,1.090068,136,0,0
320,13,0,3,17,1,10.352715,1.075258,136,0,0
330,6,0,0,7,1,10.401994,1.083541,145,0,0
340,7,2,0,10,1,10.302189,1.075121,145,0,0
350,15,4,0,20,1,10.482591,1.093890,159,0,0
360,5,1,0,7,1,10.550719,1.104466,163,0,0
370,12,0,0,13,1,10.389750,1.085015,163,0,0
380,13,1,1,16,1,10.637338,1.110186,177,0,0
390,12,2,1,16,1,10.803415,1.124755,181,0,0
400,2,0,1,4,1,10.845091,1.129991,185,0,0
410,16,0,0,17,1,10.981924,1.141341,199,0,0
420,18,0,1,20,1,11.002811,1.144707,208,0,0
430,20,1,2,24,1,11.225833,1.169924,235,0,0
440,10,0,0,11,1,11.389717,1.189244,243,0,0
450,0,0,0,0,0,11.267970,1.182782,243,0,0
460,2,0,1,4,1,11.087395,1.164164,243,0,0
470,12,1,0,14,1,11.132591,1.167147,243,0,0
480,17,1,1,20,1,11.266541,1.182063,251,0,0
490,8,1,0,10,1,11.354113,1.193119,261,0,0
500,5,1,0,7,1,11.248846,1.180114,261,0,0
510,14,0,1,16,1,11.236850,1.174824,261,0,0
520,14,2,0,17,1,11.232089,1.174007,261,0,0
530,17,0,0,18,1,11.350504,1.185840,268,0,0
540,12,0,0,13,1,11.495541,1.200463,282,0,0
550,16,2,0,19,1,11.475699,1.195385,282,0,0
560,13,0,0,14,1,11.583890,1.205086,288,0,0
570,14,1,0,16,1,11.668362,1.213237,294,0,0
580,10,0,0,11,1,11.722488,1.220435,298,0,0
590,4,0,0,5,1,11.662541,1.214634,298,0,0
600,15,1,0,17,1,11.748994,1.221944,306,0,0
610,3,0,1,5,1,11.774724,1.225278,313,0,0
620,14,2,0,17,1,11.691078,1.215778,313,0,0
630,4,0,0,5,1,11.596598,1.206383,313,0,0
640,19,4,0,24,1,11.644551,1.211397,321,0,0
650,20,1,0,22,1,11.758723,1.224671,333,0,0
660,4,1,0,6,1,11.757494,1.223194,333,0,0
670,7,0,0,8,1,11.741220,1.221145,333,0,0
680,1,0,0,2,1,11.607680,1.209875,333,0,0
690,0,0,0,0,0,11.530331,1.202892,333,0,0
700,7,0,0,8,1,11.455017,1.195544,333,0,0
710,8,1,0,10,1,11.354709,1.186962,333,0,0
720,2,0,0,3,1,11.350942,1.183931,333,0,0
730,2,0,1,4,1,11.240689,1.172076,333,0,0
740,20,3,0,24,1,11.285816,1.174779,335,0,0
750,17,3,0,21,1,11.407164,1.189733,364,0,0
760,14,8,1,24,1,11.509987,1.200108,371,0,0
770,9,1,0,11,1,11.605395,1.209386,386,0,0
780,0,0,0,1,1,11.537122,1.201944,386,0,0
790,0,0,0,0,0,11.414779,1.190295,386,0,0
800,12,1,1,15,1,11.449778,1.192064,388,0,0
810,15,1,0,17,1,11.531112,1.200077,394,0,0
820,4,0,0,5,1,11.591193,1.206803,402,0,0
830,3,0,0,4,1,11.482728,1.194918,402,0,0
840,1,1,0,3,1,11.365472,1.184932,402,0,0
850,9,0,0,10,1,11.272079,1.174607,402,0,0
860,13,1,0,15,1,11.256684,1.172145,402,0,0
870,9,0,0,10,1,11.325576,1.179042,407,0,0
880,2,0,0,3,1,11.291669,1.175659,407,0,0
890,0,0,0,0,0,11.257476,1.171694,407,0,0
900,6,0,0,7,1,11.239722,1.169857,407,0,0
910,3,1,0,5,1,11.317630,1.178380,418,0,0
920,6,1,0,8,1,11.247383,1.170807,418,0,0
930,15,4,1,21,1,11.297690,1.174869,418,0,0
940,2,0,0,3,1,11.275673,1.173639,419,0,0
950,20,0,0,21,1,11.321782,1.176772,429,0,0
960,12,0,0,13,1,11.382828,1.182760,434,0,0
970,12,1,0,14,1,11.468004,1.192024,461,0,0
980,20,2,1,24,1,11.494643,1.194059,465,0,0
990,20,2,0,23,1,11.548195,1.199026,471,0,0
1000,5,0,0,6,1,11.612400,1.205606,484,0,0
1010,5,0,0,6,1,11.523859,1.195593,484,0,0
1020,8,1,0,10,1,11.485978,1.190136,484,0,0
1030,2,0,0,3,1,11.421922,1.184751,484,0,0
1040,17,2,1,21,1,11.418384,1.184669,484,0,0
1050,7,0,1,9,1,11.419689,1.184498,489,0,0
1060,1,0,1,3,1,11.403619,1.183689,489,0,0
1070,18,1,0,20,1,11.427237,1.184571,495,0,0
1080,16,0,0,17,1,11.450550,1.186358,500,0,0
1090,16,0,1,18,1,11.486142,1.190897,508,0,0
1100,17,0,0,18,1,11.536883,1.196321,519,0,0
1110,14,0,0,15,1,11.606437,1.203582,530,0,0
1120,3,0,0,4,1,11.529361,1.196635,530,0,0
1130,11,1,0,13,1,11.524098,1.195248,533,0,0
1140,9,0,0,10,1,11.533843,1.196087,538,0,0
1150,6,1,0,8,1,11.573387,1.201101,541,0,0
1160,17,0,0,18,1,11.577930,1.200107,541,0,0
1170,10,0,1,12,1,11.620116,1.204210,547,0,0
1180,0,0,0,1,1,11.582358,1.201088,547,0,0
1190,16,2,0,19,1,11.543150,1.197380,548,0,0
1200,8,0,1,10,1,11.600302,1.203455,555,0,0
1210,2,0,0,3,1,11.535968,1.198774,555,0,0
1220,10,0,0,11,1,11.478519,1.192624,555,0,0
1230,7,0,0,8,1,11.497994,1.193765,565,0,0
1240,14,3,1,19,1,11.544618,1.197334,583,0,0
1250,1,0,0,2,1,11.586672,1.201737,596,0,0
1260,16,3,0,20,1,11.583840,1.201584,598,0,0
1270,14,1,0,16,1,11.592324,1.202995,598,0,0
1280,3,0,0,4,1,11.567697,1.201936,598,0,0
1290,19,0,0,20,1,11.611375,1.206110,621,0,0
1300,1,0,0,2,1,11.619116,1.208002,625,0,0
1310,16,0,0,17,1,11.590599,1.205246,625,0,0
1320,1,1,0,3,1,11.552380,1.201287,625,0,0
1330,20,2,0,23,1,11.554497,1.199835,625,0,0
1340,16,1,1,19,1,11.603498,1.205138,633,0,0
1350,2,0,0,3,1,11.617112,1.206764,635,0,0
1360,0,0,0,0,0,11.552902,1.201035,635,0,0
1370,16,0,0,17,1,11.522765,1.197102,635,0,0
1380,18,0,0,19,1,11.515261,1.195896,636,0,0
1390,15,3,0,19,1,11.554683,1.200105,654,0,0
1400,19,1,4,25,1,11.619977,1.206644,677,0,0
1410,19,1,0,21,1,11.657319,1.211083,690,0,0
1420,6,0,0,7,1,11.661276,1.212049,706,0,0
1430,9,0,0,10,1,11.676755,1.213236,711,0,0
1440,14,1,0,16,1,11.711555,1.217224,713,0,0
1450,18,0,0,19,1,11.764616,1.222320,730,0,0
1460,10,0,0,11,1,11.748632,1.221289,734,0,0
1470,8,1,0,10,1,11.742275,1.220645,734,0,0
1480,0,0,0,0,0,11.688730,1.215352,734,0,0
1490,0,0,1,2,1,11.626938,1.209871,734,0,0
1500,6,0,0,7,1,11.574989,1.204306,734,0,0
1510,2,0,0,3,1,11.543114,1.200917,734,0,0
1520,13,0,0,14,1,11.508285,1.197139,734,0,0
1530,17,1,0,19,1,11.541763,1.200714,738,0,0
1540,20,2,0,23,1,11.602865,1.207244,759,0,0
1550,6,0,0,7,1,11.567856,1.204823,762,0,0
1560,11,1,0,13,1,11.545113,1.201974,762,0,0
1570,16,0,1,18,1,11.575185,1.204869,769,0,0
1580,1,0,0,2,1,11.560521,1.204697,769,0,0
1590,10,1,0,12,1,11.534359,1.201732,769,0,0
1600,17,0,0,18,1,11.579343,1.205868,778,0,0
1610,10,0,1,12,1,11.577833,1.205245,778,0,0
1620,10,0,1,12,1,11.603223,1.207504,786,0,0
1630,9,2,0,12,1,11.632329,1.211778,794,0,0
1640,3,0,0,4,1,11.591735,1.208163,794,0,0
1650,13,0,1,15,1,11.560944,1.205330,794,0,0
1660,20,2,0,23,1,11.599832,1.209454,818,0,0
1670,13,1,0,15,1,11.652425,1.215538,832,0,0
1680,12,2,0,15,1,11.662165,1.216317,832,0,0
1690,4,0,0,5,1,11.653226,1.215076,832,0,0
1700,8,0,0,9,1,11.651862,1.213810,832,0,0
1710,11,0,0,12,1,11.614686,1.210453,832,0,0
1720,13,0,0,14,1,11.581500,1.206772,832,0,0
1730,15,4,1,21,1,11.630249,1.211703,846,0,0
1740,3,0,0,4,1,11.633904,1.212591,846,0,0
1750,18,2,1,22,1,11.630248,1.211556,855,0,0
1760,19,1,1,22,1,11.672227,1.216361,860,0,0
1770,15,2,2,20,1,11.693339,1.218343,860,0,0
1780,20,0,0,21,1,11.740159,1.223864,875,0,0
1790,8,1,0,10,1,11.755833,1.225636,881,0,0
1800,7,0,0,8,1,11.734615,1.223276,881,0,0
1810,15,2,0,18,1,11.744130,1.223417,883,0,0
1820,17,1,0,19,1,11.764004,1.224926,886,0,0
1830,9,0,0,10,1,11.772818,1.225289,886,0,0
1840,20,0,0,21,1,11.803977,1.227635,888,0,0
1850,12,0,2,15,1,11.819412,1.230011,891,0,0
1860,14,0,0,15,1,11.827399,1.230642,891,0,0
1870,5,0,0,6,1,11.815278,1.228910,891,0,0
1880,2,0,0,3,1,11.771593,1.224850,891,0,0
1890,14,0,1,16,1,11.755382,1.222430,891,0,0
1900,16,1,0,18,1,11.779955,1.223858,892,0,0
1910,15,2,0,18,1,11.823387,1.229189,913,0,0
1920,8,1,1,11,1,11.801206,1.227893,913,0,0
1930,13,1,1,16,1,11.790882,1.226165,917,0,0
1940,17,1,0,19,1,11.831920,1.231302,931,0,0
1950,1,0,0,2,1,11.856511,1.234262,937,0,0
1960,0,0,0,1,1,11.820422,1.230117,937,0,0
1970,19,4,0,24,1,11.843145,1.232748,962,0,0
1980,17,1,0,19,1,11.879799,1.236828,979,0,0
1990,19,2,3,25,1,11.875661,1.236789,979,0,0
2000,15,0,1,17,1,11.919303,1.241723,996,0,0
2010,11,1,0,13,1,11.922219,1.241705,996,0,0
2020,15,0,0,16,1,11.969279,1.246993,1004,0,0
2030,3,0,0,4,1,11.950505,1.245611,1004,0,0
2040,16,0,0,17,1,11.944743,1.243927,1010,0,0
2050,6,0,0,7,1,11.929430,1.243028,1010,0,0
2060,19,1,0,21,1,11.948513,1.245266,1011,0,0
2070,12,2,0,15,1,11.983733,1.248745,1015,0,0
2080,20,0,0,21,1,12.017407,1.251751,1030,0,0
2090,6,0,0,7,1,12.040110,1.254991,1043,0,0
2100,0,0,0,0,0,11.999194,1.251530,1043,0,0
2110,0,0,0,1,1,11.976959,1.248956,1043,0,0
2120,12,0,0,13,1,11.945571,1.245554,1043,0,0
2130,0,0,0,1,1,11.917599,1.242449,1043,0,0
2140,8,0,0,9,1,11.893194,1.239236,1043,0,0
2150,4,1,0,6,1,11.868894,1.236823,1043,0,0
2160,20,0,0,21,1,11.893236,1.239237,1050,0,0
2170,18,7,3,29,1,11.924148,1.242039,1056,0,0
2180,12,1,0,14,1,11.924313,1.242591,1067,0,0
2190,20,0,2,23,1,11.950293,1.245059,1077,0,0
2200,9,0,0,10,1,11.964584,1.246547,1091,0,0
2210,10,0,0,11,1,11.961019,1.246468,1091,0,0
2220,1,0,0,2,1,11.952876,1.245851,1091,0,0
2230,3,1,0,5,1,11.911648,1.241725,1091,0,0
2240,1,1,0,3,1,11.869107,1.237804,1091,0,0
2250,4,0,1,6,1,11.830374,1.233759,1091,0,0
2260,3,1,0,5,1,11.796975,1.230156,1091,0,0
2270,7,1,0,9,1,11.791561,1.229585,1091,0,0
2280,13,2,0,16,1,11.803630,1.230332,1100,0,0
2290,10,0,0,11,1,11.801372,1.229981,1100,0,0
2300,1,0,0,2,1,11.770246,1.227123,1100,0,0
2310,5,0,1,7,1,11.728768,1.223181,1100,0,0
2320,0,0,0,1,1,11.695385,1.219309,1100,0,0
2330,5,0,0,6,1,11.663185,1.216329,1100,0,0
2340,8,1,0,10,1,11.671150,1.216232,1100,0,0
2350,0,0,0,0,0,11.644285,1.213592,1100,0,0
2360,20,2,1,24,1,11.641180,1.212623,1105,0,0
2370,20,2,0,23,1,11.672695,1.216013,1123,0,0
2380,6,1,0,8,1,11.701531,1.219176,1140,0,0
2390,2,0,0,3,1,11.681414,1.217079,1140,0,0
2400,10,1,0,12,1,11.670612,1.216058,1140,0,0
2410,2,0,0,3,1,11.653056,1.214700,1140,0,0
2420,3,1,0,5,1,11.615464,1.210517,1140,0,0
2430,14,1,0,16,1,11.633492,1.211978,1147,0,0
2440,7,1,0,9,1,11.615417,1.209475,1147,0,0
2450,11,2,2,16,1,11.593265,1.206862,1147,0,0
2460,7,0,0,8,1,11.605503,1.208037,1148,0,0
2470,10,1,0,12,1,11.601831,1.207658,1148,0,0
2480,16,2,1,20,1,11.615437,1.208013,1152,0,0
2490,0,0,0,1,1,11.630168,1.210008,1159,0,0
2500,19,1,0,21,1,11.616657,1.208256,1161,0,0
2510,2,1,1,5,1,11.621531,1.208971,1182,0,0
2520,9,0,1,11,1,11.627974,1.209198,1185,0,0
2530,2,0,1,4,1,11.617385,1.208155,1185,0,0
2540,9,0,1,11,1,11.612071,1.207610,1185,0,0
2550,20,0,2,23,1,11.628014,1.208733,1189,0,0
2560,0,1,0,2,1,11.624676,1.209624,1195,0,0
2570,9,0,0,10,1,11.609739,1.207928,1195,0,0
2580,4,0,2,7,1,11.597429,1.206701,1195,0,0
