Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,0,2,1,4,1,3.638484,0.408818,0,0,0
20,0,0,0,1,1,3.848304,0.432394,0,0,0
30,1,1,2,5,1,3.784506,0.420501,0,0,0
40,6,4,1,12,1,4.352354,0.483595,0,0,0
50,1,1,0,3,1,4.141447,0.463249,0,0,0
60,1,2,0,4,1,3.802253,0.430444,0,0,0
70,0,0,0,1,1,3.556307,0.408771,0,0,0
80,0,0,0,0,0,3.329117,0.386545,0,0,0
90,1,0,2,4,1,3.431163,0.401567,0,0,0
100,3,2,2,8,1,3.498912,0.407799,0,0,0
110,1,0,0,2,1,4.116775,0.478189,0,0,0
120,2,0,1,4,1,4.464298,0.514123,0,0,0
130,9,6,5,21,1,4.993864,0.562080,0,0,0
140,7,4,5,17,1,5.582918,0.625787,0,0,0
150,4,5,3,13,1,6.529853,0.734241,0,0,0
160,0,0,0,1,1,6.665052,0.754178,0,0,0
170,3,3,2,9,1,7.282466,0.820968,0,0,0
180,0,0,0,0,0,7.068410,0.802722,0,0,0
190,0,0,0,0,0,6.875975,0.775333,0,0,0
200,0,0,0,0,0,6.735095,0.761889,0,0,0
210,1,2,2,6,1,6.518206,0.736322,0,0,0
220,6,5,5,17,1,6.828637,0.764529,0,0,0
230,8,4,2,15,1,6.853340,0.765922,0,0,0
240,0,0,0,1,1,7.107495,0.797848,0,0,0
250,6,8,6,21,1,7.251611,0.806810,0,0,0
260,0,0,0,0,0,7.281234,0.819533,0,0,0
270,0,0,1,2,1,7.071278,0.798513,0,0,0
280,1,0,0,2,1,6.946694,0.783988,0,0,0
290,1,2,0,4,1,6.788104,0.766569,0,0,0
300,1,0,0,2,1,6.744265,0.760346,0,0,0
310,1,1,0,3,1,6.587835,0.744795,0,0,0
320,9,5,4,19,1,6.697361,0.755697,0,0,0
330,6,4,4,15,1,7.272961,0.818022,0,0,0
340,0,0,0,0,0,7.316362,0.824789,0,0,0
350,11,8,2,22,1,7.427695,0.837260,0,0,0
360,1,0,0,2,1,7.701372,0.872128,0,0,0
370,3,0,1,5,1,7.708823,0.874123,0,0,0
380,0,2,0,3,1,7.557526,0.860353,0,0,0
390,2,2,1,6,1,7.512111,0.852407,0,0,0
400,0,0,0,0,0,7.461961,0.847228,0,0,0
410,0,0,0,0,0,7.354647,0.836683,0,0,0
420,0,0,0,0,0,7.258660,0.826637,0,0,0
430,1,0,0,2,1,7.217610,0.819101,0,0,0
440,2,1,2,6,1,7.152772,0.811976,0,0,0
450,3,3,2,9,1,7.051504,0.799490,0,0,0
460,4,3,1,9,1,6.960102,0.789166,0,0,0
470,0,0,0,0,0,6.921107,0.784592,0,0,0
480,5,2,0,8,1,6.878983,0.780041,0,0,0
490,2,3,0,6,1,6.855762,0.777261,0,0,0
500,4,1,0,6,1,6.825661,0.774411,0,0,0
510,1,1,0,3,1,6.754534,0.765004,0,0,0
520,1,0,0,2,1,6.778501,0.767266,0,0,0
530,0,0,0,1,1,6.693055,0.759597,0,0,0
540,9,3,5,18,1,6.780806,0.767317,0,0,0
550,2,0,2,5,1,7.011568,0.794471,0,0,0
560,0,0,0,0,0,7.004747,0.793418,0,0,0
570,0,0,0,0,0,6.985169,0.790146,0,0,0
580,4,5,3,13,1,6.985018,0.789883,0,0,0
590,0,0,0,0,0,6.940594,0.785527,0,0,0
600,0,0,0,0,0,6.888328,0.780842,0,0,0
610,2,4,1,8,1,6.811237,0.772709,0,0,0
620,2,2,0,5,1,6.781978,0.768426,0,0,0
630,11,9,8,29,1,6.945561,0.785020,0,0,0
640,5,1,1,8,1,7.021112,0.795171,0,0,0
650,1,1,1,4,1,7.095063,0.803308,0,0,0
660,0,0,1,2,1,7.048568,0.796994,0,0,0
670,0,0,0,1,1,6.966386,0.788026,0,0,0
680,2,3,3,9,1,6.951639,0.785235,0,0,0
690,1,0,0,2,1,6.907865,0.779210,0,0,0
700,3,1,1,6,1,6.865688,0.773910,0,0,0
710,0,3,0,4,1,6.789512,0.766140,0,0,0
720,2,4,1,8,1,6.745110,0.761204,0,0,0
730,1,1,0,3,1,6.742916,0.759619,0,0,0
740,0,0,0,1,1,6.709010,0.756002,0,0,0
750,6,5,5,17,1,6.678245,0.750477,0,0,0
760,7,4,5,17,1,6.840684,0.767708,0,0,0
770,2,5,2,10,1,6.916289,0.775414,0,0,0
780,3,2,2,8,1,6.910990,0.775176,0,0,0
790,1,3,0,5,1,6.899164,0.773207,0,0,0
800,0,0,0,1,1,6.838450,0.767610,0,0,0
810,3,4,1,9,1,6.786784,0.762031,0,0,0
820,3,0,3,7,1,6.758456,0.759169,0,0,0
830,0,0,0,1,1,6.732607,0.757498,0,0,0
840,0,0,0,0,0,6.689583,0.753150,0,0,0
850,7,3,2,13,1,6.643531,0.747254,0,0,0
860,12,13,6,32,1,6.873081,0.770444,0,0,0
870,15,14,5,35,1,7.135780,0.799501,0,0,0
880,0,0,0,0,0,7.237341,0.812977,0,0,0
890,0,0,0,0,0,7.214419,0.810507,0,0,0
900,3,2,2,8,1,7.154648,0.803692,0,0,0
910,2,1,1,5,1,7.139824,0.802426,0,0,0
920,2,3,4,10,1,7.131311,0.801369,0,0,0
