Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W]
10,1,0,0,2,1,5.908658,0.663894
20,11,2,0,14,1,7.065099,0.699515
30,6,4,0,11,1,7.267854,0.759706
40,13,0,1,15,1,6.980383,0.729022
50,29,2,2,34,1,12.409329,1.245917
60,13,8,0,22,1,14.459132,1.460518
70,18,11,2,32,1,15.934201,1.584367
80,13,5,0,19,1,17.544422,1.752252
90,24,2,0,27,1,17.851556,1.781197
100,20,1,3,25,1,18.480601,1.859215
110,7,0,0,8,1,18.507552,1.874614
120,0,1,0,2,1,17.314209,1.772786
130,0,0,0,0,0,16.137744,1.675644
140,10,0,1,12,1,15.317680,1.593221
150,21,1,2,25,1,16.020821,1.656184
160,23,7,3,34,1,16.979110,1.751552
170,39,4,2,46,1,18.335819,1.897194
180,39,12,1,53,1,20.379166,2.094946
190,38,9,2,50,1,22.043563,2.272532
200,48,2,0,51,1,23.937899,2.471647
210,26,0,0,27,1,24.925743,2.590008
220,24,0,5,30,1,24.902064,2.568427
230,18,4,1,24,1,24.992723,2.569659
240,16,2,0,19,1,24.987094,2.579313
250,10,0,0,11,1,24.895294,2.580358
260,5,2,0,8,1,24.215492,2.520427
270,20,1,0,22,1,23.885163,2.470879
280,27,2,0,30,1,24.030073,2.490163
290,41,0,0,42,1,24.483995,2.527717
300,35,12,3,51,1,25.236813,2.597271
310,37,17,0,55,1,26.056264,2.676422
320,39,15,3,58,1,27.162555,2.786796
330,53,13,2,69,1,28.339630,2.909794
340,52,7,1,61,1,29.437917,3.030243
350,64,6,4,75,1,30.536595,3.146249
360,70,7,0,78,1,31.963989,3.298090
370,73,7,0,81,1,33.225071,3.423357
380,56,21,2,80,1,34.203040,3.530876
390,56,9,4,70,1,35.286640,3.656161
400,45,6,5,57,1,35.977731,3.739889
410,44,2,2,49,1,36.403195,3.792000
420,41,3,4,49,1,36.701059,3.808857
430,21,4,0,26,1,36.730691,3.824261
440,17,7,1,26,1,36.568968,3.819213
450,41,15,1,58,1,36.565731,3.793126
460,39,7,4,51,1,36.941767,3.842879
470,40,16,5,62,1,37.199204,3.865493
480,25,16,6,48,1,37.569615,3.902492
490,25,16,1,43,1,37.860748,3.932125
500,11,0,0,12,1,37.746070,3.925340
510,7,0,0,8,1,37.101221,3.859193
520,16,0,1,18,1,36.464400,3.796094
530,22,0,0,23,1,36.178453,3.753098
540,18,1,0,20,1,35.899219,3.726563
550,14,5,0,20,1,35.632398,3.708898
560,35,9,0,45,1,35.532902,3.686259
570,41,8,3,53,1,35.701384,3.701308
580,30,0,3,34,1,35.934914,3.739191
590,32,8,3,44,1,36.043801,3.744646
600,14,1,0,16,1,35.899555,3.738239
610,0,0,0,1,1,35.430349,3.698873
620,29,1,1,32,1,35.103000,3.646759
630,9,5,1,16,1,35.014191,3.641291
640,0,0,0,1,1,34.631627,3.608636
650,2,0,0,3,1,34.174537,3.559848
660,6,0,2,9,1,33.748335,3.519896
670,3,0,0,4,1,33.344205,3.484732
680,12,0,0,13,1,33.016717,3.443989
690,0,0,0,1,1,32.638640,3.409122
700,3,1,2,7,1,32.253775,3.370804
710,9,0,0,10,1,31.946010,3.340944
720,15,0,0,16,1,31.564742,3.299929
730,12,6,2,21,1,31.396999,3.279881
740,4,0,0,5,1,31.180487,3.257137
750,6,4,1,12,1,30.800949,3.218714
760,9,4,0,14,1,30.604748,3.201598
770,9,0,2,12,1,30.441089,3.178256
780,27,0,1,29,1,30.262897,3.155335
790,22,0,0,23,1,30.141098,3.145504
800,36,2,2,41,1,30.110401,3.139362
810,13,6,0,20,1,30.091219,3.141775
820,15,0,1,17,1,29.988259,3.131335
830,6,7,0,14,1,29.848650,3.113533
840,32,4,3,40,1,29.865900,3.109874
850,27,3,0,31,1,29.951661,3.125327
860,28,2,1,32,1,30.068363,3.134399
870,3,3,0,7,1,29.925666,3.122491
880,12,0,0,13,1,29.683276,3.091642
890,1,0,0,2,1,29.436272,3.068793
900,3,0,0,4,1,29.154318,3.041837
910,0,0,0,0,0,28.855525,3.016488
920,10,0,1,12,1,28.605866,2.986880
930,5,0,0,6,1,28.354618,2.963897
940,12,0,0,13,1,28.158177,2.941292
950,8,9,2,20,1,28.129441,2.935300
960,7,3,1,12,1,27.961835,2.917440
970,4,4,0,9,1,27.804715,2.901310
980,1,0,0,2,1,27.579140,2.876496
990,15,1,1,18,1,27.340233,2.854549
1000,9,1,0,11,1,27.241499,2.846254
1010,4,1,0,6,1,27.085418,2.832792
1020,2,0,1,4,1,26.891893,2.813306
1030,10,0,0,11,1,26.679765,2.789581
1040,13,3,0,17,1,26.531976,2.774586
1050,6,11,0,18,1,26.450400,2.767054
1060,2,2,4,9,1,26.338800,2.751737
1070,26,3,0,30,1,26.293069,2.745543
1080,13,1,4,19,1,26.344572,2.747937
1090,29,5,2,37,1,26.308582,2.742836
1100,25,0,2,28,1,26.414612,2.757266
1110,30,5,0,36,1,26.480608,2.764103
1120,33,0,3,37,1,26.535477,2.768747
1130,29,4,0,34,1,26.610720,2.777840
1140,17,7,0,25,1,26.600266,2.776951
1150,19,0,0,20,1,26.600836,2.777966
1160,11,3,0,15,1,26.490089,2.766091
1170,26,0,0,27,1,26.459884,2.762879
1180,9,0,0,10,1,26.292135,2.747009
1190,7,8,1,17,1,26.209431,2.739261
1200,1,0,0,2,1,26.067526,2.726729
1210,2,0,0,3,1,25.909707,2.711064
1220,6,0,1,8,1,25.713639,2.692990
1230,0,0,0,1,1,25.561280,2.676460
1240,6,0,0,7,1,25.394277,2.656619
1250,7,0,0,8,1,25.230835,2.638767
1260,10,0,1,12,1,25.155531,2.633430
1270,2,4,2,9,1,25.021726,2.619968
1280,30,3,1,35,1,25.026308,2.617130
1290,45,7,1,54,1,25.139062,2.626500
1300,25,1,1,28,1,25.274989,2.644678
1310,14,3,0,18,1,25.236230,2.639057
1320,24,0,6,31,1,25.190986,2.629872
1330,30,7,0,38,1,25.225927,2.632649
1340,35,9,2,47,1,25.329272,2.642986
1350,39,5,2,47,1,25.495159,2.658823
1360,27,12,0,40,1,25.670026,2.677242
1370,30,14,2,47,1,25.778791,2.685903
