Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,1,1,0,3,1,4.057977,0.414079,0,0,0
20,2,2,1,6,1,4.902715,0.500277,0,0,0
30,3,3,1,8,1,4.150016,0.427837,0,0,0
40,3,1,1,6,1,4.295998,0.446337,0,0,0
50,0,0,0,0,0,3.949761,0.413155,0,0,0
60,10,6,5,22,1,4.810396,0.492532,0,0,0
70,7,6,4,18,1,6.134771,0.628747,0,0,0
80,11,10,5,27,1,8.350831,0.846726,0,0,0
90,8,6,5,20,1,10.440057,1.072609,0,0,0
100,18,13,5,37,1,12.258312,1.245763,0,0,0
110,20,20,6,47,1,15.127614,1.529446,11,1,0
120,18,13,10,42,1,17.531743,1.790476,28,4,0
130,10,8,5,24,1,18.665691,1.919731,28,4,0
140,19,13,12,45,1,20.033386,2.071399,29,4,0
150,10,5,8,24,1,21.129023,2.202469,36,4,0
160,0,0,0,1,1,20.576906,2.171705,36,4,0
170,3,3,3,10,1,19.881804,2.096716,36,4,0
180,4,4,2,11,1,19.177120,2.025752,36,4,0
190,11,6,6,24,1,18.708742,1.948827,36,4,0
200,16,13,11,41,1,19.212015,1.986765,36,4,0
210,19,12,10,42,1,20.367197,2.106951,43,4,0
220,16,12,7,36,1,20.951966,2.171188,44,4,0
230,15,9,9,34,1,21.247899,2.200368,44,4,0
240,9,7,3,20,1,21.557736,2.234927,44,4,0
250,17,11,8,37,1,21.803512,2.248712,49,4,0
260,7,3,4,15,1,22.385255,2.305930,51,4,0
270,3,3,2,9,1,21.978055,2.263186,51,4,0
280,3,3,1,8,1,21.437316,2.197894,51,4,0
290,3,1,2,7,1,21.171343,2.168735,51,4,0
300,3,1,1,6,1,20.827678,2.131072,51,4,0
310,7,6,3,17,1,20.534911,2.103014,51,4,0
320,18,12,11,42,1,20.725520,2.117550,51,4,0
330,11,8,7,27,1,21.234474,2.168795,51,4,0
340,14,9,5,29,1,21.446604,2.189743,51,4,0
350,16,13,10,40,1,21.700049,2.209781,51,4,0
