Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W]
10,0,0,0,0,0,0.784444,0.110485
20,12,1,0,14,1,2.482568,0.295544
30,0,0,0,0,0,3.719986,0.442855
40,0,1,0,2,1,3.811777,0.448444
50,3,0,0,4,1,4.369804,0.501124
60,1,0,0,2,1,3.911362,0.457469
70,2,1,1,5,1,3.665107,0.423362
80,1,0,0,2,1,3.970133,0.459639
90,11,0,0,12,1,3.740832,0.435543
100,0,0,0,1,1,3.898588,0.463015
110,0,1,0,2,1,3.702008,0.444079
120,0,0,0,0,0,3.633390,0.436007
130,6,0,1,8,1,3.609939,0.430543
140,0,0,0,1,1,3.585365,0.429385
150,0,0,0,1,1,3.536058,0.417645
160,3,0,0,4,1,3.461546,0.412703
170,0,0,0,0,0,3.334389,0.402019
180,0,0,0,1,1,3.354452,0.403881
190,5,0,0,6,1,3.464754,0.412988
200,0,0,0,0,0,3.549126,0.423523
210,1,0,0,2,1,3.457545,0.415143
220,1,1,0,3,1,3.445189,0.414176
230,2,2,0,5,1,3.403446,0.409196
240,3,0,0,4,1,3.496507,0.419791
250,0,0,0,0,0,3.428719,0.413697
260,1,0,0,2,1,3.395280,0.409639
270,10,1,0,12,1,3.434590,0.412885
280,19,0,1,21,1,3.932121,0.469107
290,1,1,0,3,1,4.409237,0.525125
300,0,0,0,0,0,4.338885,0.517561
310,1,0,0,2,1,4.290998,0.514190
320,3,1,0,5,1,4.213700,0.506721
330,0,1,0,2,1,4.174609,0.502781
340,0,0,0,0,0,4.107720,0.497551
350,0,0,0,1,1,4.065326,0.491151
360,0,0,0,0,0,4.023690,0.485432
370,0,1,0,2,1,3.952387,0.478372
380,0,0,0,0,0,3.985537,0.482634
390,4,2,0,7,1,3.975696,0.481828
400,0,0,0,0,0,3.938286,0.478092
410,2,1,0,4,1,3.900544,0.473703
420,5,0,0,6,1,3.881302,0.471141
430,1,0,0,2,1,3.920640,0.473561
440,0,0,1,2,1,3.921632,0.474826
450,0,0,0,1,1,3.851726,0.468706
460,5,2,1,9,1,3.805672,0.463369
470,8,0,0,9,1,3.865173,0.468204
480,0,0,0,0,0,3.902786,0.473663
490,5,0,1,7,1,3.878541,0.470650
500,12,0,0,13,1,3.920692,0.475466
510,13,6,0,20,1,4.077147,0.493086
520,19,1,0,21,1,4.408682,0.533888
530,1,1,0,3,1,4.483066,0.543464
540,0,0,0,0,0,4.490026,0.544735
550,0,0,0,1,1,4.526313,0.548946
560,0,0,0,0,0,4.464168,0.542167
570,13,3,3,20,1,4.454889,0.541195
580,0,0,0,0,0,4.501074,0.547415
590,4,0,0,5,1,4.460861,0.544007
600,2,0,0,3,1,4.422735,0.539687
610,2,0,0,3,1,4.414026,0.538727
620,4,3,0,8,1,4.373707,0.534535
630,1,0,0,2,1,4.337440,0.530291
640,0,0,0,0,0,4.295751,0.525675
650,8,1,0,10,1,4.315730,0.527893
660,8,0,0,9,1,4.318339,0.527797
670,5,0,0,6,1,4.306773,0.525503
680,4,0,2,7,1,4.409477,0.536875
690,5,0,0,6,1,4.409285,0.536201
700,0,0,0,0,0,4.382889,0.534034
710,13,1,0,15,1,4.495198,0.545664
720,0,0,0,1,1,4.474304,0.543988
