Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,2,0,1,4,1,2.570559,0.276404,0,0,0
20,0,0,0,0,0,2.168144,0.259658,0,0,0
30,2,1,0,4,1,2.655725,0.298396,0,0,0
40,4,5,2,12,1,5.363960,0.586225,0,0,0
50,3,2,1,7,1,6.317832,0.695796,0,0,0
60,1,1,1,4,1,6.124125,0.680458,0,0,0
70,6,2,7,16,1,6.212043,0.668989,0,0,0
80,0,0,0,0,0,6.414508,0.697229,0,0,0
90,2,5,2,10,1,5.982087,0.663039,0,0,0
100,8,7,0,16,1,6.954020,0.772669,0,0,0
110,1,1,0,3,1,7.277782,0.816061,0,0,0
120,0,0,0,0,0,6.871797,0.775744,0,0,0
130,0,0,0,0,0,6.497006,0.737651,0,0,0
140,4,3,8,16,1,6.625932,0.748693,0,0,0
150,1,0,4,6,1,6.732205,0.760988,0,0,0
160,3,3,7,14,1,6.860095,0.771339,0,0,0
170,0,0,1,2,1,6.897595,0.773477,0,0,0
180,0,0,0,0,0,6.781439,0.767228,0,0,0
190,0,3,0,4,1,6.521659,0.743767,0,0,0
200,1,1,2,5,1,6.274763,0.717116,0,0,0
210,3,0,0,4,1,6.092135,0.699097,0,0,0
220,0,1,4,6,1,5.934553,0.676828,0,0,0
230,6,4,9,20,1,6.136201,0.695577,0,0,0
240,1,4,2,8,1,6.600107,0.752149,0,0,0
250,2,1,0,4,1,6.489441,0.738780,0,0,0
260,0,0,0,1,1,6.370493,0.722972,0,0,0
270,6,3,0,10,1,6.413874,0.728543,0,0,0
280,4,2,1,8,1,6.476580,0.735378,0,0,0
290,1,0,2,4,1,6.342158,0.719291,0,0,0
300,5,7,6,19,1,6.390740,0.721574,0,0,0
310,2,11,5,19,1,6.606892,0.746950,0,0,0
320,0,0,0,1,1,6.590087,0.751275,0,0,0
330,0,0,0,1,1,6.557060,0.744608,0,0,0
340,1,0,0,2,1,6.400930,0.729084,0,0,0
350,3,2,1,7,1,6.324499,0.718927,0,0,0
360,1,2,0,4,1,6.197674,0.707407,0,0,0
370,3,2,13,19,1,6.383296,0.727385,0,0,0
380,2,0,0,3,1,6.599118,0.751698,0,0,0
390,2,4,5,12,1,6.556824,0.744226,0,0,0
400,4,2,2,9,1,6.644576,0.753994,0,0,0
410,15,4,0,20,1,6.856380,0.773134,0,0,0
420,5,3,3,12,1,7.028338,0.791607,2,0,0
430,0,1,2,4,1,6.983992,0.785745,2,0,0
440,0,0,0,1,1,6.861707,0.774737,2,0,0
450,0,0,3,4,1,6.787828,0.764778,2,0,0
460,0,0,0,0,0,6.715710,0.757720,2,0,0
470,0,0,0,1,1,6.653281,0.751512,2,0,0
480,1,0,1,3,1,6.568834,0.742766,2,0,0
490,2,0,0,3,1,6.488170,0.735076,2,0,0
500,2,1,0,4,1,6.426236,0.725964,2,0,0
510,0,1,2,4,1,6.420965,0.725131,2,0,0
520,0,4,4,9,1,6.415803,0.724320,2,0,0
530,3,0,0,4,1,6.407915,0.722748,2,0,0
540,0,0,1,2,1,6.375560,0.719349,2,0,0
550,0,0,0,1,1,6.314728,0.711993,2,0,0
560,0,0,2,3,1,6.238298,0.704182,2,0,0
570,0,1,1,3,1,6.221417,0.700970,2,0,0
580,1,1,2,5,1,6.163230,0.695868,2,0,0
590,2,9,1,13,1,6.193151,0.697187,2,0,0
600,0,0,0,0,0,6.256558,0.704567,2,0,0
610,4,1,2,8,1,6.202994,0.698639,2,0,0
620,7,6,6,20,1,6.272276,0.705773,2,0,0
630,2,0,2,5,1,6.343354,0.712736,2,0,0
640,0,1,0,2,1,6.312946,0.710193,2,0,0
650,3,3,0,7,1,6.281335,0.706501,2,0,0
660,0,0,0,0,0,6.211016,0.699534,2,0,0
670,13,4,3,21,1,6.265828,0.705564,2,0,0
680,11,7,10,29,1,6.411832,0.720788,2,0,0
690,5,1,6,13,1,6.663222,0.749775,2,0,0
700,1,1,4,7,1,6.614819,0.745632,2,0,0
710,0,4,5,10,1,6.670531,0.750448,2,0,0
720,3,1,2,7,1,6.622925,0.746012,2,0,0
730,0,0,0,1,1,6.611451,0.743890,2,0,0
740,0,2,3,6,1,6.594155,0.740242,2,0,0
750,1,1,1,4,1,6.548725,0.734821,2,0,0
760,1,0,1,3,1,6.494422,0.729818,2,0,0
770,0,0,0,1,1,6.479981,0.728832,2,0,0
780,0,2,4,7,1,6.445268,0.726385,2,0,0
790,2,3,1,7,1,6.405092,0.721520,2,0,0
800,4,9,10,24,1,6.517260,0.731660,2,0,0
810,1,0,4,6,1,6.685840,0.751426,2,0,0
820,5,2,0,8,1,6.657951,0.748803,2,0,0
830,1,2,1,5,1,6.605404,0.742281,2,0,0
840,1,7,3,12,1,6.609311,0.742222,2,0,0
850,3,4,7,15,1,6.674471,0.747766,2,0,0
860,0,0,0,1,1,6.704288,0.751621,2,0,0
870,1,1,1,4,1,6.692184,0.750574,2,0,0
880,0,0,0,1,1,6.647473,0.744815,2,0,0
890,0,0,4,5,1,6.625652,0.742113,2,0,0
900,0,0,0,1,1,6.619429,0.742181,2,0,0
910,0,2,0,3,1,6.591754,0.738640,2,0,0
920,0,0,0,0,0,6.606968,0.739196,2,0,0
930,13,2,2,18,1,6.664725,0.743635,2,0,0
940,0,0,0,0,0,6.663261,0.744587,2,0,0
950,0,0,0,0,0,6.643648,0.742962,2,0,0
960,10,4,4,19,1,6.722734,0.750707,2,0,0
970,2,8,3,14,1,6.792666,0.757692,2,0,0
980,4,3,0,8,1,6.859251,0.764566,2,0,0
990,9,1,12,23,1,6.882735,0.767073,2,0,0
1000,2,2,12,17,1,6.998325,0.779497,2,0,0
1010,0,0,0,1,1,7.082955,0.788817,2,0,0
1020,0,3,1,5,1,7.053563,0.785612,2,0,0
1030,1,3,5,10,1,7.048100,0.784815,2,0,0
1040,4,0,1,6,1,7.029969,0.782696,2,0,0
1050,4,0,4,9,1,7.018390,0.780978,2,0,0
1060,8,10,15,34,1,7.141100,0.793372,2,0,0
1070,4,7,6,18,1,7.356437,0.817806,2,0,0
1080,12,12,7,32,1,7.533824,0.837522,2,0,0
1090,7,11,3,22,1,7.683021,0.854279,2,0,0
1100,9,18,2,30,1,7.812051,0.867567,2,2,0
1110,0,2,0,3,1,7.892396,0.876845,2,2,0
1120,0,0,0,1,1,7.840687,0.871447,2,2,0
1130,0,0,0,0,0,7.790659,0.867505,2,2,0
1140,2,3,9,15,1,7.847255,0.872002,2,2,0
1150,0,1,0,2,1,7.844383,0.872019,2,2,0
1160,1,1,6,9,1,7.839070,0.870341,2,2,0
1170,0,0,1,2,1,7.821201,0.868857,2,2,0
1180,1,3,1,6,1,7.784974,0.864346,2,2,0
1190,0,6,2,9,1,7.756590,0.861522,2,2,0
1200,0,0,0,1,1,7.738414,0.859824,2,2,0
1210,4,7,2,14,1,7.755449,0.860373,2,2,0
1220,0,5,2,8,1,7.791761,0.864491,2,2,0
1230,5,2,1,9,1,7.757345,0.860994,2,2,0
1240,2,1,1,5,1,7.765570,0.862532,2,2,0
1250,0,5,1,7,1,7.726862,0.857702,2,2,0
1260,0,0,0,0,0,7.680646,0.853782,2,2,0
1270,7,6,1,15,1,7.692180,0.854687,2,2,0
1280,7,3,1,12,1,7.775658,0.864112,2,2,0
1290,0,0,0,1,1,7.744229,0.861583,2,2,0
1300,3,1,0,5,1,7.705312,0.856585,2,2,0
