Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,0,0,0,1,1,2.479148,0.275461,0,0,0
20,1,0,1,3,1,2.126948,0.256259,0,0,0
30,6,4,4,15,1,4.232585,0.468552,0,0,0
40,7,3,2,13,1,8.552970,0.969175,0,0,0
50,1,6,6,14,1,9.614609,1.042799,0,0,0
60,0,0,0,1,1,9.098667,1.007233,0,0,0
70,16,8,14,39,1,10.534606,1.143291,0,0,0
80,10,1,10,22,1,12.711321,1.385430,0,0,0
90,1,0,0,2,1,12.251231,1.336498,0,0,0
100,9,5,0,15,1,11.549636,1.239231,0,0,0
110,12,12,10,35,1,12.513072,1.312143,0,0,0
120,8,6,5,20,1,13.933749,1.448917,0,0,0
130,8,4,0,13,1,14.683297,1.517352,0,0,0
140,9,7,12,29,1,14.839824,1.525386,0,0,0
150,7,12,16,36,1,15.669739,1.604410,0,0,0
160,8,9,18,36,1,17.130006,1.762573,0,0,5
170,10,17,16,44,1,18.324796,1.885724,0,0,5
180,16,17,11,45,1,19.767996,2.027487,0,17,5
190,5,1,12,19,1,20.379939,2.120585,0,17,5
200,9,20,14,44,1,20.680547,2.141952,0,20,5
210,10,17,8,36,1,21.405138,2.201312,0,21,5
220,5,13,6,25,1,22.118153,2.289879,0,29,5
230,7,15,0,23,1,22.362218,2.305383,0,29,5
240,14,12,8,35,1,22.804869,2.346985,3,36,5
250,16,19,9,45,1,23.541691,2.424978,3,45,5
260,20,17,11,49,1,24.102402,2.483799,10,45,5
270,16,8,17,42,1,24.844614,2.559346,13,45,5
280,12,3,17,33,1,25.155213,2.598104,13,45,6
290,12,1,17,31,1,25.476183,2.630151,14,45,7
300,16,10,10,37,1,25.775641,2.655458,14,45,9
310,13,9,5,28,1,26.100599,2.700663,15,45,9
320,6,13,2,22,1,26.175516,2.699376,15,45,9
330,4,9,6,20,1,26.043854,2.682419,15,45,9
340,6,6,1,14,1,25.967270,2.674605,15,45,9
350,9,11,8,29,1,25.905303,2.656565,15,45,9
360,3,12,14,30,1,25.858945,2.654468,15,45,9
370,4,19,19,43,1,26.098069,2.679325,15,46,13
380,4,12,4,21,1,26.434519,2.711965,15,49,13
390,6,8,4,19,1,26.199285,2.685341,15,49,13
400,6,7,8,22,1,26.048465,2.673008,15,49,13
410,7,4,20,32,1,26.106233,2.679909,15,49,16
420,6,7,5,19,1,26.248145,2.702015,15,49,20
430,9,0,8,18,1,26.193831,2.690718,15,49,20
440,15,6,13,35,1,26.329764,2.695462,15,49,20
450,19,8,17,45,1,26.600395,2.725450,15,49,21
460,14,16,16,47,1,26.950605,2.753727,15,49,24
470,18,9,16,44,1,27.357164,2.789125,16,51,24
480,17,4,15,37,1,27.518899,2.808051,18,51,24
490,14,9,13,37,1,27.782717,2.836743,23,51,26
500,4,6,19,30,1,28.021591,2.851780,23,51,27
510,9,2,12,24,1,28.079465,2.858959,23,51,30
520,10,2,5,18,1,27.967035,2.842067,23,51,30
530,0,0,3,4,1,27.779883,2.827062,23,51,30
540,0,0,0,0,0,27.423147,2.791949,23,51,30
550,4,3,6,14,1,27.058797,2.755478,23,51,30
560,13,4,9,27,1,26.895895,2.726593,23,51,30
570,14,7,19,41,1,27.034924,2.737106,23,51,31
580,8,2,14,25,1,27.050564,2.752513,23,51,31
590,0,6,9,16,1,26.881879,2.739259,23,51,31
600,8,3,13,25,1,26.855688,2.736653,23,51,31
610,1,15,10,27,1,26.792592,2.727550,23,51,31
620,3,13,5,22,1,26.686284,2.715938,23,51,31
630,5,17,0,23,1,26.605996,2.706131,23,55,31
640,4,16,1,22,1,26.487682,2.694233,23,55,31
650,1,1,5,8,1,26.315521,2.676853,23,55,31
660,4,2,4,11,1,25.969209,2.643380,23,55,31
670,7,4,1,13,1,25.830860,2.627000,23,55,31
680,16,10,10,37,1,25.846947,2.621707,23,55,31
690,16,9,18,44,1,26.045010,2.641637,23,55,32
700,17,7,6,31,1,26.181099,2.656438,23,55,32
710,14,7,9,31,1,26.195737,2.656996,29,55,32
720,1,0,0,2,1,26.064415,2.650244,29,55,32
730,0,1,0,2,1,25.767912,2.623511,29,55,32
740,0,0,0,0,0,25.455277,2.594615,29,55,32
750,0,1,1,3,1,25.155342,2.568969,29,55,32
760,6,0,15,22,1,25.130102,2.565329,29,55,32
770,3,4,19,27,1,25.087090,2.560586,29,55,34
780,8,7,1,17,1,24.921379,2.542998,29,55,36
790,2,2,5,10,1,24.760438,2.521690,29,55,36
800,0,0,0,1,1,24.500265,2.494935,29,55,36
810,0,0,0,1,1,24.227089,2.472152,29,55,36
820,0,3,0,4,1,23.970697,2.447208,29,55,36
830,0,0,0,1,1,23.745088,2.425055,29,55,36
840,0,0,0,0,0,23.484415,2.403083,29,55,36
850,0,2,2,5,1,23.286693,2.380766,29,55,36
860,1,5,1,8,1,23.117632,2.361464,29,55,36
870,6,1,7,15,1,22.970799,2.345059,29,55,36
880,3,2,7,13,1,22.921269,2.337821,29,55,36
890,0,0,0,1,1,22.740895,2.319436,29,55,36
900,3,10,6,20,1,22.576353,2.305539,29,55,36
910,8,4,9,22,1,22.537057,2.301248,29,55,36
920,10,4,3,18,1,22.571908,2.307607,29,55,36
930,15,16,5,37,1,22.680830,2.318950,33,55,36
940,3,15,8,27,1,22.757780,2.326263,33,55,36
950,4,2,3,10,1,22.676642,2.320673,33,55,36
960,4,7,6,18,1,22.558479,2.307035,33,55,36
970,10,1,13,25,1,22.580391,2.308249,33,55,36
980,12,3,17,33,1,22.629308,2.309113,33,55,36
990,0,3,0,4,1,22.519408,2.300032,33,55,36
1000,3,5,1,10,1,22.380053,2.285545,33,55,36
1010,8,0,1,10,1,22.304700,2.277140,33,55,36
1020,20,17,6,44,1,22.338404,2.274423,34,55,36
1030,19,16,15,51,1,22.528623,2.293160,37,55,36
1040,20,18,13,52,1,22.773270,2.318117,46,55,36
1050,9,8,7,25,1,22.921559,2.334850,51,57,36
1060,6,8,8,23,1,22.875749,2.329551,51,57,36
1070,0,2,2,5,1,22.914483,2.336653,51,57,36
1080,0,0,0,0,0,22.746088,2.318620,51,57,36
1090,14,1,15,31,1,22.656264,2.304529,51,57,36
1100,4,0,0,5,1,22.609105,2.302353,51,57,36
1110,0,0,0,1,1,22.426052,2.286901,51,57,36
1120,0,8,8,17,1,22.353128,2.276162,51,57,36
1130,1,11,0,13,1,22.247358,2.266455,51,57,36
1140,5,14,1,21,1,22.218035,2.265727,51,57,36
1150,5,8,5,19,1,22.247488,2.266130,51,57,36
1160,10,5,11,27,1,22.248850,2.265906,51,57,36
1170,2,3,10,16,1,22.284030,2.270514,51,57,36
1180,3,0,2,6,1,22.157233,2.258794,51,57,36
1190,3,4,0,8,1,22.063639,2.250234,51,57,36
