Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,1,6,1,9,1,3.655163,0.361897,0,0,0
20,1,5,0,7,1,4.682367,0.485219,0,0,0
30,1,0,1,3,1,4.974862,0.525514,0,0,0
40,2,1,1,5,1,6.359581,0.655627,0,0,0
50,4,9,6,20,1,7.254171,0.741735,0,0,0
60,11,15,4,31,1,9.849852,0.981713,0,0,0
70,7,8,7,23,1,13.006491,1.311894,2,0,0
80,3,8,4,16,1,13.716219,1.375060,2,0,0
90,3,7,3,14,1,13.752253,1.375225,2,0,0
100,2,2,0,5,1,13.281139,1.332110,2,0,0
110,0,0,1,2,1,13.141617,1.334790,2,0,0
120,1,2,3,7,1,12.411859,1.257959,2,0,0
130,7,13,2,23,1,12.720103,1.288865,2,0,0
140,6,15,7,29,1,13.393293,1.360712,2,0,0
150,11,20,12,44,1,15.038417,1.513935,2,2,0
160,0,8,4,13,1,15.986967,1.622013,2,4,0
170,11,3,4,19,1,16.001603,1.612491,2,4,0
180,2,8,1,12,1,15.637534,1.579549,2,4,0
190,8,17,7,33,1,16.056938,1.606539,2,4,0
200,8,20,9,38,1,17.113970,1.714827,2,20,0
210,5,18,7,31,1,17.685685,1.777881,2,25,0
220,13,14,16,44,1,18.413162,1.845511,2,27,0
230,10,18,9,38,1,19.298960,1.945971,2,27,0
240,5,18,16,40,1,20.083271,2.010002,2,32,0
250,10,13,19,43,1,20.933511,2.095027,2,32,1
260,11,0,17,29,1,21.720639,2.190600,10,32,7
270,11,12,19,43,1,22.262750,2.236214,10,32,16
280,12,18,8,39,1,22.895356,2.303521,10,32,16
290,7,8,4,20,1,22.946814,2.311419,10,33,16
300,3,3,0,7,1,22.509703,2.269886,10,33,16
310,19,10,7,37,1,22.672171,2.284164,10,33,16
320,7,8,7,23,1,22.711731,2.286896,10,33,16
330,5,3,3,12,1,22.424003,2.263665,10,33,16
340,5,4,19,29,1,22.431106,2.245092,10,33,16
350,1,1,5,8,1,22.223336,2.224876,10,33,18
360,0,3,0,4,1,21.738130,2.182908,10,33,18
370,3,6,3,13,1,21.279862,2.131443,10,33,18
380,14,12,14,41,1,21.490791,2.149079,10,33,18
390,6,6,0,13,1,21.509572,2.157596,10,33,18
400,6,3,2,12,1,21.312484,2.136590,10,33,18
410,1,2,2,6,1,20.936725,2.109105,10,33,18
420,3,5,1,10,1,20.596516,2.080957,10,33,18
430,1,0,0,2,1,20.257698,2.052984,10,33,18
440,3,8,7,19,1,20.128211,2.035021,10,33,18
450,0,1,4,6,1,20.094917,2.038943,10,33,18
460,0,0,0,0,0,19.736440,2.007687,10,33,18
470,3,10,9,23,1,19.532435,1.980208,10,33,18
480,5,15,9,30,1,19.603518,1.985585,10,33,18
490,5,15,9,30,1,19.935171,2.016147,10,35,18
500,8,14,13,36,1,20.126101,2.039945,10,35,18
510,1,7,8,17,1,20.203776,2.054621,10,35,18
520,1,5,7,14,1,20.148296,2.049514,10,35,18
530,2,3,3,9,1,19.903643,2.025913,10,35,18
540,14,11,4,30,1,19.793307,2.012500,10,35,18
550,11,18,12,42,1,20.015015,2.032544,10,35,18
560,13,17,14,45,1,20.357524,2.064508,10,35,18
570,17,20,20,58,1,20.944504,2.122376,12,47,25
580,12,10,12,35,1,21.407696,2.174512,12,49,30
590,12,9,9,31,1,21.597641,2.193220,12,49,30
600,15,6,11,33,1,21.734608,2.208054,12,49,30
610,16,13,10,40,1,21.902566,2.229734,12,49,30
620,17,13,9,40,1,22.179259,2.257616,17,49,30
630,18,15,13,47,1,22.476697,2.288352,20,49,30
640,10,18,12,41,1,22.852260,2.326670,26,53,30
650,3,11,7,22,1,22.899423,2.333013,26,53,30
660,10,6,1,18,1,22.808853,2.323482,26,53,30
670,8,0,2,11,1,22.789463,2.320860,26,53,30
680,9,17,10,37,1,22.789644,2.315052,26,53,30
690,11,15,2,29,1,22.917620,2.329919,26,55,30
700,8,12,16,37,1,23.077825,2.345307,26,55,30
710,19,13,16,49,1,23.420917,2.377588,28,55,36
720,14,13,13,41,1,23.746769,2.411860,29,55,41
730,7,11,5,24,1,23.883095,2.433309,29,55,41
740,8,8,4,21,1,23.798359,2.423058,29,55,41
750,20,19,7,47,1,23.996654,2.438354,30,55,41
760,18,16,13,48,1,24.312980,2.473941,32,58,41
770,9,6,9,25,1,24.514601,2.499172,32,58,41
780,12,8,4,25,1,24.539491,2.504030,32,58,41
790,9,3,2,15,1,24.453898,2.496263,32,58,41
800,8,0,1,10,1,24.372960,2.487354,32,58,41
810,12,12,2,27,1,24.218106,2.467505,32,58,41
820,7,7,1,16,1,24.232762,2.473346,32,58,41
830,10,2,6,19,1,24.069340,2.458171,32,58,41
840,4,3,2,10,1,23.927493,2.444550,32,58,41
850,0,3,1,5,1,23.723786,2.428959,32,58,41
860,1,1,2,5,1,23.483757,2.406581,32,58,41
870,2,3,8,14,1,23.310091,2.388667,32,58,41
880,1,3,4,9,1,23.157501,2.378455,32,58,41
890,10,8,15,34,1,23.128466,2.370648,32,58,41
900,17,1,17,36,1,23.256670,2.379605,32,58,42
910,5,1,20,27,1,23.341949,2.387990,32,58,47
920,5,5,10,21,1,23.350777,2.390687,32,58,47
930,3,4,1,9,1,23.229017,2.380757,32,58,47
940,0,0,1,2,1,23.043954,2.360649,32,58,47
950,8,5,1,15,1,22.934676,2.349611,32,58,47
960,9,10,6,26,1,22.883761,2.341050,32,58,47
970,4,2,6,13,1,22.777873,2.331139,32,58,47
980,0,3,0,4,1,22.644944,2.319888,32,58,47
990,6,6,2,15,1,22.564497,2.309164,32,58,47
1000,13,6,11,31,1,22.600987,2.313068,32,58,47
1010,0,7,9,17,1,22.584441,2.309668,32,58,47
1020,2,6,11,20,1,22.557435,2.305007,32,58,47
1030,0,0,0,0,0,22.434761,2.293579,32,58,47
1040,0,0,0,0,0,22.262807,2.277301,32,58,47
1050,1,4,0,6,1,22.066900,2.257648,32,58,47
1060,1,1,0,3,1,21.887812,2.240568,32,58,47
1070,5,1,3,10,1,21.775808,2.230743,32,58,47
1080,3,4,5,13,1,21.675666,2.222512,32,58,47
1090,1,9,16,27,1,21.720621,2.226394,32,58,47
1100,4,13,15,33,1,21.799052,2.233093,32,58,48
1110,15,18,16,50,1,21.938772,2.242361,32,62,48
1120,18,15,17,51,1,22.205440,2.270619,40,64,50
1130,11,3,1,16,1,22.284338,2.279057,40,64,50
1140,14,10,6,31,1,22.239481,2.272386,40,64,50
1150,8,17,15,41,1,22.384650,2.285568,40,69,50
1160,5,15,18,39,1,22.485138,2.296624,40,69,50
1170,7,19,20,47,1,22.620246,2.310002,40,72,51
1180,12,18,16,47,1,22.810267,2.330198,40,78,59
1190,15,19,18,53,1,23.039836,2.354032,40,80,68
1200,7,19,14,41,1,23.210032,2.373214,40,84,68
1210,7,14,7,29,1,23.315966,2.384207,40,84,68
1220,14,16,2,33,1,23.367868,2.386273,40,84,68
1230,2,1,1,5,1,23.299084,2.382597,40,84,68
1240,1,1,3,6,1,23.152555,2.368548,40,84,68
1250,0,3,3,7,1,22.995627,2.354373,40,84,68
1260,0,2,2,5,1,22.904660,2.344996,40,84,68
1270,0,4,2,7,1,22.814212,2.334922,40,84,68
1280,3,2,3,9,1,22.671882,2.321972,40,84,68
1290,10,10,12,33,1,22.649561,2.318700,40,84,68
1300,5,11,14,31,1,22.695579,2.321707,40,84,68
1310,18,10,13,42,1,22.850326,2.334029,45,84,72
1320,16,11,14,42,1,23.041730,2.354109,48,84,73
1330,17,16,5,39,1,23.160803,2.367161,49,84,73
1340,0,7,3,11,1,23.164011,2.368544,49,84,73
1350,13,11,6,31,1,23.156790,2.365978,49,84,73
1360,18,6,5,30,1,23.219925,2.370803,50,84,73
1370,13,5,6,25,1,23.192062,2.367242,50,84,73
1380,8,17,8,34,1,23.252492,2.372177,50,85,73
1390,1,1,1,4,1,23.205201,2.367530,50,85,73
1400,2,0,0,3,1,23.063144,2.352011,50,85,73
1410,0,3,5,9,1,22.967242,2.341563,50,85,73
1420,0,6,2,9,1,22.857530,2.330559,50,85,73
1430,0,0,0,0,0,22.745288,2.318797,50,85,73
1440,8,6,6,21,1,22.636584,2.306750,50,85,73
1450,9,14,8,32,1,22.655902,2.306309,50,85,73
1460,7,11,9,28,1,22.751463,2.317367,50,85,73
1470,4,8,15,28,1,22.762001,2.318790,50,85,73
1480,11,3,13,28,1,22.775191,2.321438,50,85,73
1490,18,0,18,37,1,22.858025,2.330696,52,85,74
1500,5,8,17,31,1,22.896834,2.335458,52,85,76
1510,15,11,20,47,1,22.923205,2.336734,52,85,76
1520,12,19,11,43,1,23.068289,2.351066,52,87,86
1530,4,12,8,25,1,23.121238,2.358524,52,87,86
1540,5,12,13,31,1,23.141983,2.358770,52,87,86
1550,14,18,12,45,1,23.278004,2.372495,52,92,91
1560,16,14,8,39,1,23.438806,2.390151,52,104,91
1570,10,5,0,16,1,23.475478,2.393901,55,104,91
1580,0,4,6,11,1,23.393924,2.385902,55,104,91
1590,1,0,0,2,1,23.304052,2.377507,55,104,91
1600,0,3,7,11,1,23.194423,2.365722,55,104,91
1610,0,0,0,0,0,23.076110,2.354705,55,104,91
1620,0,1,1,3,1,22.948456,2.344189,55,104,91
1630,0,1,0,2,1,22.832178,2.332881,55,104,91
1640,0,0,0,0,0,22.709700,2.323968,55,104,91
1650,1,0,1,3,1,22.591994,2.312886,55,104,91
1660,5,10,8,24,1,22.539391,2.306886,55,104,91
