Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,1,0,1,3,1,2.908859,0.306196,0,0,0
20,0,2,11,14,1,4.660633,0.517848,0,0,0
30,0,0,13,14,1,9.210143,1.004743,0,0,17
40,1,2,20,24,1,11.136457,1.197468,0,0,31
50,1,0,20,22,1,11.997785,1.276360,0,0,41
60,0,0,11,12,1,13.231644,1.440832,0,0,65
70,0,0,11,12,1,13.870914,1.473390,0,0,84
80,0,0,16,17,1,13.558429,1.412336,0,0,89
90,1,1,20,23,1,13.528319,1.396271,0,0,90
100,0,0,11,12,1,13.772292,1.434614,0,0,101
110,0,0,9,10,1,13.651548,1.415335,0,0,101
120,0,0,6,7,1,13.404840,1.399983,0,0,101
130,0,0,5,6,1,12.731167,1.329359,0,0,101
140,0,0,12,13,1,12.677924,1.310864,0,0,102
150,0,0,0,0,0,12.281985,1.278486,0,0,102
160,0,1,20,22,1,11.855140,1.235715,0,0,103
170,0,0,1,2,1,11.495073,1.213766,0,0,113
180,1,0,0,2,1,10.975025,1.155942,0,0,113
190,0,0,6,7,1,10.669103,1.115646,0,0,113
200,0,0,18,19,1,10.511654,1.091553,0,0,113
210,0,0,20,21,1,10.916107,1.137094,0,0,139
220,0,0,18,19,1,11.202173,1.169662,0,0,150
230,0,1,3,5,1,11.038495,1.155075,0,0,153
240,0,0,19,20,1,11.269745,1.171390,0,0,169
250,0,0,6,7,1,11.401476,1.187654,0,0,169
260,0,0,6,7,1,11.482722,1.190869,0,0,173
270,1,3,17,22,1,11.526314,1.194666,0,0,173
280,0,0,6,7,1,11.449547,1.187800,0,0,177
290,0,0,8,9,1,11.402036,1.182192,0,0,177
300,0,0,3,4,1,11.217953,1.163286,0,0,177
310,0,0,16,17,1,11.038071,1.139841,0,0,177
320,0,1,2,4,1,11.146774,1.152866,0,0,188
330,0,0,10,11,1,11.178852,1.157885,0,0,196
340,0,0,0,0,0,11.129093,1.152220,0,0,196
350,0,0,17,18,1,11.093772,1.148424,0,0,218
360,0,0,15,16,1,11.325423,1.174972,0,0,240
370,0,0,19,20,1,11.416305,1.181548,0,0,252
380,0,0,6,7,1,11.574423,1.199749,0,0,272
390,0,0,9,10,1,11.496996,1.190924,0,0,272
400,0,0,1,2,1,11.393450,1.183120,0,0,272
410,0,0,10,11,1,11.253922,1.164591,0,0,272
420,0,0,0,0,0,11.153185,1.156627,0,0,272
430,0,0,3,4,1,11.021252,1.146658,0,0,272
440,0,1,18,20,1,10.957497,1.136027,0,0,272
450,0,1,20,22,1,11.115553,1.150678,0,0,283
460,0,0,9,10,1,11.186181,1.158668,0,0,286
470,0,0,16,17,1,11.240072,1.160807,0,0,287
480,0,0,15,16,1,11.355709,1.173211,0,0,306
490,0,0,20,21,1,11.489532,1.190248,0,0,328
500,0,0,17,18,1,11.546976,1.195339,0,0,332
510,0,2,20,23,1,11.685692,1.210584,0,0,343
520,1,1,19,22,1,11.834385,1.228565,0,0,357
530,0,0,0,1,1,11.824184,1.231686,0,0,372
540,0,0,16,17,1,11.863914,1.233208,0,0,377
550,0,0,8,9,1,11.828863,1.229379,0,0,377
560,2,0,10,13,1,11.715129,1.215352,0,0,377
570,1,0,20,22,1,11.773628,1.224182,0,0,379
580,0,0,8,9,1,11.798920,1.227951,0,0,383
590,0,0,12,13,1,11.885416,1.235012,0,0,401
600,1,1,5,8,1,11.746815,1.223414,0,0,401
610,0,0,8,9,1,11.689391,1.216606,0,0,401
620,0,0,10,11,1,11.586880,1.205751,0,0,401
630,0,1,5,7,1,11.476397,1.192304,0,0,401
640,0,0,15,16,1,11.399426,1.183972,0,0,401
650,1,0,12,14,1,11.373901,1.180054,0,0,401
660,1,0,16,18,1,11.497482,1.194262,0,0,426
670,0,0,3,4,1,11.436399,1.189812,0,0,431
680,0,1,4,6,1,11.353888,1.180707,0,0,431
690,0,0,0,1,1,11.239146,1.170214,0,0,431
700,1,2,10,14,1,11.142255,1.158239,0,0,431
710,2,0,17,20,1,11.237729,1.167855,0,0,453
720,0,1,11,13,1,11.304729,1.177406,0,0,461
730,0,1,20,22,1,11.356870,1.183176,0,0,471
740,0,0,16,17,1,11.464370,1.195383,0,0,479
750,0,0,18,19,1,11.528505,1.201053,0,0,486
760,0,0,14,15,1,11.619277,1.210673,0,0,495
770,0,0,13,14,1,11.553755,1.206290,0,0,495
780,0,0,0,0,0,11.451404,1.198939,0,0,495
790,0,0,9,10,1,11.383776,1.191466,0,0,495
800,0,0,13,14,1,11.396728,1.191192,0,0,495
810,0,0,0,1,1,11.309184,1.183825,0,0,495
820,0,1,15,17,1,11.219929,1.174562,0,0,495
830,0,0,1,2,1,11.204758,1.175869,0,0,495
840,0,0,11,12,1,11.133242,1.167385,0,0,495
850,0,0,8,9,1,11.114038,1.165712,0,0,495
860,0,0,16,17,1,11.180229,1.172704,0,0,496
870,0,1,6,8,1,11.186782,1.174147,0,0,507
880,0,0,0,0,0,11.110802,1.166906,0,0,507
890,0,0,14,15,1,11.099194,1.164754,0,0,507
900,0,0,10,11,1,11.171477,1.172517,0,0,516
910,0,0,16,17,1,11.232558,1.179101,0,0,528
920,0,0,8,9,1,11.230329,1.179306,0,0,532
930,0,0,16,17,1,11.221267,1.177056,0,0,532
940,0,0,4,5,1,11.231204,1.179590,0,0,534
950,0,0,18,19,1,11.242244,1.181039,0,0,541
960,1,0,15,17,1,11.311833,1.188504,0,0,555
970,1,0,3,5,1,11.364519,1.195098,0,0,568
980,0,0,3,4,1,11.322177,1.189891,0,0,568
990,0,0,0,0,0,11.230353,1.180761,0,0,568
1000,0,0,3,4,1,11.173671,1.174075,0,0,568
1010,0,0,1,2,1,11.117286,1.169266,0,0,568
1020,0,0,17,18,1,11.080613,1.164938,0,0,568
1030,0,1,9,11,1,11.038469,1.159811,0,0,568
1040,1,0,18,20,1,11.084269,1.164408,0,0,583
1050,0,0,4,5,1,11.139119,1.171013,0,0,599
1060,0,0,6,7,1,11.069402,1.164391,0,0,599
1070,0,0,9,10,1,11.048974,1.162707,0,0,599
1080,0,0,14,15,1,11.108348,1.167366,0,0,604
1090,0,0,19,20,1,11.167912,1.173869,0,0,616
1100,0,0,5,6,1,11.181991,1.175702,0,0,618
1110,0,0,1,2,1,11.171203,1.174691,0,0,618
1120,0,0,15,16,1,11.135181,1.168719,0,0,618
1130,0,0,19,20,1,11.179787,1.173649,0,0,628
