Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,4,8,3,16,1,8.803629,0.946627,0,0,5
20,0,9,5,15,1,7.718789,0.812504,0,0,5
30,0,0,0,1,1,6.207713,0.687201,0,0,8
40,10,7,1,19,1,8.324126,0.914739,0,0,11
50,1,0,1,3,1,8.446128,0.926111,0,0,12
60,3,6,2,12,1,8.020836,0.871830,0,0,13
70,6,8,0,15,1,8.815933,0.953810,0,0,15
80,0,0,0,0,0,8.463655,0.912523,0,0,15
90,0,9,0,10,1,8.709392,0.929828,0,0,17
100,9,5,1,16,1,8.919659,0.940892,0,0,17
110,16,5,4,26,1,9.877399,1.040722,0,0,21
120,6,7,5,19,1,11.031054,1.167307,0,0,26
130,7,5,2,15,1,11.373747,1.208984,0,0,38
140,0,0,0,0,0,10.911567,1.162572,0,0,39
150,5,0,0,6,1,10.412205,1.102988,0,0,39
160,3,0,3,7,1,10.319125,1.091971,0,0,39
170,1,3,4,9,1,9.968175,1.050583,0,0,45
180,0,0,0,0,0,9.738812,1.026940,0,0,48
190,0,7,1,9,1,9.877226,1.037983,0,0,49
200,5,5,0,11,1,10.117661,1.061108,0,0,49
210,4,0,0,5,1,9.966249,1.040732,0,0,51
220,8,2,3,14,1,9.931341,1.035005,0,0,54
230,0,3,5,9,1,10.177406,1.053941,0,0,63
240,2,0,2,5,1,9.995101,1.037554,0,0,63
250,6,2,2,11,1,10.121113,1.046867,0,0,67
260,1,2,3,7,1,10.066914,1.042373,0,0,67
270,4,3,3,11,1,9.843218,1.022967,0,0,68
280,1,3,1,6,1,9.627256,1.006584,0,0,68
290,3,10,5,19,1,9.791173,1.021014,0,0,74
300,2,0,2,5,1,9.781138,1.025635,0,0,76
310,7,12,2,22,1,9.972477,1.039848,0,0,80
320,1,0,2,4,1,10.258058,1.073089,0,1,82
330,2,0,3,6,1,10.095780,1.055642,0,1,82
340,0,1,0,2,1,9.899569,1.033421,0,1,82
350,7,9,2,19,1,9.978268,1.039712,0,1,84
360,7,6,3,17,1,10.207748,1.061158,0,1,90
370,3,1,4,9,1,10.150483,1.056747,0,1,91
380,16,4,2,23,1,10.337984,1.072171,0,1,97
390,22,16,0,39,1,10.950176,1.133077,0,1,103
400,11,10,3,25,1,11.532470,1.191063,0,3,106
410,7,3,2,13,1,11.675591,1.207921,0,3,106
420,5,7,2,15,1,11.821520,1.222615,0,3,111
430,3,0,0,4,1,11.699176,1.210454,0,3,111
440,8,2,2,13,1,11.551446,1.193107,0,3,111
450,0,0,0,1,1,11.538949,1.193410,0,3,111
460,3,3,4,11,1,11.369739,1.179008,0,3,112
470,7,6,5,19,1,11.309376,1.171310,0,3,114
480,6,9,4,20,1,11.323998,1.172459,0,3,118
490,2,1,0,4,1,11.273351,1.170575,0,3,120
500,5,4,2,12,1,11.155696,1.156270,0,3,121
510,8,3,4,16,1,11.184040,1.156266,0,3,124
520,1,2,1,5,1,11.204492,1.158778,0,3,129
530,2,12,1,16,1,11.175160,1.152078,0,3,137
540,9,8,3,21,1,11.226635,1.155840,0,3,138
550,18,7,0,26,1,11.577147,1.192626,0,3,149
560,18,10,4,33,1,12.016153,1.239235,0,3,156
570,12,1,4,18,1,12.240852,1.262629,0,3,162
580,5,2,1,9,1,12.298692,1.267231,0,3,162
590,3,0,1,5,1,12.140229,1.252008,0,3,162
600,0,1,0,2,1,12.003939,1.240076,0,3,162
610,16,13,4,34,1,12.110807,1.246220,0,3,166
620,16,2,0,19,1,12.331972,1.269859,0,3,166
630,0,0,0,1,1,12.353841,1.270888,0,3,166
640,3,2,3,9,1,12.269675,1.262475,0,3,168
650,13,0,1,15,1,12.242914,1.255783,0,3,172
660,4,0,3,8,1,12.292173,1.263485,0,3,176
670,0,4,1,6,1,12.160989,1.250823,0,3,176
680,2,1,3,7,1,12.079967,1.243849,0,3,181
690,3,0,0,4,1,11.995744,1.236490,0,3,181
700,12,7,2,22,1,12.030999,1.238121,0,3,186
710,13,12,1,27,1,12.257755,1.261488,0,3,193
720,14,13,0,28,1,12.519912,1.289974,0,3,197
