Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,4,3,0,8,1,9.982260,1.029099,0,0,0
20,14,9,0,24,1,15.321631,1.509520,0,0,0
30,8,5,0,14,1,16.330339,1.622219,0,0,0
40,6,8,0,15,1,15.429970,1.535320,0,0,0
50,7,14,0,22,1,16.070366,1.545228,0,0,0
60,0,9,0,10,1,16.459954,1.592899,0,0,0
70,13,13,0,27,1,15.916075,1.549548,0,0,0
80,12,6,1,20,1,16.810899,1.640088,0,0,0
90,14,19,0,34,1,17.219996,1.686398,0,2,0
100,4,10,0,15,1,17.353573,1.719878,0,2,0
110,0,12,0,13,1,17.755858,1.746999,0,3,0
120,6,7,0,14,1,16.988881,1.675157,0,3,0
130,19,14,0,34,1,17.294145,1.705796,0,3,0
140,16,12,0,29,1,17.945707,1.770542,2,3,0
150,3,1,0,5,1,17.440627,1.742901,2,3,0
160,3,11,0,15,1,16.880039,1.686950,2,3,0
170,7,6,0,14,1,17.107268,1.708717,2,8,0
180,1,0,0,2,1,16.854857,1.691123,2,8,0
190,0,1,0,2,1,16.209438,1.627798,2,8,0
200,2,2,0,5,1,15.550226,1.563623,2,8,0
210,1,0,1,3,1,14.987967,1.511029,2,8,0
220,6,2,0,9,1,14.688049,1.482960,2,8,0
230,4,5,0,10,1,14.383749,1.460601,2,8,0
240,12,18,0,31,1,14.648886,1.476578,2,13,0
250,7,17,0,25,1,15.212036,1.535949,2,16,0
260,0,14,0,15,1,15.513218,1.576793,2,23,0
270,4,10,0,15,1,15.441068,1.563213,2,23,0
280,0,2,0,3,1,15.037560,1.532211,2,23,0
290,1,8,0,10,1,14.891366,1.511549,2,23,0
300,20,18,0,39,1,15.398615,1.555940,6,31,0
310,19,19,0,39,1,15.866556,1.605822,11,32,0
320,19,14,0,34,1,16.338585,1.653494,11,32,0
330,15,19,0,35,1,16.729856,1.689367,11,33,0
340,10,13,0,24,1,17.024016,1.713996,11,34,0
350,18,0,0,19,1,17.143212,1.720712,17,34,0
360,16,4,0,21,1,17.251302,1.730418,22,34,0
370,2,4,0,7,1,17.131023,1.722881,22,34,0
380,10,12,0,23,1,17.174440,1.721521,22,34,0
390,6,17,0,24,1,17.395103,1.739956,22,40,0
400,15,19,0,35,1,17.836795,1.781008,23,50,0
410,19,16,0,36,1,18.285399,1.828986,38,60,0
420,14,14,0,29,1,18.722109,1.878921,45,70,0
430,14,14,0,29,1,19.004177,1.913322,46,70,0
440,17,14,0,32,1,19.358378,1.946010,52,76,0
450,18,17,0,36,1,19.564374,1.970450,58,76,0
460,7,14,0,22,1,19.789590,1.997633,60,77,0
470,14,9,0,24,1,19.855724,2.001328,60,77,0
480,8,3,0,12,1,19.796873,1.996743,60,77,0
490,5,13,0,19,1,19.784087,1.992642,60,77,0
500,14,20,0,35,1,19.777335,1.993281,60,78,0
510,9,12,0,22,1,19.967018,2.020472,65,84,0
520,5,11,0,17,1,20.042175,2.031565,65,84,0
530,20,18,0,39,1,20.196302,2.044707,66,97,0
540,8,13,0,22,1,20.426586,2.070262,69,102,0
550,9,20,0,30,1,20.498487,2.076274,69,106,0
560,15,17,0,33,1,20.673404,2.093509,69,111,0
570,7,19,0,27,1,20.812779,2.107904,69,120,0
580,1,11,0,13,1,20.713260,2.095899,69,120,0
590,5,11,0,17,1,20.613474,2.084310,69,120,0
600,1,1,0,3,1,20.400098,2.068276,69,120,0
610,14,2,0,17,1,20.146349,2.041068,69,120,0
620,0,6,0,7,1,19.926164,2.021637,69,120,0
630,5,1,0,7,1,19.675998,1.999658,69,120,0
640,19,11,0,31,1,19.635435,1.989973,69,120,0
650,18,10,0,29,1,19.754208,2.004408,80,120,0
660,12,13,0,26,1,19.905301,2.021154,82,120,0
670,19,7,0,27,1,19.862849,2.014854,82,120,0
680,13,11,0,25,1,20.001893,2.028832,87,120,0
690,19,11,0,31,1,20.135365,2.039848,91,120,0
700,12,17,1,31,1,20.262833,2.052972,91,124,0
710,5,8,0,14,1,20.291531,2.061085,91,129,0
720,12,18,0,31,1,20.378864,2.068629,91,135,0
730,2,1,0,4,1,20.305285,2.066192,91,136,0
740,0,2,0,3,1,20.080833,2.046243,91,136,0
750,0,0,0,0,0,19.879981,2.026639,91,136,0
760,16,6,0,23,1,19.710422,2.009649,91,136,0
770,9,2,1,13,1,19.644622,2.002430,91,136,0
780,0,0,0,1,1,19.458229,1.985534,91,136,0
790,3,4,0,8,1,19.243842,1.964926,91,136,0
800,0,0,0,1,1,19.126146,1.953641,91,136,0
810,1,0,0,2,1,18.936679,1.936706,91,136,0
820,8,13,0,22,1,18.837955,1.923916,91,136,0
830,10,4,0,15,1,18.779600,1.918408,91,136,0
840,8,7,0,16,1,18.707690,1.907789,91,136,0
850,4,0,0,5,1,18.539862,1.893869,91,136,0
860,7,1,0,9,1,18.428885,1.882285,91,136,0
870,7,11,0,19,1,18.345599,1.873318,91,136,0
880,10,17,0,28,1,18.388422,1.877676,91,138,0
890,8,13,0,22,1,18.470239,1.889050,91,140,0
900,9,8,0,18,1,18.478550,1.887278,91,140,0
910,2,4,0,7,1,18.386059,1.878867,91,140,0
920,5,4,0,10,1,18.261718,1.866546,91,140,0
930,7,4,0,12,1,18.118505,1.851875,91,140,0
940,7,7,0,15,1,18.049758,1.845217,91,140,0
950,4,5,0,10,1,18.055661,1.845983,91,140,0
960,5,8,0,14,1,17.952007,1.834177,91,140,0
970,11,11,0,23,1,17.929203,1.829703,91,140,0
980,19,19,0,39,1,18.008985,1.836695,105,140,0
990,16,12,0,29,1,18.179255,1.856365,108,158,0
1000,19,18,0,38,1,18.293674,1.866130,108,160,0
1010,18,12,0,31,1,18.424713,1.881594,117,170,0
1020,20,12,0,33,1,18.530186,1.892160,125,170,0
1030,14,14,0,29,1,18.676524,1.908604,134,173,0
1040,5,13,0,19,1,18.688862,1.912845,134,173,0
1050,19,19,0,39,1,18.785195,1.923399,136,186,0
1060,17,17,0,35,1,18.954546,1.940489,140,190,0
1070,18,12,0,31,1,19.081714,1.954008,144,190,0
1080,18,7,0,26,1,19.185525,1.963457,144,194,0
1090,7,0,0,8,1,19.159965,1.962447,144,194,0
1100,9,8,0,18,1,19.045018,1.949881,144,194,0
1110,6,7,0,14,1,18.927232,1.937048,144,194,0
1120,0,11,0,12,1,18.919844,1.935888,144,194,0
1130,0,3,0,4,1,18.897167,1.935097,144,194,0
1140,0,7,0,8,1,18.774953,1.920970,144,194,0
1150,10,16,0,27,1,18.808591,1.923682,144,195,0
1160,3,12,0,16,1,18.789479,1.921011,144,195,0
1170,0,0,0,0,0,18.698467,1.913012,144,195,0
1180,3,2,0,6,1,18.590177,1.903872,144,195,0
1190,2,6,0,9,1,18.520950,1.895582,144,195,0
1200,6,2,0,9,1,18.447395,1.887684,144,195,0
1210,15,4,0,20,1,18.358625,1.877446,144,195,0
1220,6,1,0,8,1,18.354453,1.877300,144,195,0
1230,10,3,1,15,1,18.298491,1.870607,144,195,0
1240,2,14,0,17,1,18.215476,1.862861,144,195,0
1250,14,13,0,28,1,18.246449,1.864013,144,197,0
1260,20,13,0,34,1,18.330673,1.872904,164,197,0
1270,16,18,0,35,1,18.420476,1.882060,167,197,0
1280,15,17,0,33,1,18.527173,1.892640,178,197,0
1290,10,7,0,18,1,18.597394,1.901303,181,197,0
1300,9,2,1,13,1,18.525059,1.894476,181,197,0
1310,6,9,0,16,1,18.476691,1.889645,181,197,0
1320,6,13,0,20,1,18.523786,1.896045,181,200,0
1330,9,5,0,15,1,18.500805,1.893212,181,200,0
1340,5,3,0,9,1,18.443864,1.886336,181,200,0
1350,4,0,0,5,1,18.350864,1.878643,181,200,0
1360,8,2,0,11,1,18.242973,1.866991,181,200,0
1370,12,4,0,17,1,18.192337,1.859963,181,200,0
1380,1,3,0,5,1,18.153056,1.857434,181,200,0
1390,4,0,0,5,1,18.039812,1.847307,181,200,0
1400,3,4,0,8,1,17.931533,1.836844,181,200,0
1410,8,3,0,12,1,17.844288,1.827193,181,200,0
1420,20,12,0,33,1,17.863655,1.827681,184,200,0
1430,13,16,0,30,1,17.982488,1.838753,189,206,0
1440,16,17,0,34,1,18.103307,1.851869,194,206,0
1450,14,16,0,31,1,18.202906,1.862420,207,206,0
1460,18,19,0,38,1,18.278123,1.870081,210,207,0
1470,9,6,0,16,1,18.329081,1.876175,210,207,0
1480,5,9,0,15,1,18.321928,1.875144,210,207,0
1490,4,3,0,8,1,18.227906,1.866125,210,207,0
1500,5,18,0,24,1,18.238576,1.866285,210,213,0
1510,0,0,0,0,0,18.208007,1.864132,210,215,0
1520,16,7,0,24,1,18.173908,1.859849,210,215,0
1530,16,17,0,34,1,18.266902,1.868956,217,217,0
1540,4,4,0,9,1,18.257430,1.870315,217,217,0
1550,2,7,0,10,1,18.185350,1.864239,217,217,0
1560,0,0,0,0,0,18.107340,1.856309,217,217,0
1570,2,0,0,3,1,18.016704,1.846842,217,217,0
1580,9,19,0,29,1,17.986463,1.843210,217,217,0
1590,9,8,0,18,1,18.028934,1.848227,217,219,0
1600,2,13,0,16,1,18.022840,1.846721,217,219,0
1610,2,16,0,19,1,17.987185,1.842199,217,219,0
1620,7,15,0,23,1,17.991182,1.841286,217,224,0
1630,14,15,0,30,1,18.064445,1.847590,217,231,0
1640,18,12,0,31,1,18.127090,1.854434,217,235,0
1650,8,8,0,17,1,18.150661,1.857162,217,235,0
1660,20,11,0,32,1,18.210365,1.862092,223,235,0
1670,13,4,0,18,1,18.263731,1.869930,228,235,0
1680,10,10,0,21,1,18.334075,1.877667,229,241,0
1690,19,19,0,39,1,18.397690,1.884027,233,244,0
1700,6,15,0,22,1,18.478636,1.892732,233,249,0
1710,12,18,0,31,1,18.526967,1.896959,233,249,0
1720,19,20,0,40,1,18.625049,1.905716,235,264,0
1730,14,10,0,25,1,18.700908,1.913447,235,265,0
1740,18,4,0,23,1,18.727005,1.915975,243,265,0
1750,11,12,0,24,1,18.766655,1.918545,243,265,0
1760,13,3,0,17,1,18.794123,1.922784,243,265,0
1770,7,9,0,17,1,18.782102,1.922081,243,265,0
1780,9,4,0,14,1,18.737266,1.917572,243,265,0
1790,6,3,0,10,1,18.716710,1.914671,243,265,0
1800,0,4,0,5,1,18.658777,1.909477,243,265,0
1810,19,8,0,28,1,18.625272,1.904295,243,265,0
