Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,2,1,0,4,1,0.861854,0.116467,0,0,0
20,8,0,0,9,1,3.250762,0.371516,0,0,0
30,18,0,0,19,1,6.373096,0.670852,0,0,0
40,11,0,0,12,1,7.830644,0.833047,1,0,0
50,13,0,1,15,1,8.104442,0.879007,1,0,0
60,20,0,1,22,1,9.399599,1.014345,4,0,0
70,1,0,0,2,1,9.291696,1.022671,11,0,0
80,4,0,0,5,1,9.177194,0.990790,11,0,0
90,9,0,0,10,1,8.683592,0.937078,11,0,0
100,16,0,0,17,1,9.421806,1.000192,14,0,0
110,2,0,0,3,1,9.517863,1.016471,14,0,0
120,9,0,0,10,1,9.535821,1.017154,14,0,0
130,19,0,0,20,1,10.128717,1.078406,19,0,0
140,16,0,0,17,1,10.778025,1.150094,40,0,0
150,0,0,0,1,1,10.363782,1.104881,40,0,0
160,16,0,0,17,1,9.901907,1.055500,40,0,0
170,15,0,0,16,1,10.236854,1.097959,66,0,0
180,15,0,0,16,1,10.178886,1.082860,66,0,0
190,3,0,0,4,1,10.160619,1.085170,66,0,0
200,3,0,0,4,1,9.843578,1.053916,66,0,0
210,5,0,0,6,1,9.663335,1.027494,66,0,0
220,14,0,0,15,1,9.678224,1.028604,66,0,0
230,10,0,0,11,1,9.813052,1.045392,70,0,0
240,6,1,0,8,1,9.866766,1.054799,70,0,0
250,12,0,0,13,1,9.804123,1.043880,70,0,0
260,17,1,0,19,1,10.031503,1.059379,76,0,0
270,7,0,0,8,1,10.302312,1.094266,84,0,0
280,7,0,0,8,1,10.066535,1.070095,84,0,0
290,1,0,0,2,1,9.897999,1.052207,84,0,0
300,9,1,0,11,1,9.862725,1.040372,84,0,0
310,1,0,0,2,1,9.930527,1.049595,84,0,0
320,4,0,0,5,1,9.697923,1.024541,84,0,0
330,0,0,0,1,1,9.561853,1.012973,84,0,0
340,19,0,0,20,1,9.639050,1.015895,84,0,0
350,20,0,1,22,1,9.934424,1.051103,122,0,0
360,20,0,0,21,1,10.161387,1.075912,138,0,0
370,1,0,0,2,1,10.246412,1.087230,141,0,0
380,13,0,0,14,1,10.118200,1.069518,141,0,0
390,16,0,0,17,1,10.266569,1.087442,144,0,0
400,20,1,1,23,1,10.370526,1.096250,146,0,0
410,7,0,0,8,1,10.528224,1.119443,163,0,0
420,13,0,0,14,1,10.506637,1.116314,163,0,0
430,15,0,0,16,1,10.511883,1.115250,167,0,0
440,19,0,1,21,1,10.668198,1.130541,177,0,0
450,19,0,0,20,1,10.855330,1.152914,198,0,0
460,12,0,0,13,1,10.965967,1.161489,199,0,0
470,5,0,0,6,1,10.853684,1.148926,199,0,0
480,5,0,0,6,1,10.757078,1.139571,199,0,0
490,9,0,0,10,1,10.728961,1.135462,201,0,0
500,20,0,0,21,1,10.774401,1.140390,211,0,0
510,1,0,0,2,1,10.849003,1.150310,217,0,0
520,10,1,0,12,1,10.826871,1.147101,217,0,0
530,19,0,1,21,1,10.911366,1.154527,220,0,0
540,12,0,0,13,1,10.922213,1.156470,220,0,0
550,3,0,0,4,1,10.822339,1.146213,220,0,0
560,20,2,1,24,1,10.757036,1.138096,222,0,0
570,18,0,0,19,1,10.911717,1.155001,242,0,0
580,12,0,0,13,1,10.974794,1.162414,249,0,0
590,0,0,0,1,1,10.853981,1.151979,249,0,0
600,5,0,0,6,1,10.747372,1.139096,249,0,0
610,17,0,0,18,1,10.658672,1.127413,249,0,0
620,12,0,0,13,1,10.697580,1.129513,249,0,0
630,18,0,0,19,1,10.702373,1.129396,251,0,0
640,0,0,0,0,0,10.745382,1.134451,260,0,0
650,15,0,0,16,1,10.774611,1.137301,267,0,0
660,13,0,0,14,1,10.871104,1.146521,276,0,0
670,16,0,0,17,1,10.934005,1.151853,285,0,0
680,18,0,1,20,1,11.004989,1.159856,287,0,0
690,17,0,0,18,1,11.127603,1.173834,309,0,0
700,20,1,2,24,1,11.203462,1.181088,314,0,0
710,3,2,0,6,1,11.241434,1.188418,330,0,0
720,10,2,0,13,1,11.244348,1.188132,332,0,0
730,2,0,0,3,1,11.181579,1.182122,332,0,0
740,20,3,0,24,1,11.218130,1.186255,342,0,0
750,9,2,0,12,1,11.217071,1.188249,352,0,0
760,20,0,0,21,1,11.301246,1.196566,370,0,0
770,18,0,0,19,1,11.365249,1.203913,385,0,0
780,9,0,0,10,1,11.341357,1.201774,388,0,0
790,8,0,0,9,1,11.321352,1.198749,388,0,0
800,4,0,0,5,1,11.241193,1.190647,388,0,0
810,20,0,1,22,1,11.282251,1.192876,392,0,0
820,9,0,0,10,1,11.322733,1.198792,397,0,0
830,11,0,0,12,1,11.382514,1.205498,403,0,0
840,20,0,0,21,1,11.398122,1.206302,403,0,0
850,17,0,0,18,1,11.494207,1.217303,417,0,0
860,5,0,0,6,1,11.535694,1.223871,422,0,0
870,16,0,0,17,1,11.558489,1.225281,433,0,0
880,10,0,0,11,1,11.588345,1.227313,436,0,0
890,8,0,0,9,1,11.636021,1.231984,436,0,0
900,20,0,0,21,1,11.634484,1.232031,444,0,0
910,0,0,0,1,1,11.614792,1.229865,445,0,0
920,20,0,0,21,1,11.618160,1.229293,451,0,0
930,15,0,0,16,1,11.700263,1.240169,477,0,0
940,0,0,0,1,1,11.713036,1.241851,486,0,0
950,0,1,0,2,1,11.626636,1.233423,486,0,0
960,13,0,0,14,1,11.593753,1.229970,488,0,0
970,17,0,0,18,1,11.590611,1.229269,488,0,0
980,12,0,1,14,1,11.665853,1.239031,529,0,0
990,0,1,0,2,1,11.653120,1.236902,531,0,0
1000,10,0,1,12,1,11.584038,1.229728,531,0,0
1010,18,0,0,19,1,11.617809,1.234377,537,0,0
1020,6,0,0,7,1,11.597082,1.233218,537,0,0
1030,0,0,0,0,0,11.522509,1.227447,537,0,0
1040,3,0,0,4,1,11.481048,1.222263,537,0,0
1050,7,0,0,8,1,11.415517,1.215402,537,0,0
1060,4,0,0,5,1,11.449795,1.219287,547,0,0
1070,20,1,2,24,1,11.466510,1.220205,571,0,0
1080,19,0,0,20,1,11.475151,1.221001,573,0,0
1090,18,0,0,19,1,11.542839,1.229041,593,0,0
1100,18,0,0,19,1,11.541505,1.227820,593,0,0
1110,16,0,0,17,1,11.586515,1.232254,597,0,0
1120,9,0,0,10,1,11.618485,1.236479,610,0,0
1130,17,0,0,18,1,11.666401,1.240639,628,0,0
1140,8,0,1,10,1,11.636866,1.237041,628,0,0
1150,0,0,0,0,0,11.653049,1.240260,635,0,0
1160,6,0,2,9,1,11.586992,1.232659,635,0,0
1170,19,0,0,20,1,11.585018,1.231665,640,0,0
1180,2,0,0,3,1,11.586521,1.232386,640,0,0
1190,6,0,0,7,1,11.520296,1.225125,640,0,0
1200,4,0,0,5,1,11.485906,1.220390,640,0,0
1210,0,0,0,0,0,11.439699,1.215493,640,0,0
1220,3,0,1,5,1,11.365078,1.207471,640,0,0
1230,9,0,0,10,1,11.371578,1.208279,640,0,0
1240,18,2,0,21,1,11.365703,1.206013,640,0,0
1250,14,0,0,15,1,11.424363,1.212571,656,0,0
1260,5,0,0,6,1,11.466756,1.216991,670,0,0
1270,7,0,0,8,1,11.434885,1.212314,670,0,0
1280,16,0,0,17,1,11.415001,1.209436,670,0,0
1290,4,1,0,6,1,11.389672,1.207683,670,0,0
1300,6,0,0,7,1,11.346038,1.202205,670,0,0
1310,0,0,0,0,0,11.315756,1.198742,670,0,0
1320,19,0,0,20,1,11.338750,1.200541,674,0,0
1330,13,1,1,16,1,11.379303,1.204399,677,0,0
1340,5,0,0,6,1,11.396590,1.205037,677,0,0
1350,13,1,0,15,1,11.340620,1.198703,677,0,0
1360,18,0,0,19,1,11.363375,1.199580,681,0,0
1370,9,1,0,11,1,11.390329,1.202956,687,0,0
1380,13,1,0,15,1,11.409373,1.204017,692,0,0
1390,14,0,0,15,1,11.433282,1.206427,693,0,0
1400,0,0,0,0,0,11.434833,1.208118,694,0,0
1410,8,0,0,9,1,11.408370,1.206375,694,0,0
1420,0,0,0,0,0,11.355934,1.200434,694,0,0
