Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,4,4,3,12,1,5.020759,0.643687,6,12,4
20,4,1,1,7,1,4.874589,0.560298,7,12,4
30,1,1,4,7,1,4.606276,0.529457,7,12,5
40,3,5,1,10,1,4.617073,0.507371,7,12,5
50,0,0,0,0,0,4.470435,0.495614,7,12,7
60,4,1,5,11,1,4.599900,0.499085,15,14,8
70,1,0,0,2,1,4.792953,0.521783,17,15,11
80,5,2,5,13,1,4.784258,0.517217,22,15,15
90,0,0,0,0,0,4.970992,0.542290,22,23,18
100,0,0,2,3,1,5.044101,0.554297,24,23,18
110,3,2,1,7,1,5.124272,0.560308,24,29,20
120,2,3,3,9,1,5.570876,0.606079,28,41,21
130,4,1,4,10,1,5.706342,0.620774,31,42,22
140,0,0,0,0,0,5.771984,0.628854,40,42,24
150,2,3,4,10,1,5.820565,0.635433,43,47,27
160,3,5,4,13,1,5.965718,0.650658,48,52,28
170,2,0,0,3,1,6.121014,0.667034,52,55,34
180,0,1,1,3,1,6.087159,0.659656,53,57,34
190,3,2,3,9,1,6.103000,0.656608,59,57,36
200,4,4,2,11,1,6.264738,0.671102,66,62,46
210,4,0,1,6,1,6.326793,0.679257,67,66,52
220,4,4,0,9,1,6.246310,0.669356,67,66,53
230,0,2,4,7,1,6.263228,0.672208,73,66,56
240,2,1,0,4,1,6.330640,0.681325,77,66,59
250,0,3,4,8,1,6.331554,0.680520,77,66,59
260,1,0,1,3,1,6.379549,0.687110,77,76,70
270,2,1,1,5,1,6.268063,0.676410,77,76,70
280,0,0,0,0,0,6.396250,0.692288,79,81,74
290,0,1,2,4,1,6.264280,0.680645,79,81,74
300,1,0,0,2,1,6.135034,0.666369,79,81,74
310,4,4,3,12,1,6.069337,0.661101,79,84,74
320,0,0,0,1,1,6.121011,0.669878,88,93,76
330,2,3,4,10,1,6.090573,0.664646,88,95,76
340,0,1,1,3,1,6.145513,0.671857,90,101,78
350,0,1,1,3,1,6.161233,0.670741,95,101,79
360,2,4,3,10,1,6.254574,0.681285,97,106,88
370,0,0,1,2,1,6.251906,0.681357,98,112,88
380,0,2,1,4,1,6.233130,0.677127,98,119,90
390,0,0,1,2,1,6.207260,0.674514,98,126,90
400,2,4,1,8,1,6.216664,0.672435,103,130,90
410,2,2,1,6,1,6.346376,0.689275,114,137,105
420,0,0,0,1,1,6.340565,0.688835,115,140,105
430,0,3,1,5,1,6.268654,0.682238,115,140,105
440,1,3,1,6,1,6.260521,0.681333,115,147,109
450,1,4,4,10,1,6.357812,0.690900,117,155,120
460,1,1,0,3,1,6.324982,0.688311,117,157,124
470,2,2,4,9,1,6.253929,0.681825,117,157,125
480,0,0,0,1,1,6.278410,0.684295,117,160,138
490,0,2,1,4,1,6.245242,0.680038,119,160,138
500,0,1,0,2,1,6.259056,0.682409,123,161,140
510,0,3,0,4,1,6.274098,0.683278,124,168,144
520,0,2,0,3,1,6.266739,0.682880,128,171,144
530,5,2,2,10,1,6.282612,0.684718,128,176,146
540,0,0,2,3,1,6.269280,0.683369,130,176,147
550,1,0,0,2,1,6.239038,0.681524,130,179,147
560,0,0,1,2,1,6.240819,0.680198,133,182,148
570,4,4,5,14,1,6.318676,0.688520,138,196,166
580,1,2,4,8,1,6.329954,0.690238,138,201,168
590,2,5,3,11,1,6.408080,0.698590,141,210,176
600,0,0,0,1,1,6.405422,0.699409,141,222,176
610,4,0,2,7,1,6.418669,0.701180,145,230,176
620,0,0,0,0,0,6.435664,0.703848,157,231,176
630,4,2,3,10,1,6.414880,0.699805,157,231,176
640,4,1,0,6,1,6.445285,0.703562,160,236,177
650,0,3,0,4,1,6.515332,0.711400,166,243,181
660,2,5,2,10,1,6.488866,0.708345,166,245,185
670,0,0,1,2,1,6.522641,0.712218,169,256,186
680,0,3,3,7,1,6.488017,0.707028,169,257,186
690,0,2,3,6,1,6.535000,0.712121,176,258,197
700,0,0,1,2,1,6.472438,0.705498,176,258,197
710,0,0,0,0,0,6.435610,0.701779,176,258,199
720,0,3,4,8,1,6.409084,0.696324,177,258,201
730,2,4,3,10,1,6.425490,0.697696,183,258,206
740,5,2,2,10,1,6.399519,0.693969,184,258,206
750,1,3,2,7,1,6.411558,0.695296,186,259,209
760,5,2,5,13,1,6.416334,0.694745,187,260,211
770,4,1,1,7,1,6.396618,0.692547,189,260,211
780,0,0,0,0,0,6.403465,0.693805,191,260,218
790,4,4,1,10,1,6.421262,0.695666,193,263,218
800,5,0,0,6,1,6.393846,0.692349,193,264,218
810,4,3,4,12,1,6.384742,0.690565,205,266,218
820,0,2,4,7,1,6.396923,0.692015,208,270,218
830,0,0,0,0,0,6.392923,0.691983,208,270,221
840,0,0,0,1,1,6.358642,0.688928,208,270,221
850,0,3,3,7,1,6.316091,0.684606,208,270,221
860,3,3,5,12,1,6.319701,0.685711,209,273,228
870,2,5,3,11,1,6.378204,0.692937,213,290,239
880,3,0,3,7,1,6.435217,0.699394,229,299,247
890,1,3,3,8,1,6.454595,0.700816,229,302,247
900,1,1,2,5,1,6.480183,0.703433,239,305,250
910,4,3,2,10,1,6.485452,0.703847,245,309,250
920,3,0,3,7,1,6.468694,0.700636,248,309,250
930,4,4,5,14,1,6.478986,0.701859,251,316,250
940,0,0,0,1,1,6.482085,0.703030,251,316,259
950,2,4,0,7,1,6.487463,0.703549,252,322,262
960,0,0,0,1,1,6.507218,0.705788,252,338,262
970,1,1,0,3,1,6.473851,0.701635,252,338,262
980,0,0,0,0,0,6.446373,0.697675,252,338,262
990,4,3,5,13,1,6.462883,0.698499,259,341,263
1000,4,0,2,7,1,6.454451,0.696724,262,342,263
1010,5,4,2,12,1,6.459329,0.697298,265,344,263
1020,3,2,4,10,1,6.465842,0.698196,267,345,265
1030,0,1,0,2,1,6.437480,0.695251,267,346,267
1040,0,0,0,1,1,6.405834,0.690728,267,346,267
1050,2,2,3,8,1,6.392698,0.688727,270,346,267
1060,5,3,5,14,1,6.436157,0.693678,287,351,282
1070,5,4,4,14,1,6.433255,0.692722,289,360,285
1080,3,1,4,9,1,6.446601,0.693528,291,364,291
1090,1,1,0,3,1,6.421713,0.690984,291,364,291
1100,0,0,0,0,0,6.393951,0.689138,291,371,291
1110,0,0,1,2,1,6.367340,0.686122,291,371,291
1120,0,0,5,6,1,6.347135,0.684723,291,371,296
1130,0,4,0,5,1,6.331651,0.682772,291,371,301
1140,0,1,1,3,1,6.323461,0.682130,291,372,301
1150,0,0,0,0,0,6.289983,0.678754,291,373,301
1160,0,1,3,5,1,6.287946,0.679082,291,376,305
1170,5,4,5,15,1,6.297266,0.680063,292,379,310
1180,2,0,0,3,1,6.325631,0.684040,299,382,314
1190,2,0,0,3,1,6.302442,0.681500,299,393,314
1200,3,3,1,8,1,6.294909,0.680592,300,397,314
1210,1,1,1,4,1,6.318536,0.683116,308,399,314
1220,0,0,0,1,1,6.292391,0.680319,308,404,314
1230,2,0,0,3,1,6.279108,0.678793,308,405,314
1240,1,0,1,3,1,6.272950,0.677566,308,409,321
1250,4,1,2,8,1,6.277644,0.677814,312,410,326
1260,2,3,1,7,1,6.274238,0.676902,319,410,326
1270,2,0,5,8,1,6.300316,0.680102,319,414,327
1280,0,0,0,0,0,6.297838,0.680273,322,415,328
1290,0,2,1,4,1,6.273161,0.677243,322,415,328
1300,1,3,1,6,1,6.279009,0.677853,324,417,331
1310,0,1,2,4,1,6.278976,0.677550,326,424,331
1320,1,0,0,2,1,6.279517,0.677701,328,424,331
1330,2,0,3,6,1,6.257376,0.675074,328,424,331
1340,2,1,2,6,1,6.271226,0.676933,336,424,335
1350,0,2,0,3,1,6.266020,0.676243,336,430,335
1360,1,1,0,3,1,6.253339,0.674268,336,430,335
1370,3,5,2,11,1,6.262071,0.675515,347,438,337
1380,5,5,5,16,1,6.289501,0.678140,351,441,344
1390,2,1,1,5,1,6.320108,0.681426,357,453,351
1400,5,5,4,15,1,6.330467,0.683109,361,454,353
1410,3,1,3,8,1,6.315488,0.681423,361,457,355
1420,1,2,1,5,1,6.297039,0.679726,363,457,355
1430,0,0,0,1,1,6.290504,0.679105,363,468,355
1440,2,4,2,9,1,6.279775,0.677470,367,470,355
1450,0,0,1,2,1,6.267978,0.676787,369,474,355
1460,2,1,1,5,1,6.276434,0.677530,379,474,361
1470,1,2,3,7,1,6.299154,0.680064,382,474,365
1480,4,5,3,13,1,6.317942,0.682572,384,491,365
1490,4,5,4,14,1,6.356863,0.686954,391,494,381
1500,2,5,5,13,1,6.387936,0.690190,402,504,388
1510,0,0,0,1,1,6.402904,0.691884,402,513,390
1520,1,3,1,6,1,6.383747,0.689546,403,513,390
1530,1,1,2,5,1,6.368212,0.688285,404,513,391
1540,2,0,0,3,1,6.392294,0.691399,411,517,395
1550,0,3,0,4,1,6.369363,0.688268,411,517,398
1560,2,5,0,8,1,6.372951,0.688538,411,521,398
1570,0,0,0,0,0,6.355270,0.687033,415,522,398
1580,1,1,0,3,1,6.339343,0.684819,417,522,398
1590,0,2,0,3,1,6.320989,0.682445,417,522,400
1600,0,0,0,0,0,6.302610,0.679939,419,522,400
1610,4,3,0,8,1,6.328178,0.682821,426,530,401
1620,1,2,3,7,1,6.337252,0.683330,433,531,403
1630,2,4,4,11,1,6.359186,0.686001,438,540,416
1640,1,3,4,9,1,6.348811,0.685319,438,540,418
1650,2,2,2,7,1,6.350958,0.685579,438,544,430
1660,5,5,3,14,1,6.357981,0.685920,443,544,430
1670,1,3,0,5,1,6.355680,0.686013,453,548,430
1680,1,0,5,7,1,6.359653,0.686382,453,548,436
1690,0,0,1,2,1,6.365960,0.686565,457,548,437
1700,3,2,4,10,1,6.385267,0.688504,460,561,441
1710,0,0,0,1,1,6.400188,0.690015,469,568,446
1720,1,2,4,8,1,6.393184,0.688817,469,569,446
1730,4,3,1,9,1,6.382407,0.687477,469,571,446
1740,3,3,4,11,1,6.375277,0.686489,470,572,447
1750,5,3,4,13,1,6.382497,0.687388,475,572,451
1760,1,0,0,2,1,6.411842,0.691600,483,584,473
1770,3,5,3,12,1,6.422253,0.693133,483,593,476
1780,1,2,1,5,1,6.432998,0.694363,490,594,477
1790,2,5,4,12,1,6.425176,0.693336,490,594,477
1800,0,3,5,9,1,6.412853,0.691744,491,595,478
1810,1,0,1,3,1,6.412503,0.691777,492,595,481
1820,0,0,0,1,1,6.389246,0.689910,492,595,481
1830,5,2,3,11,1,6.386059,0.690038,501,595,482
1840,0,3,5,9,1,6.398119,0.691120,506,595,487
1850,2,5,4,12,1,6.385159,0.689703,506,597,488
1860,0,0,0,1,1,6.392713,0.690222,509,600,489
1870,0,0,1,2,1,6.391705,0.689978,512,600,491
1880,3,3,3,10,1,6.410740,0.692297,524,613,491
1890,4,3,0,8,1,6.410723,0.691805,532,614,491
1900,4,0,3,8,1,6.394358,0.690418,533,614,491
1910,3,0,1,5,1,6.416463,0.693064,545,624,496
1920,4,4,4,13,1,6.414182,0.692879,545,632,496
1930,1,0,1,3,1,6.409085,0.692583,548,634,497
1940,1,5,1,8,1,6.412279,0.692833,550,636,499
1950,4,5,4,14,1,6.429859,0.694985,562,644,503
1960,3,4,2,10,1,6.435727,0.695447,568,647,504
1970,3,2,1,7,1,6.430642,0.694880,574,647,504
1980,4,1,3,9,1,6.422949,0.693540,574,647,508
1990,0,0,1,2,1,6.400797,0.691809,574,647,508
2000,3,3,2,9,1,6.392911,0.690528,574,648,508
2010,0,0,0,0,0,6.387395,0.690251,575,648,509
2020,0,1,1,3,1,6.379410,0.689629,578,648,509
2030,0,0,0,0,0,6.376324,0.689865,583,649,509
2040,1,0,3,5,1,6.361150,0.688202,583,649,509
2050,0,0,0,1,1,6.344053,0.686731,583,649,509
2060,5,0,0,6,1,6.331131,0.685382,583,650,509
2070,1,2,2,6,1,6.328345,0.684771,587,650,509
2080,0,0,0,1,1,6.311960,0.683013,587,650,509
2090,0,0,0,1,1,6.298845,0.681679,587,650,509
2100,0,0,1,2,1,6.308048,0.682549,587,655,514
2110,5,5,5,16,1,6.309913,0.682275,587,657,519
2120,4,4,1,10,1,6.304338,0.682141,592,658,520
2130,1,2,5,9,1,6.308118,0.682045,594,660,522
2140,0,2,2,5,1,6.305500,0.681676,597,662,524
2150,1,4,3,9,1,6.305819,0.681899,598,668,531
2160,0,0,0,1,1,6.313787,0.683084,598,679,540
2170,0,1,0,2,1,6.299594,0.681699,598,683,540
2180,0,0,1,2,1,6.283378,0.679756,598,683,540
2190,5,2,1,9,1,6.286591,0.679749,606,683,540
2200,0,1,0,2,1,6.285095,0.679436,616,688,540
2210,3,0,0,4,1,6.283566,0.679221,616,688,546
2220,4,2,1,8,1,6.302653,0.681467,632,693,555
2230,0,1,0,2,1,6.298223,0.681269,637,698,555
2240,0,0,0,0,0,6.298947,0.681658,643,701,558
2250,0,2,3,6,1,6.294746,0.681086,645,701,561
2260,0,0,2,3,1,6.281270,0.679544,645,701,561
2270,3,2,0,6,1,6.269918,0.678233,645,701,561
2280,2,1,2,6,1,6.256707,0.676786,645,701,561
2290,2,1,0,4,1,6.264025,0.677336,656,701,565
2300,0,1,2,4,1,6.258003,0.676764,656,713,565
2310,0,0,1,2,1,6.259428,0.676869,656,717,567
2320,0,1,2,4,1,6.244672,0.675320,656,717,567
2330,0,0,1,2,1,6.238916,0.674493,658,717,568
2340,0,0,0,0,0,6.241187,0.674910,660,717,568
2350,2,3,2,8,1,6.235743,0.674119,661,717,568
2360,3,2,1,7,1,6.239821,0.674390,661,722,572
2370,0,1,0,2,1,6.232908,0.673813,661,722,572
2380,0,3,3,7,1,6.239741,0.674291,661,730,581
2390,2,2,0,5,1,6.226877,0.672765,662,730,581
2400,0,4,4,9,1,6.247360,0.674904,675,746,584
2410,3,4,2,10,1,6.265796,0.677156,685,751,585
2420,0,1,0,2,1,6.274474,0.678352,690,761,590
2430,1,4,2,8,1,6.266840,0.677210,692,761,593
2440,2,1,1,5,1,6.256705,0.676191,693,761,593
2450,3,1,4,9,1,6.251579,0.675593,693,764,594
2460,5,4,4,14,1,6.263254,0.676692,694,768,597
2470,0,0,0,1,1,6.260541,0.676860,694,770,599
2480,2,1,1,5,1,6.245299,0.675256,694,771,599
2490,0,1,4,6,1,6.236531,0.674498,694,771,599
2500,1,1,0,3,1,6.229046,0.673993,694,773,600
2510,0,0,0,0,0,6.228794,0.674298,704,780,603
2520,0,2,3,6,1,6.230671,0.674425,704,786,608
