Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W]
10,44,57,86,188,1,104.399449,5.465940
20,90,117,152,360,1,187.368356,10.073568
30,124,160,237,522,1,270.276039,15.071155
40,161,196,311,669,1,349.329926,20.105319
50,209,260,399,869,1,432.600807,23.980089
60,254,318,483,1056,1,520.128601,28.500197
70,293,372,560,1226,1,609.286754,33.582734
80,339,435,642,1417,1,697.742147,38.024095
90,383,497,714,1595,1,787.507520,42.928938
100,427,543,791,1762,1,876.967039,48.132110
110,456,622,866,1945,1,965.690608,52.848740
120,493,682,943,2119,1,1054.838398,57.878650
130,539,724,1028,2292,1,1143.422538,62.878566
140,582,774,1122,2479,1,1231.935267,67.424135
150,622,834,1199,2656,1,1320.775271,72.384469
160,657,891,1275,2824,1,1409.526778,77.526395
170,696,954,1330,2981,1,1497.214845,82.907662
180,732,1013,1404,3150,1,1584.470481,87.971834
190,770,1065,1481,3317,1,1671.523345,93.025611
200,813,1115,1554,3483,1,1757.721916,97.868704
210,851,1189,1620,3661,1,1844.076166,102.638748
220,900,1246,1689,3836,1,1930.528191,107.360011
230,945,1304,1761,4011,1,2017.112288,112.224438
240,983,1357,1829,4170,1,2103.842200,117.478392
250,1028,1411,1910,4350,1,2190.142774,122.054323
260,1061,1471,1988,4521,1,2276.428552,127.038297
270,1121,1532,2051,4705,1,2362.955540,131.736113
280,1157,1595,2123,4876,1,2449.796342,136.696488
290,1199,1669,2210,5079,1,2537.048975,140.785343
300,1239,1720,2276,5236,1,2624.493758,146.102826
310,1285,1772,2361,5419,1,2711.690392,150.730504
320,1324,1822,2435,5582,1,2798.827157,155.950669
330,1368,1888,2511,5768,1,2885.973507,160.521028
340,1407,1944,2602,5954,1,2973.447402,165.029728
350,1445,1984,2690,6120,1,3060.878424,170.210907
360,1488,2039,2754,6282,1,3148.068024,175.298451
370,1535,2105,2836,6477,1,3235.284896,179.549334
380,1571,2155,2915,6642,1,3322.664268,184.565476
390,1607,2213,2992,6813,1,3409.986913,189.470707
400,1655,2269,3071,6996,1,3497.321060,194.079970
410,1685,2318,3149,7153,1,3584.616976,199.415598
420,1728,2367,3219,7315,1,3671.502732,204.621968
430,1771,2427,3285,7484,1,3758.217241,209.575076
440,1809,2492,3370,7672,1,3845.235490,214.002481
450,1832,2561,3446,7840,1,3932.136112,219.019835
460,1866,2619,3514,8000,1,4018.789803,224.268265
470,1906,2680,3587,8174,1,4105.232761,229.179166
480,1950,2741,3664,8356,1,4191.884563,233.721058
490,1993,2804,3750,8548,1,4278.847546,238.037613
500,2046,2866,3813,8726,1,4365.852727,242.871202
510,2083,2928,3912,8924,1,4453.206565,247.131159
520,2131,2983,4007,9122,1,4541.216106,251.456967
530,2161,3054,4082,9298,1,4629.362628,256.300240
540,2196,3105,4172,9474,1,4717.534244,261.144899
550,2239,3158,4266,9664,1,4805.732955,265.670231
560,2276,3213,4332,9822,1,4893.923716,270.970663
570,2309,3272,4402,9984,1,4981.643152,276.192646
580,2346,3352,4477,10176,1,5069.598814,280.569400
590,2388,3412,4544,10345,1,5157.611545,285.565955
600,2422,3487,4630,10540,1,5245.723665,289.899070
610,2448,3558,4713,10720,1,5334.086119,294.674201
620,2493,3606,4778,10878,1,5422.251234,300.026396
630,2541,3670,4858,11070,1,5510.367938,304.466918
640,2583,3727,4932,11243,1,5598.602944,309.395206
650,2611,3777,5014,11403,1,5686.590987,314.657712
660,2650,3824,5108,11583,1,5774.523898,319.408798
670,2699,3883,5198,11781,1,5862.586949,323.739657
680,2741,3959,5287,11988,1,5951.133401,327.859573
690,2795,4016,5356,12168,1,6039.873230,332.576213
700,2839,4073,5425,12338,1,6128.631518,337.718812
710,2872,4119,5489,12481,1,6217.164527,343.489753
720,2906,4167,5551,12625,1,6305.104720,349.125233
730,2935,4238,5631,12805,1,6392.898475,353.948873
740,2971,4288,5707,12967,1,6480.583064,359.223331
750,3003,4358,5796,13158,1,6568.329552,363.694881
760,3051,4424,5872,13348,1,6656.245119,368.203384
770,3087,4471,5954,13513,1,6744.232064,373.386446
780,3129,4545,6040,13715,1,6832.348359,377.584790
790,3164,4591,6128,13884,1,6920.526587,382.429771
800,3209,4658,6210,14078,1,7008.803393,386.879370
810,3250,4724,6302,14277,1,7097.326568,391.157006
820,3281,4768,6367,14417,1,7185.795704,396.925057
830,3326,4833,6443,14603,1,7274.015586,401.611983
840,3371,4895,6523,14790,1,7362.455506,406.257809
850,3414,4941,6610,14966,1,7450.891684,411.010314
860,3451,4997,6714,15163,1,7539.462653,415.370780
870,3499,5060,6781,15341,1,7628.089355,420.134068
880,3543,5137,6852,15533,1,7716.832253,424.584993
890,3585,5201,6922,15709,1,7805.632069,429.437630
900,3621,5268,6996,15886,1,7894.430161,434.316715
910,3660,5322,7074,16057,1,7983.173487,439.352154
920,3707,5390,7158,16256,1,8071.995186,443.701713
930,3761,5454,7245,16461,1,8161.102297,447.882989
940,3801,5520,7312,16634,1,8250.335059,452.891553
950,3843,5584,7389,16817,1,8339.521143,457.633150
960,3882,5638,7472,16993,1,8428.815896,462.486469
970,3917,5700,7567,17185,1,8518.061862,466.993727
980,3963,5753,7629,17346,1,8607.257975,472.449469
990,3998,5818,7728,17545,1,8696.488511,476.744207
1000,4052,5874,7802,17729,1,8785.827419,481.467965
1010,4090,5929,7863,17883,1,8875.151429,486.983373
1020,4126,5991,7941,18059,1,8964.276167,491.986101
1030,4167,6056,8012,18236,1,9053.469765,496.992691
1040,4196,6108,8087,18392,1,9142.532735,502.496250
1050,4234,6157,8184,18576,1,9231.453903,507.090065
1060,4275,6218,8255,18749,1,9320.407598,512.136854
1070,4315,6278,8332,18926,1,9409.414156,517.053880
1080,4352,6330,8409,19092,1,9498.307385,522.256999
1090,4383,6391,8481,19256,1,9587.028988,527.504371
1100,4424,6467,8554,19446,1,9675.767807,532.034221
1110,4459,6526,8620,19606,1,9764.516133,537.336419
1120,4500,6586,8695,19782,1,9853.136133,542.152418
1130,4536,6644,8771,19952,1,9941.751390,547.127993
1140,4583,6699,8869,20152,1,10030.407394,551.493413
1150,4625,6769,8942,20337,1,10119.184241,556.211733
1160,4664,6827,9000,20492,1,10207.997736,561.677136
1170,4712,6892,9000,20605,1,10296.399563,568.325116
1180,4750,6948,9000,20699,1,10384.211215,575.464671
1190,4779,7010,9000,20790,1,10471.271372,582.607674
1200,4814,7067,9000,20882,1,10557.647591,589.730350
1210,4857,7130,9000,20988,1,10643.424107,596.394516
1220,4897,7186,9000,21084,1,10728.555438,603.227838
1230,4928,7262,9000,21191,1,10813.177845,609.877511
1240,4980,7330,9000,21311,1,10897.356960,616.062854
1250,5014,7383,9000,21398,1,10980.999905,623.155667
1260,5045,7437,9000,21483,1,11063.983442,630.226905
1270,5088,7499,9000,21588,1,11146.402187,636.765363
1280,5130,7553,9000,21684,1,11228.368237,643.488307
1290,5181,7614,9000,21796,1,11309.849797,649.672986
1300,5216,7673,9000,21890,1,11390.844750,656.474628
1310,5253,7740,9000,21994,1,11471.374319,662.968207
1320,5296,7805,9000,22102,1,11551.514012,669.359021
1330,5322,7862,9000,22185,1,11631.147201,676.466056
1340,5360,7920,9000,22281,1,11710.256226,683.111024
1350,5396,7973,9000,22370,1,11788.910589,689.918038
1360,5433,8027,9000,22461,1,11867.046854,696.705535
1370,5470,8092,9000,22563,1,11944.698557,703.172784
1380,5518,8149,9000,22668,1,12022.005079,709.566187
1390,5558,8210,9000,22769,1,12098.939660,716.126985
1400,5599,8258,9000,22858,1,12175.440975,723.007184
1410,5653,8321,9000,22975,1,12251.623610,729.047870
1420,5694,8377,9000,23072,1,12327.488086,735.474689
1430,5734,8431,9000,23166,1,12402.976297,742.133818
1440,5776,8492,9000,23269,1,12478.132330,748.563179
1450,5822,8553,9000,23376,1,12552.919532,754.820159
1460,5855,8616,9000,23472,1,12627.380473,761.313821
1470,5891,8665,9000,23557,1,12701.436524,768.137232
1480,5932,8725,9000,23658,1,12775.123655,774.598837
1490,5969,8790,9000,23760,1,12848.509260,780.952876
1500,6015,8834,9000,23850,1,12921.559949,787.611846
1510,6053,8892,9000,23946,1,12994.250716,794.031750
1520,6083,8940,9000,24024,1,13066.558662,801.176651
1530,6122,8990,9000,24113,1,13138.465739,807.789937
1540,6164,8999,9000,24164,1,13209.917079,815.394296
1550,6187,9000,9000,24188,1,13280.672668,824.126937
1560,6232,9000,9000,24233,1,13350.752678,832.088461
1570,6267,9000,9000,24268,1,13420.177779,840.501002
1580,6315,9000,9000,24316,1,13488.979157,848.431014
1590,6345,9000,9000,24346,1,13557.182814,856.855773
1600,6387,9000,9000,24388,1,13624.740551,865.028566
1610,6425,9000,9000,24426,1,13691.714445,873.327533
1620,6466,9000,9000,24467,1,13758.099540,881.441163
1630,6513,9000,9000,24514,1,13823.949022,889.368365
1640,6551,9000,9000,24552,1,13889.243813,897.563238
1650,6588,9000,9000,24589,1,13953.979056,905.781716
1660,6629,9000,9000,24630,1,14018.178428,913.881954
1670,6666,9000,9000,24667,1,14081.834136,922.005136
1680,6706,9000,9000,24707,1,14144.960704,930.006809
1690,6745,9000,9000,24746,1,14207.566778,938.031326
1700,6785,9000,9000,24786,1,14269.688943,946.118222
1710,6830,9000,9000,24831,1,14331.335903,954.046187
1720,6874,9000,9000,24875,1,14392.516628,961.737708
1730,6925,9000,9000,24926,1,14453.281419,969.304421
1740,6961,9000,9000,24962,1,14513.584847,977.383607
1750,7011,9000,9000,25012,1,14573.416391,984.766340
1760,7042,9000,9000,25043,1,14632.803417,993.087341
1770,7085,9000,9000,25086,1,14691.716526,1001.013868
1780,7130,9000,9000,25131,1,14750.258048,1008.855305
1790,7167,9000,9000,25168,1,14808.356488,1016.877973
1800,7207,9000,9000,25208,1,14866.024196,1024.732645
1810,7256,9000,9000,25257,1,14923.295829,1032.339593
1820,7299,9000,9000,25300,1,14980.190389,1040.132249
1830,7335,9000,8999,25335,1,15036.684864,1048.231812
1840,7377,9000,9000,25378,1,15092.763901,1055.919604
1850,7421,9000,9000,25422,1,15148.490460,1063.515895
1860,7463,9000,9000,25464,1,15203.828122,1071.462900
1870,7506,9000,9000,25507,1,15258.827634,1079.116847
