Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W]
10,2,0,0,3,1,2.049303,1.863003
20,2,1,2,6,1,2.660123,2.955692
30,3,2,2,8,1,3.653694,3.779684
40,1,0,0,2,1,4.051867,4.911354
50,0,0,0,0,0,3.289593,4.568879
60,0,0,0,0,0,2.797151,4.195726
70,2,0,0,3,1,2.608125,3.725893
80,0,0,1,2,1,2.613201,3.667651
90,5,1,1,8,1,2.717595,3.596817
100,0,0,0,1,1,2.852033,4.016947
110,0,0,0,1,1,2.655053,3.792932
120,0,1,0,2,1,2.640675,3.642310
130,3,1,0,5,1,2.561207,3.397519
140,1,0,0,2,1,2.619637,3.395826
150,0,0,0,0,0,2.495357,3.283364
160,2,2,1,6,1,2.610384,3.341291
170,5,1,1,8,1,2.933017,3.613136
180,0,0,0,1,1,3.130028,3.885552
190,0,0,0,0,0,3.017387,3.796713
200,0,0,0,0,0,2.911004,3.616154
210,0,0,0,0,0,2.825749,3.511286
220,0,0,0,0,0,2.706555,3.402526
230,0,0,0,1,1,2.602345,3.306847
240,0,0,0,1,1,2.598368,3.282150
250,0,0,0,0,0,2.553286,3.256742
260,0,0,0,1,1,2.478240,3.189814
270,0,0,0,0,0,2.406032,3.138303
280,2,2,0,5,1,2.354141,3.023667
290,0,0,3,4,1,2.389230,3.093200
300,1,2,3,7,1,2.410150,3.076787
310,0,0,1,2,1,2.458200,3.175175
320,0,0,0,1,1,2.401261,3.149194
330,3,0,0,4,1,2.376328,3.111858
340,0,0,1,2,1,2.364541,3.104031
350,5,0,1,7,1,2.443759,3.144543
360,6,0,4,11,1,2.635106,3.352078
370,5,2,0,8,1,2.793345,3.576255
380,3,0,0,4,1,2.881849,3.737552
390,4,0,0,5,1,2.932276,3.786713
400,2,0,1,4,1,2.916515,3.739122
410,1,1,0,3,1,2.937257,3.751636
420,2,0,2,5,1,2.968120,3.766195
430,2,0,0,3,1,2.973126,3.771222
440,0,0,0,1,1,2.983586,3.772350
450,0,0,0,1,1,2.945358,3.712637
460,0,0,0,1,1,2.902980,3.638613
470,0,0,0,0,0,2.866729,3.602574
480,0,0,0,1,1,2.817753,3.549925
490,1,0,1,3,1,2.784587,3.525705
500,5,0,0,6,1,2.856039,3.561145
510,2,0,0,3,1,2.902076,3.609899
520,1,0,0,2,1,2.886156,3.599043
530,0,0,1,2,1,2.843082,3.553852
540,1,0,0,2,1,2.821837,3.511041
550,0,0,0,1,1,2.788999,3.494190
560,1,1,0,3,1,2.757615,3.454730
570,0,0,0,1,1,2.746509,3.455873
580,0,0,0,0,0,2.719332,3.421286
590,1,1,0,3,1,2.722331,3.388555
600,2,3,3,9,1,2.758958,3.406121
610,2,4,0,7,1,2.849758,3.504742
620,3,2,2,8,1,2.902813,3.556807
630,5,0,3,9,1,2.975129,3.639478
640,6,0,1,8,1,3.077655,3.758968
650,4,1,0,6,1,3.117151,3.822921
660,0,0,0,0,0,3.097692,3.821451
670,0,1,0,2,1,3.076113,3.788596
680,0,0,0,0,0,3.065507,3.755937
690,2,2,0,5,1,3.046597,3.720623
700,0,1,0,2,1,3.041673,3.722328
710,0,1,0,2,1,3.010918,3.692145
720,5,0,0,6,1,3.029303,3.696776
730,8,0,0,9,1,3.074782,3.728556
740,0,0,0,0,0,3.091150,3.774671
750,0,0,4,5,1,3.064501,3.755516
760,1,0,5,7,1,3.120718,3.819236
770,1,0,3,5,1,3.161732,3.852111
780,4,1,3,9,1,3.211566,3.920222
790,0,0,0,0,0,3.244057,3.979510
800,0,0,0,0,0,3.219215,3.968215
810,0,0,0,0,0,3.187909,3.936290
820,0,0,0,1,1,3.159619,3.896072
830,0,2,0,3,1,3.139035,3.877082
840,0,0,0,0,0,3.117959,3.868664
850,1,0,0,2,1,3.097545,3.832479
860,0,0,0,0,0,3.072064,3.812374
870,0,0,1,2,1,3.049634,3.784853
880,0,1,2,4,1,3.027305,3.768074
890,9,1,2,13,1,3.083758,3.780364
900,8,0,1,10,1,3.157715,3.866590
910,2,1,1,5,1,3.151619,3.854803
920,0,0,0,0,0,3.160345,3.871528
930,0,0,0,1,1,3.143726,3.846927
940,0,0,0,1,1,3.122702,3.827040
950,3,0,1,5,1,3.132299,3.829710
960,1,1,1,4,1,3.113704,3.807842
970,0,0,0,1,1,3.099623,3.810690
980,2,0,0,3,1,3.090689,3.790833
990,2,0,0,3,1,3.109107,3.809426
1000,1,0,0,2,1,3.103843,3.817765
1010,1,0,0,2,1,3.083686,3.807485
1020,1,0,3,5,1,3.093540,3.797125
1030,1,1,2,5,1,3.127518,3.848678
1040,6,0,0,7,1,3.161272,3.886197
1050,5,0,1,7,1,3.212045,3.930824
1060,2,2,1,6,1,3.219596,3.954544
1070,0,0,0,0,0,3.204499,3.963947
1080,1,3,0,5,1,3.216168,3.969670
1090,1,0,0,2,1,3.217187,3.953476
1100,0,0,0,0,0,3.192263,3.936647
1110,0,0,0,0,0,3.168327,3.911950
1120,0,0,0,0,0,3.146899,3.894505
1130,3,0,0,4,1,3.140223,3.873855
1140,1,0,1,3,1,3.143901,3.883041
1150,0,0,0,0,0,3.122070,3.868945
1160,0,0,0,0,0,3.101048,3.847290
1170,0,0,0,0,0,3.076426,3.841429
1180,0,0,0,0,0,3.052625,3.819828
1190,0,0,0,0,0,3.032067,3.802065
1200,1,0,0,2,1,3.016863,3.790823
1210,0,0,0,0,0,2.998916,3.783825
1220,1,1,0,3,1,3.003069,3.788774
1230,0,1,0,2,1,2.991313,3.773656
1240,1,0,0,2,1,2.984253,3.772145
1250,0,0,0,0,0,2.970931,3.754968
1260,2,0,1,4,1,2.971704,3.744347
1270,4,0,0,5,1,2.976156,3.734899
1280,3,0,0,4,1,2.998490,3.762811
1290,0,2,1,4,1,2.990798,3.745757
1300,0,0,0,0,0,2.984177,3.744624
1310,2,0,0,3,1,2.975655,3.726681
1320,0,0,0,0,0,2.960657,3.718428
1330,1,0,1,3,1,2.943372,3.696586
1340,0,0,0,0,0,2.942120,3.705302
1350,0,0,0,1,1,2.923021,3.691374
1360,0,0,1,2,1,2.912636,3.681399
1370,0,0,0,0,0,2.903532,3.659465
1380,0,0,0,0,0,2.886987,3.648391
1390,0,0,0,0,0,2.867799,3.640402
1400,0,0,0,0,0,2.850877,3.625093
1410,0,0,0,0,0,2.835176,3.604688
1420,1,0,0,2,1,2.827403,3.584743
1430,0,0,0,1,1,2.813833,3.567182
1440,0,0,0,1,1,2.797820,3.546532
1450,1,2,3,7,1,2.816002,3.559897
1460,3,0,3,7,1,2.831066,3.569393
1470,0,0,0,1,1,2.854761,3.611445
1480,1,0,0,2,1,2.842329,3.598500
1490,0,0,0,0,0,2.837173,3.591663
1500,0,0,0,0,0,2.823133,3.585690
1510,0,0,0,1,1,2.805684,3.569151
1520,0,1,1,3,1,2.799840,3.552385
1530,1,0,0,2,1,2.801109,3.556595
1540,2,2,0,5,1,2.814742,3.564722
1550,3,0,0,4,1,2.829256,3.574040
1560,0,0,1,2,1,2.833376,3.573215
1570,0,0,0,1,1,2.822920,3.562688
1580,0,0,0,1,1,2.816047,3.562333
1590,0,3,0,4,1,2.811156,3.555878
1600,0,0,0,1,1,2.810550,3.560475
1610,0,0,0,1,1,2.795775,3.547043
1620,0,0,0,1,1,2.780747,3.527651
1630,0,0,0,1,1,2.771121,3.520597
1640,0,0,0,0,0,2.756008,3.517396
1650,0,0,0,1,1,2.744988,3.502885
1660,2,0,0,3,1,2.735007,3.487028
1670,1,0,0,2,1,2.730117,3.477723
1680,0,0,0,0,0,2.721132,3.473786
1690,3,0,2,6,1,2.714832,3.449674
1700,9,0,1,11,1,2.766077,3.493559
1710,4,2,0,7,1,2.808910,3.539599
1720,5,0,0,6,1,2.842827,3.587426
1730,3,0,0,4,1,2.867247,3.615406
1740,2,1,1,5,1,2.879334,3.622590
1750,6,1,7,15,1,2.922729,3.653411
1760,5,0,2,8,1,2.966625,3.718846
1770,1,0,0,2,1,2.982954,3.749878
1780,0,0,0,0,0,2.976917,3.750115
1790,2,1,0,4,1,2.987581,3.744937
1800,0,0,0,1,1,2.981737,3.740158
1810,0,0,0,0,0,2.973861,3.735384
1820,0,1,0,2,1,2.961693,3.714873
1830,0,0,0,0,0,2.953561,3.704604
1840,0,1,1,3,1,2.946624,3.690802
1850,2,0,0,3,1,2.940835,3.683510
1860,3,0,0,4,1,2.951099,3.686396
1870,0,0,1,2,1,2.942184,3.682654
1880,0,0,0,0,0,2.927159,3.676058
1890,0,0,1,2,1,2.916081,3.659624
1900,0,0,1,2,1,2.910444,3.657304
1910,1,1,1,4,1,2.917333,3.661042
1920,3,0,1,5,1,2.927391,3.680805
1930,0,0,0,1,1,2.933501,3.695599
1940,0,0,0,1,1,2.922664,3.686586
1950,2,1,3,7,1,2.938677,3.694662
1960,0,0,0,1,1,2.935186,3.690163
1970,0,0,0,1,1,2.921814,3.685003
1980,1,0,0,2,1,2.914996,3.676237
1990,1,0,0,2,1,2.919082,3.681225
2000,0,0,0,0,0,2.907034,3.677463
2010,0,0,0,0,0,2.896487,3.663901
2020,3,1,1,6,1,2.896024,3.665394
2030,2,0,0,3,1,2.899897,3.672359
2040,0,0,0,0,0,2.887227,3.672035
2050,7,1,3,12,1,2.903714,3.678995
2060,11,0,0,12,1,2.950849,3.724723
2070,9,0,1,11,1,2.993378,3.773626
2080,9,0,0,10,1,3.034269,3.820387
2090,9,0,0,10,1,3.066085,3.862639
2100,12,2,1,16,1,3.101208,3.888081
2110,14,0,1,16,1,3.157310,3.960716
2120,16,0,2,19,1,3.234188,4.052293
2130,9,0,0,10,1,3.296740,4.125767
2140,4,0,0,5,1,3.319813,4.157051
2150,3,0,0,4,1,3.320701,4.158129
2160,5,1,0,7,1,3.330751,4.177945
2170,6,2,2,11,1,3.347030,4.188613
2180,7,0,0,8,1,3.380299,4.232654
2190,3,1,1,6,1,3.392687,4.245705
2200,5,2,0,8,1,3.410191,4.260318
2210,0,0,0,0,0,3.417629,4.272036
2220,1,0,0,2,1,3.410021,4.252948
2230,1,1,0,3,1,3.397922,4.240272
2240,0,0,0,0,0,3.393079,4.243717
2250,0,0,0,0,0,3.381203,4.231206
2260,2,1,0,4,1,3.386448,4.226048
2270,0,0,0,0,0,3.384204,4.227927
2280,0,0,0,1,1,3.371863,4.217141
2290,0,0,0,1,1,3.359686,4.204198
2300,0,0,1,2,1,3.347851,4.196217
