Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W]
10,0,0,0,1,1,1.119022,0.559511
20,0,0,0,1,1,2.038001,0.831837
30,0,4,1,6,1,3.119061,1.247624
40,0,3,1,5,1,3.815719,1.589883
50,3,8,3,15,1,4.911355,1.903626
60,3,7,1,12,1,6.338337,2.587076
70,0,1,0,2,1,6.562570,2.784121
80,0,0,0,0,0,5.807650,2.624926
90,0,0,0,0,0,5.232988,2.465806
100,1,0,0,2,1,5.048343,2.359039
110,0,0,0,1,1,4.821257,2.276130
120,2,1,0,4,1,4.588372,2.125886
130,0,0,0,1,1,4.470340,2.113252
140,0,0,0,0,0,4.202288,2.028691
150,0,2,1,4,1,4.164363,1.958164
160,2,2,1,6,1,4.043388,1.925423
170,0,0,0,0,0,4.069422,1.954242
180,2,4,1,8,1,3.989565,1.904832
190,1,0,0,2,1,4.046569,1.922120
200,0,0,0,0,0,3.875746,1.858871
210,0,0,0,0,0,3.862824,1.843621
220,2,3,1,7,1,3.823845,1.793701
230,2,5,2,10,1,3.978543,1.844889
240,3,6,3,13,1,4.290536,1.976447
250,6,9,2,18,1,4.677355,2.157452
260,2,7,1,11,1,5.113009,2.373897
270,0,0,0,1,1,5.068677,2.363632
280,1,3,0,5,1,4.975264,2.337372
290,2,1,0,4,1,4.973771,2.341548
300,1,1,1,4,1,4.890715,2.306941
310,0,2,1,4,1,4.796782,2.256453
320,1,3,1,6,1,4.740740,2.237517
330,0,0,0,0,0,4.744914,2.236888
340,1,1,1,4,1,4.650989,2.199355
350,0,0,0,1,1,4.577939,2.177009
360,1,0,0,2,1,4.472713,2.138349
370,3,6,2,12,1,4.469543,2.106664
380,0,0,0,0,0,4.491608,2.130850
390,0,2,0,3,1,4.417990,2.106377
400,0,0,1,2,1,4.345236,2.079060
410,0,2,2,5,1,4.304067,2.063939
420,0,7,3,11,1,4.431836,2.117601
430,2,4,3,10,1,4.472457,2.134469
440,1,5,1,8,1,4.550013,2.171373
450,2,4,1,8,1,4.675180,2.226276
460,0,0,0,1,1,4.657145,2.236208
470,0,0,0,0,0,4.573385,2.204606
480,0,0,0,0,0,4.489945,2.181350
490,0,0,0,0,0,4.406247,2.165558
500,0,0,0,0,0,4.327647,2.138165
510,1,0,2,4,1,4.296855,2.121390
520,0,0,0,0,0,4.258803,2.109122
530,0,0,0,1,1,4.206894,2.079901
540,0,0,0,0,0,4.195017,2.078265
550,0,0,0,0,0,4.159778,2.046402
560,2,5,2,10,1,4.155323,2.034074
570,2,2,0,5,1,4.166872,2.036979
580,0,0,0,0,0,4.132485,2.036399
590,1,1,0,3,1,4.095186,2.020201
600,0,4,2,7,1,4.074586,2.008835
610,0,4,2,7,1,4.075057,2.007903
620,0,1,1,3,1,4.069292,2.008727
630,1,0,0,2,1,4.049522,1.999372
640,0,0,0,0,0,4.006418,1.981536
650,1,2,4,8,1,3.994844,1.971639
660,0,0,0,1,1,3.981040,1.968155
670,1,0,2,4,1,3.957613,1.956901
680,0,0,0,1,1,3.917636,1.938859
690,0,0,0,1,1,3.900160,1.922222
700,1,1,0,3,1,3.864151,1.902184
710,0,1,0,2,1,3.854281,1.901695
720,6,5,0,12,1,3.907075,1.925458
730,0,1,0,2,1,3.893256,1.924223
740,0,1,0,2,1,3.869450,1.910202
750,1,2,0,4,1,3.847136,1.900759
760,2,6,6,15,1,3.949056,1.941321
770,0,0,0,0,0,4.006502,1.976301
780,1,1,3,6,1,3.968456,1.956635
790,0,0,0,0,0,3.942839,1.950434
800,2,8,1,12,1,3.918073,1.928898
810,4,1,5,11,1,4.020025,1.979465
820,4,6,5,16,1,4.148339,2.036909
830,3,3,1,8,1,4.260466,2.089945
840,0,0,1,2,1,4.280277,2.106287
850,0,1,0,2,1,4.249796,2.083233
860,1,2,1,5,1,4.225256,2.075226
870,0,0,0,0,0,4.242629,2.081832
880,4,1,1,7,1,4.242084,2.079685
890,0,0,0,1,1,4.251515,2.087065
900,1,3,1,6,1,4.225404,2.073535
910,0,0,0,0,0,4.194458,2.065453
920,0,2,0,3,1,4.186101,2.063887
930,0,0,0,1,1,4.161802,2.059860
940,0,2,0,3,1,4.154749,2.054426
950,0,0,0,1,1,4.132299,2.037200
960,1,0,2,4,1,4.128752,2.028456
970,0,2,1,4,1,4.126178,2.029611
980,1,0,1,3,1,4.117299,2.027615
990,1,0,0,2,1,4.100022,2.018410
1000,2,2,0,5,1,4.069920,2.006864
1010,0,0,0,1,1,4.060095,2.000340
1020,0,1,0,2,1,4.042632,1.997812
1030,1,3,1,6,1,4.015452,1.984605
1040,0,0,0,0,0,4.035539,1.993805
1050,0,3,2,6,1,4.013254,1.975582
1060,5,4,1,11,1,4.031848,1.980426
1070,0,0,0,0,0,4.032259,1.981864
1080,2,1,0,4,1,4.001579,1.969784
1090,0,0,0,1,1,3.977457,1.961732
1100,0,0,0,1,1,3.964517,1.953839
1110,0,0,0,0,0,3.959547,1.949045
1120,3,3,1,8,1,3.962082,1.943728
1130,0,1,0,2,1,3.940555,1.940230
1140,1,4,1,7,1,3.929604,1.933426
1150,1,1,1,4,1,3.930151,1.929012
1160,1,1,0,3,1,3.950852,1.937020
1170,0,1,0,2,1,3.936105,1.932540
1180,0,1,0,2,1,3.939625,1.933760
1190,0,0,0,0,0,3.912686,1.927990
1200,0,0,0,0,0,3.884451,1.920618
1210,0,0,0,0,0,3.861466,1.915692
1220,0,0,0,0,0,3.834391,1.906258
1230,0,0,0,0,0,3.811208,1.893290
1240,0,0,0,0,0,3.783773,1.885046
1250,0,0,0,1,1,3.767850,1.874925
1260,0,0,0,0,0,3.749730,1.867454
1270,1,1,1,4,1,3.748619,1.861848
1280,3,1,0,5,1,3.746488,1.860165
1290,0,0,0,1,1,3.741867,1.855828
1300,0,0,0,0,0,3.726752,1.846333
1310,1,1,0,3,1,3.702649,1.831057
1320,0,0,0,0,0,3.686148,1.823048
1330,2,5,2,10,1,3.695725,1.825897
1340,0,1,0,2,1,3.700081,1.828885
1350,0,0,0,0,0,3.677066,1.820997
1360,1,2,3,7,1,3.671650,1.815798
1370,3,6,0,10,1,3.686608,1.817436
1380,0,0,1,2,1,3.716106,1.834129
1390,0,0,0,0,0,3.696322,1.826480
1400,0,0,0,1,1,3.677837,1.820068
1410,0,0,0,0,0,3.662167,1.811174
1420,2,3,1,7,1,3.665275,1.802803
1430,5,3,2,11,1,3.680356,1.809182
1440,3,5,7,16,1,3.734711,1.834863
1450,2,14,4,21,1,3.831206,1.878042
1460,8,14,9,32,1,3.995291,1.950226
1470,7,14,6,28,1,4.134543,2.017185
1480,6,10,6,23,1,4.255857,2.078082
1490,5,10,9,25,1,4.413200,2.152428
1500,7,13,6,27,1,4.546150,2.211880
1510,10,13,7,31,1,4.719347,2.294338
1520,13,15,10,39,1,4.903424,2.379695
1530,5,16,9,31,1,5.115373,2.485399
1540,8,16,7,32,1,5.292314,2.571030
1550,14,13,8,36,1,5.483536,2.657749
1560,8,9,8,26,1,5.641899,2.737593
1570,5,4,2,12,1,5.737542,2.787110
1580,0,3,1,5,1,5.744020,2.792478
1590,0,0,0,0,0,5.717458,2.787721
1600,1,1,1,4,1,5.692576,2.770953
1610,1,4,2,8,1,5.712688,2.775325
1620,0,0,1,2,1,5.692437,2.769293
1630,10,5,5,21,1,5.707745,2.766466
1640,1,7,2,11,1,5.765111,2.798929
1650,1,1,0,3,1,5.758009,2.799268
1660,2,1,2,6,1,5.738888,2.787988
1670,2,6,5,14,1,5.764659,2.792858
1680,2,2,1,6,1,5.762755,2.794063
1690,0,0,0,0,0,5.750713,2.787925
1700,4,6,0,11,1,5.736805,2.779302
1710,1,0,0,2,1,5.759665,2.789302
1720,1,1,1,4,1,5.736204,2.777666
1730,1,2,2,6,1,5.725220,2.776740
1740,0,0,0,1,1,5.712948,2.772038
1750,0,0,0,1,1,5.686304,2.761107
1760,0,2,0,3,1,5.668378,2.751336
1770,0,0,0,1,1,5.640468,2.742002
1780,1,0,1,3,1,5.615482,2.732520
1790,0,2,0,3,1,5.599446,2.725125
1800,0,0,0,1,1,5.578512,2.716808
1810,2,2,2,7,1,5.578743,2.716579
1820,0,0,0,0,0,5.566439,2.712428
1830,0,0,0,1,1,5.540198,2.705059
1840,1,2,1,5,1,5.518021,2.686731
1850,0,1,0,2,1,5.502729,2.679666
1860,0,0,0,1,1,5.476606,2.668715
1870,1,1,1,4,1,5.463026,2.661766
1880,0,0,1,2,1,5.438573,2.653651
1890,0,0,0,0,0,5.412709,2.646151
1900,0,0,1,2,1,5.391386,2.636035
1910,0,1,2,4,1,5.398333,2.637712
1920,0,1,1,3,1,5.398354,2.636693
1930,0,0,0,1,1,5.375574,2.624553
1940,0,5,0,6,1,5.358560,2.612618
1950,0,1,3,5,1,5.365057,2.614158
1960,0,0,0,0,0,5.342732,2.606860
1970,0,0,0,0,0,5.319355,2.597702
1980,0,0,0,1,1,5.301934,2.588860
1990,0,1,0,2,1,5.286750,2.581117
2000,0,3,1,5,1,5.266722,2.573526
2010,1,2,4,8,1,5.279446,2.578781
2020,5,1,4,11,1,5.304267,2.588698
2030,3,1,3,8,1,5.332964,2.602384
2040,0,2,1,4,1,5.336526,2.602561
2050,0,0,0,0,0,5.313396,2.596534
2060,0,2,1,4,1,5.296423,2.590368
2070,0,1,1,3,1,5.288972,2.588220
2080,2,3,2,8,1,5.274666,2.574819
2090,0,0,1,2,1,5.274138,2.576659
2100,1,2,0,4,1,5.260340,2.567809
2110,0,0,0,0,0,5.250400,2.562652
2120,1,1,0,3,1,5.232031,2.552798
2130,0,0,0,1,1,5.214515,2.547458
2140,0,0,0,1,1,5.201852,2.539225
2150,0,0,0,0,0,5.181914,2.533223
2160,0,0,0,0,0,5.160988,2.526113
2170,1,1,1,4,1,5.146532,2.515876
2180,0,0,0,0,0,5.134620,2.510310
2190,0,2,1,4,1,5.122502,2.506878
2200,0,0,0,1,1,5.116151,2.504569
2210,0,0,0,0,0,5.097950,2.496448
2220,0,0,0,0,0,5.078597,2.489948
2230,1,1,2,5,1,5.076714,2.487055
2240,0,0,0,0,0,5.060901,2.482790
2250,0,0,0,1,1,5.045000,2.473578
2260,0,0,0,0,0,5.031810,2.463581
2270,0,0,0,1,1,5.014192,2.457300
2280,0,0,0,1,1,4.996889,2.451142
2290,1,0,0,2,1,4.993290,2.445388
2300,0,0,0,1,1,4.977319,2.438303
2310,1,0,0,2,1,4.980944,2.439258
2320,0,0,0,1,1,4.965360,2.430816
2330,0,0,0,1,1,4.949188,2.422607
2340,0,0,0,1,1,4.935153,2.414438
2350,1,4,1,7,1,4.939374,2.413709
2360,3,8,1,13,1,4.952587,2.419397
2370,4,7,1,13,1,4.984995,2.433959
2380,1,6,1,9,1,5.002067,2.441033
2390,2,8,1,12,1,5.038573,2.458091
2400,1,2,2,6,1,5.055179,2.467446
2410,0,0,0,0,0,5.041792,2.465149
2420,0,0,0,1,1,5.024018,2.457676
2430,0,0,0,0,0,5.006406,2.449772
2440,0,0,0,0,0,4.990918,2.442897
2450,2,1,0,4,1,4.977649,2.438560
2460,5,4,2,12,1,4.981088,2.434627
2470,2,3,0,6,1,4.991896,2.439166
2480,1,3,1,6,1,4.988866,2.433593
2490,1,0,2,4,1,4.988102,2.432029
2500,0,0,0,0,0,4.983562,2.429584
2510,0,1,1,3,1,4.967756,2.419769
2520,0,0,0,0,0,4.953752,2.413195
2530,0,0,0,1,1,4.941930,2.409536
2540,3,1,0,5,1,4.938129,2.405148
2550,0,0,0,1,1,4.928753,2.403121
2560,0,0,1,2,1,4.912682,2.395517
2570,0,0,0,0,0,4.902537,2.389894
2580,1,3,1,6,1,4.897549,2.383190
2590,0,2,1,4,1,4.886211,2.377026
2600,0,0,0,1,1,4.877414,2.372993
2610,0,2,0,3,1,4.865542,2.366579
2620,0,1,0,2,1,4.851418,2.360831
2630,1,6,1,9,1,4.855236,2.360309
2640,1,2,0,4,1,4.855990,2.360923
2650,0,0,0,0,0,4.840608,2.356717
2660,0,0,0,0,0,4.827030,2.352923
2670,0,0,1,2,1,4.813397,2.348642
2680,4,3,1,9,1,4.811451,2.343636
2690,3,15,4,23,1,4.865652,2.364271
2700,2,5,6,14,1,4.922191,2.390703
2710,0,2,1,4,1,4.921202,2.393478
2720,1,2,1,5,1,4.910801,2.389941
2730,0,0,0,1,1,4.900605,2.386914
2740,0,4,0,5,1,4.887415,2.382832
2750,1,2,1,5,1,4.893359,2.387640
2760,1,2,1,5,1,4.882842,2.383138
2770,3,2,0,6,1,4.877773,2.379611
2780,1,1,0,3,1,4.871080,2.376137
2790,0,0,0,0,0,4.860504,2.372844
2800,0,0,0,1,1,4.849194,2.367523
2810,0,0,1,2,1,4.839453,2.365020
2820,0,0,1,2,1,4.829284,2.359830
2830,0,0,0,1,1,4.816563,2.354210
2840,0,0,0,0,0,4.806617,2.350748
2850,0,1,1,3,1,4.798547,2.346579
2860,0,0,0,0,0,4.790312,2.345940
2870,1,2,2,6,1,4.799423,2.346966
2880,0,0,0,1,1,4.803464,2.349122
2890,1,2,0,4,1,4.791834,2.343611
2900,0,0,0,0,0,4.778182,2.337111
2910,1,1,1,4,1,4.774043,2.332908
2920,0,0,0,0,0,4.769814,2.329852
2930,0,0,0,1,1,4.759058,2.327110
2940,0,6,1,8,1,4.759571,2.325987
2950,0,0,0,0,0,4.756143,2.322566
2960,0,1,0,2,1,4.743471,2.318473
2970,0,0,1,2,1,4.747522,2.317577
2980,0,5,1,7,1,4.740138,2.313020
2990,0,0,0,0,0,4.730133,2.310964
3000,0,0,0,1,1,4.721087,2.308600
3010,0,0,0,0,0,4.708243,2.304734
3020,0,0,0,0,0,4.694643,2.299728
3030,0,3,1,5,1,4.681987,2.294424
3040,0,2,0,3,1,4.686217,2.299241
3050,0,0,0,0,0,4.678669,2.298637
3060,0,0,0,1,1,4.668844,2.295415
3070,0,0,0,0,0,4.659169,2.291150
3080,0,0,0,1,1,4.648136,2.286942
3090,0,0,0,1,1,4.635735,2.282049
3100,1,2,2,6,1,4.634722,2.279854
3110,0,0,0,0,0,4.642861,2.284338
3120,0,1,0,2,1,4.630728,2.278485
3130,0,2,1,4,1,4.628252,2.275594
3140,0,0,0,1,1,4.616526,2.271727
3150,0,1,0,2,1,4.614110,2.269943
3160,0,0,0,0,0,4.606583,2.266355
3170,2,5,2,10,1,4.616252,2.269466
3180,0,0,0,1,1,4.619216,2.270692
3190,0,0,0,0,0,4.613340,2.268972
3200,0,0,0,1,1,4.601344,2.265277
3210,2,2,1,6,1,4.599199,2.262248
3220,1,2,0,4,1,4.591401,2.256802
3230,0,1,0,2,1,4.580440,2.253591
3240,1,0,0,2,1,4.572533,2.248446
3250,0,0,0,0,0,4.562022,2.245090
3260,0,0,0,1,1,4.552844,2.240681
3270,0,0,0,0,0,4.539959,2.236467
3280,0,0,0,1,1,4.537580,2.233383
3290,0,0,0,1,1,4.526590,2.229413
3300,0,2,2,5,1,4.533226,2.231451
3310,0,0,1,2,1,4.526162,2.230068
3320,2,3,5,11,1,4.527970,2.231388
3330,0,1,0,2,1,4.532726,2.235483
3340,0,0,0,0,0,4.521171,2.233833
3350,0,8,1,10,1,4.520535,2.231623
3360,1,0,3,5,1,4.536705,2.238703
3370,0,0,0,0,0,4.528252,2.234946
3380,1,1,0,3,1,4.520027,2.231297
3390,0,0,0,1,1,4.509414,2.227764
3400,1,0,2,4,1,4.502754,2.222614
3410,0,0,0,1,1,4.495673,2.221131
3420,0,0,0,1,1,4.486774,2.218093
3430,0,0,0,1,1,4.479111,2.214697
3440,0,2,1,4,1,4.473674,2.211126
3450,2,5,0,8,1,4.468675,2.207148
3460,0,1,0,2,1,4.469078,2.207740
3470,0,0,0,0,0,4.458667,2.203614
3480,0,1,0,2,1,4.450951,2.199874
3490,0,0,0,1,1,4.443722,2.197307
3500,2,2,3,8,1,4.442356,2.195770
3510,5,3,3,12,1,4.453668,2.200813
3520,2,1,0,4,1,4.452871,2.202038
3530,3,4,0,8,1,4.463382,2.206068
3540,4,5,2,12,1,4.486861,2.216197
3550,1,10,0,12,1,4.502843,2.223239
3560,0,3,0,4,1,4.515290,2.229464
3570,0,0,0,0,0,4.508420,2.226457
3580,0,0,0,0,0,4.502517,2.223619
3590,0,0,0,1,1,4.493734,2.220273
3600,0,0,0,1,1,4.489761,2.218383
3610,1,2,0,4,1,4.486720,2.215740
3620,0,0,0,1,1,4.480852,2.212917
3630,0,1,0,2,1,4.472440,2.209138
3640,0,0,0,1,1,4.473190,2.208983
3650,0,0,0,1,1,4.464089,2.203371
3660,0,3,1,5,1,4.454918,2.199811
3670,0,0,0,1,1,4.450757,2.198127
3680,0,0,0,0,0,4.440059,2.195568
3690,3,1,2,7,1,4.445004,2.195137
3700,1,1,0,3,1,4.443389,2.194413
3710,0,0,0,0,0,4.435255,2.191635
3720,2,3,1,7,1,4.428665,2.187576
3730,0,1,0,2,1,4.421109,2.185072
3740,2,5,1,9,1,4.413481,2.179929
3750,2,6,1,10,1,4.420825,2.181328
3760,4,5,5,15,1,4.442247,2.191975
3770,4,6,7,18,1,4.485190,2.211216
3780,1,1,2,5,1,4.504517,2.222275
3790,0,1,0,2,1,4.507533,2.223263
3800,0,0,1,2,1,4.506781,2.222682
3810,0,3,1,5,1,4.498281,2.218570
3820,4,5,1,11,1,4.503105,2.220455
3830,2,6,3,12,1,4.526909,2.230550
3840,1,1,0,3,1,4.541484,2.238390
3850,3,1,1,6,1,4.534070,2.236250
3860,2,6,3,12,1,4.535743,2.234584
